iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,166.21211088238928,166.21211088238928,True,7,7,0.008582900001783855,hsbo,3,medium
2,0.0,166.21211088238928,False,2,7,0.008776599999691825,hsbo,3,medium
3,0.0,166.21211088238928,False,1,7,0.008948399998189416,hsbo,3,medium
4,0.0,166.21211088238928,False,0,7,0.00910930000100052,hsbo,3,medium
5,0.0,166.21211088238928,False,0,7,0.009266500004741829,hsbo,3,medium
6,0.0,166.21211088238928,False,0,7,0.009427700002561323,hsbo,3,medium
7,0.0,166.21211088238928,False,0,7,0.009584400002495386,hsbo,3,medium
8,0.0,166.21211088238928,False,0,7,0.009740300003613811,hsbo,3,medium
9,0.0,166.21211088238928,False,0,7,0.00989570000092499,hsbo,3,medium
10,0.0,166.21211088238928,False,1,7,0.010054300000774674,hsbo,3,medium
11,0.0,166.21211088238928,False,1,7,0.061027700001432095,hsbo,3,medium
12,0.0,166.21211088238928,False,0,7,0.06119110000145156,hsbo,3,medium
13,0.0,166.21211088238928,False,0,7,0.0613454999984242,hsbo,3,medium
14,0.0,166.21211088238928,False,0,7,0.061497399998188484,hsbo,3,medium
15,0.0,166.21211088238928,False,0,7,0.10205970000242814,hsbo,3,medium
16,0.0,166.21211088238928,False,1,7,0.10223490000498714,hsbo,3,medium
17,0.0,166.21211088238928,False,0,7,0.10239420000289101,hsbo,3,medium
18,0.0,166.21211088238928,False,2,7,0.1025558000037563,hsbo,3,medium
19,0.0,166.21211088238928,False,0,7,0.1429372999991756,hsbo,3,medium
20,0.0,166.21211088238928,False,0,7,0.1430971000008867,hsbo,3,medium
21,60.683082674149446,166.21211088238928,True,4,7,0.14732580000418238,hsbo,3,medium
22,0.0,166.21211088238928,False,1,7,0.14749020000454038,hsbo,3,medium
23,0.0,166.21211088238928,False,0,7,0.14764470000227448,hsbo,3,medium
24,0.0,166.21211088238928,False,1,7,0.14779619999899296,hsbo,3,medium
25,0.0,166.21211088238928,False,0,7,0.1479438000023947,hsbo,3,medium
26,0.0,166.21211088238928,False,0,7,0.14809020000393502,hsbo,3,medium
27,0.0,166.21211088238928,False,0,7,0.1482356000051368,hsbo,3,medium
28,0.0,166.21211088238928,False,1,7,0.14838389999931678,hsbo,3,medium
29,0.0,166.21211088238928,False,0,7,0.14853180000500288,hsbo,3,medium
30,0.0,166.21211088238928,False,0,7,0.1486765000008745,hsbo,3,medium
31,0.0,166.21211088238928,False,0,7,0.21741170000314014,hsbo,3,medium
32,0.0,166.21211088238928,False,0,7,0.21757549999892944,hsbo,3,medium
33,0.0,166.21211088238928,False,0,7,0.21773209999810206,hsbo,3,medium
34,0.0,166.21211088238928,False,1,7,0.2178898999991361,hsbo,3,medium
35,0.0,166.21211088238928,False,1,7,0.25670540000282926,hsbo,3,medium
36,0.0,166.21211088238928,False,0,7,0.25687140000081854,hsbo,3,medium
37,0.0,166.21211088238928,False,0,7,0.2570309000002453,hsbo,3,medium
38,0.0,166.21211088238928,False,0,7,0.25718700000288663,hsbo,3,medium
39,0.0,166.21211088238928,False,0,7,0.29459570000472013,hsbo,3,medium
40,0.0,166.21211088238928,False,0,7,0.294759399999748,hsbo,3,medium
41,156.55681225071535,166.21211088238928,True,5,7,0.2990378000031342,hsbo,3,medium
42,0.0,166.21211088238928,False,1,7,0.29920980000315467,hsbo,3,medium
43,0.0,166.21211088238928,False,1,7,0.299373599998944,hsbo,3,medium
44,0.0,166.21211088238928,False,3,7,0.2995387999981176,hsbo,3,medium
45,0.0,166.21211088238928,False,2,7,0.2997019000031287,hsbo,3,medium
46,0.0,166.21211088238928,False,0,7,0.2998617000048398,hsbo,3,medium
47,0.0,166.21211088238928,False,1,7,0.30002239999885205,hsbo,3,medium
48,0.0,166.21211088238928,False,0,7,0.3001786000022548,hsbo,3,medium
49,0.0,166.21211088238928,False,0,7,0.300336200001766,hsbo,3,medium
50,0.0,166.21211088238928,False,0,7,0.30049180000060005,hsbo,3,medium
51,0.0,166.21211088238928,False,1,7,0.38343259999965085,hsbo,3,medium
52,0.0,166.21211088238928,False,1,7,0.3835980000003474,hsbo,3,medium
53,0.0,166.21211088238928,False,0,7,0.3837511000019731,hsbo,3,medium
54,0.0,166.21211088238928,False,0,7,0.3839030000017374,hsbo,3,medium
55,0.0,166.21211088238928,False,1,7,0.4238088999991305,hsbo,3,medium
56,0.0,166.21211088238928,False,1,7,0.42397470000287285,hsbo,3,medium
57,0.0,166.21211088238928,False,0,7,0.4241277000037371,hsbo,3,medium
58,0.0,166.21211088238928,False,0,7,0.42428189999918686,hsbo,3,medium
59,0.0,166.21211088238928,False,1,7,0.4652107000001706,hsbo,3,medium
