iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00023520000104326755,random,1,medium
2,0.0,0.0,False,0,0,0.00039570000080857426,random,1,medium
3,0.0,0.0,False,0,0,0.0005452000041259453,random,1,medium
4,0.0,0.0,False,0,0,0.0006903000030433759,random,1,medium
5,0.0,0.0,False,0,0,0.0008413000032305717,random,1,medium
6,0.0,0.0,False,0,0,0.0009913000030792318,random,1,medium
7,0.0,0.0,False,0,0,0.0011408999998820946,random,1,medium
8,0.0,0.0,False,0,0,0.0012891000005765818,random,1,medium
9,0.0,0.0,False,0,0,0.001430399999662768,random,1,medium
10,0.0,0.0,False,0,0,0.0015727999998489395,random,1,medium
11,0.0,0.0,False,0,0,0.001714199999696575,random,1,medium
12,0.0,0.0,False,0,0,0.001854100002674386,random,1,medium
13,0.0,0.0,False,0,0,0.0020003000026918016,random,1,medium
14,0.0,0.0,False,0,0,0.0021468000049935654,random,1,medium
15,0.0,0.0,False,0,0,0.0022944000011193566,random,1,medium
16,0.0,0.0,False,1,0,0.0024410000041825697,random,1,medium
17,0.0,0.0,False,0,0,0.002586300004622899,random,1,medium
18,0.0,0.0,False,0,0,0.002736300004471559,random,1,medium
19,0.0,0.0,False,0,0,0.0028864999985671602,random,1,medium
20,0.0,0.0,False,0,0,0.003038900002138689,random,1,medium
21,0.0,0.0,False,0,0,0.0031821000011404976,random,1,medium
22,0.0,0.0,False,0,0,0.0033288999984506518,random,1,medium
23,0.0,0.0,False,0,0,0.0034783000010065734,random,1,medium
24,0.0,0.0,False,0,0,0.003630600003816653,random,1,medium
25,0.0,0.0,False,0,0,0.003783699998166412,random,1,medium
26,0.0,0.0,False,0,0,0.003935200002160855,random,1,medium
27,0.0,0.0,False,0,0,0.004088400004548021,random,1,medium
28,0.0,0.0,False,0,0,0.004244299998390488,random,1,medium
29,0.0,0.0,False,0,0,0.004397900003823452,random,1,medium
30,0.0,0.0,False,0,0,0.004553099999611732,random,1,medium
31,0.0,0.0,False,0,0,0.004708000000391621,random,1,medium
32,0.0,0.0,False,0,0,0.0048643999980413355,random,1,medium
33,0.0,0.0,False,0,0,0.005021400000259746,random,1,medium
34,0.0,0.0,False,0,0,0.005175700003746897,random,1,medium
35,0.0,0.0,False,0,0,0.005325900005118456,random,1,medium
36,0.0,0.0,False,0,0,0.005473600002005696,random,1,medium
37,0.0,0.0,False,0,0,0.005625400001008529,random,1,medium
38,0.0,0.0,False,0,0,0.005779200000688434,random,1,medium
39,0.0,0.0,False,0,0,0.005929600003582891,random,1,medium
40,0.0,0.0,False,0,0,0.00608009999996284,random,1,medium
41,0.0,0.0,False,0,0,0.006226800003787503,random,1,medium
42,0.0,0.0,False,0,0,0.006375800003297627,random,1,medium
43,0.0,0.0,False,0,0,0.006527300000016112,random,1,medium
44,0.0,0.0,False,0,0,0.0066800999993574806,random,1,medium
45,0.0,0.0,False,0,0,0.006829600002674852,random,1,medium
46,0.0,0.0,False,0,0,0.006976199998462107,random,1,medium
47,0.0,0.0,False,0,0,0.00712059999932535,random,1,medium
48,0.0,0.0,False,0,0,0.007273399998666719,random,1,medium
49,0.0,0.0,False,0,0,0.007423800001561176,random,1,medium
50,0.0,0.0,False,0,0,0.007572200003778562,random,1,medium
51,0.0,0.0,False,0,0,0.007714400002441835,random,1,medium
52,0.0,0.0,False,0,0,0.007857600001443643,random,1,medium
53,0.0,0.0,False,0,0,0.008001300004252698,random,1,medium
54,0.0,0.0,False,0,0,0.00814399999944726,random,1,medium
55,0.0,0.0,False,0,0,0.008286299998871982,random,1,medium
56,0.0,0.0,False,0,0,0.008428900000581052,random,1,medium
57,0.0,0.0,False,0,0,0.008571200000005774,random,1,medium
58,0.0,0.0,False,0,0,0.008714600000530481,random,1,medium
59,0.0,0.0,False,0,0,0.008857100001478102,random,1,medium
60,0.0,0.0,False,0,0,0.008999099998618476,random,1,medium
61,0.0,0.0,False,0,0,0.009139900001173373,random,1,medium
62,0.0,0.0,False,0,0,0.00928070000372827,random,1,medium
63,0.0,0.0,False,0,0,0.009423200004675891,random,1,medium
64,0.0,0.0,False,0,0,0.009565100001054816,random,1,medium
