iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0455151999994996,bo,1,medium
2,0.0,0.0,False,0,0,0.046990000002551824,bo,1,medium
3,0.0,0.0,False,1,0,0.048281900002621114,bo,1,medium
4,0.0,0.0,False,0,0,0.049557300000742543,bo,1,medium
5,0.0,0.0,False,0,0,0.050829400002839975,bo,1,medium
6,0.0,0.0,False,0,0,0.052133600001980085,bo,1,medium
7,0.0,0.0,False,0,0,0.0534581000028993,bo,1,medium
8,0.0,0.0,False,0,0,0.054722300003049895,bo,1,medium
9,0.0,0.0,False,0,0,0.05599349999829428,bo,1,medium
10,0.0,0.0,False,0,0,0.05726460000005318,bo,1,medium
11,0.0,0.0,False,0,0,0.058579399999871384,bo,1,medium
12,0.0,0.0,False,0,0,0.06012580000242451,bo,1,medium
13,0.0,0.0,False,0,0,0.061422300001140684,bo,1,medium
14,0.0,0.0,False,0,0,0.0626648000034038,bo,1,medium
15,0.0,0.0,False,0,0,0.06392220000270754,bo,1,medium
16,0.0,0.0,False,0,0,0.06517000000167172,bo,1,medium
17,0.0,0.0,False,0,0,0.06641810000292026,bo,1,medium
18,0.0,0.0,False,1,0,0.0676759000052698,bo,1,medium
19,0.0,0.0,False,0,0,0.06890370000473922,bo,1,medium
20,0.0,0.0,False,0,0,0.17134970000188332,bo,1,medium
21,0.0,0.0,False,0,0,0.26579770000535063,bo,1,medium
22,0.0,0.0,False,0,0,0.36612959999911254,bo,1,medium
23,0.0,0.0,False,0,0,0.46381079999991925,bo,1,medium
24,0.0,0.0,False,0,0,0.5613606000042637,bo,1,medium
25,0.0,0.0,False,0,0,0.6682693000038853,bo,1,medium
26,0.0,0.0,False,0,0,0.7737947999994503,bo,1,medium
27,0.0,0.0,False,1,0,0.8905471000034595,bo,1,medium
28,0.0,0.0,False,0,0,0.9980424000023049,bo,1,medium
29,0.0,0.0,False,0,0,1.1045908000014606,bo,1,medium
30,0.0,0.0,False,0,0,1.2133748999985983,bo,1,medium
31,0.0,0.0,False,0,0,1.3228066000010585,bo,1,medium
32,0.0,0.0,False,0,0,1.4376895000023069,bo,1,medium
33,0.0,0.0,False,0,0,1.5544348000039463,bo,1,medium
34,0.0,0.0,False,0,0,1.6737274000042817,bo,1,medium
35,0.0,0.0,False,0,0,1.7982564000049024,bo,1,medium
36,0.0,0.0,False,0,0,1.91753030000109,bo,1,medium
37,0.0,0.0,False,0,0,2.0778313000046182,bo,1,medium
38,0.0,0.0,False,0,0,2.1929111999997986,bo,1,medium
39,0.0,0.0,False,0,0,2.3091316999998526,bo,1,medium
40,0.0,0.0,False,0,0,2.4321755999990273,bo,1,medium
41,0.0,0.0,False,0,0,2.5575011000037193,bo,1,medium
42,0.0,0.0,False,0,0,2.684993900002155,bo,1,medium
43,0.0,0.0,False,0,0,2.8115856000003987,bo,1,medium
44,0.0,0.0,False,0,0,2.9385332000019844,bo,1,medium
45,0.0,0.0,False,0,0,3.073657100001583,bo,1,medium
46,0.0,0.0,False,0,0,3.199932200004696,bo,1,medium
47,0.0,0.0,False,0,0,3.3396750000028987,bo,1,medium
48,0.0,0.0,False,0,0,3.48215429999982,bo,1,medium
49,0.0,0.0,False,0,0,3.626453800003219,bo,1,medium
