iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.004479299997910857,cmaes_repair,4,large
2,0.0,0.0,False,0,0,0.004926599998725578,cmaes_repair,4,large
3,0.0,0.0,False,0,0,0.005366500001400709,cmaes_repair,4,large
4,0.0,0.0,False,1,0,0.005801400002383161,cmaes_repair,4,large
5,0.0,0.0,False,0,0,0.006266700002015568,cmaes_repair,4,large
6,0.0,0.0,False,1,0,0.00674280000384897,cmaes_repair,4,large
7,0.0,0.0,False,1,0,0.0072065999993355945,cmaes_repair,4,large
8,0.0,0.0,False,1,0,0.007684700001846068,cmaes_repair,4,large
9,0.0,0.0,False,2,0,0.008114399999612942,cmaes_repair,4,large
10,0.0,0.0,False,1,0,0.008549199999833945,cmaes_repair,4,large
11,0.0,0.0,False,0,0,0.00896620000276016,cmaes_repair,4,large
12,0.0,0.0,False,1,0,0.009376499998325016,cmaes_repair,4,large
13,0.0,0.0,False,0,0,0.009877900003630202,cmaes_repair,4,large
14,0.0,0.0,False,1,0,0.0103503999998793,cmaes_repair,4,large
15,0.0,0.0,False,2,0,0.010752599999250378,cmaes_repair,4,large
16,0.0,0.0,False,0,0,0.01120210000226507,cmaes_repair,4,large
17,0.0,0.0,False,0,0,0.011649699998088181,cmaes_repair,4,large
18,0.0,0.0,False,0,0,0.013071900000795722,cmaes_repair,4,large
19,0.0,0.0,False,1,0,0.01356369999848539,cmaes_repair,4,large
20,0.0,0.0,False,1,0,0.014042299997527152,cmaes_repair,4,large
21,0.0,0.0,False,0,0,0.014441300001635682,cmaes_repair,4,large
22,0.0,0.0,False,0,0,0.014843999997538049,cmaes_repair,4,large
23,0.0,0.0,False,0,0,0.01525229999970179,cmaes_repair,4,large
24,0.0,0.0,False,0,0,0.015679800002544653,cmaes_repair,4,large
25,0.0,0.0,False,2,0,0.01613050000014482,cmaes_repair,4,large
26,0.0,0.0,False,0,0,0.016542500001378357,cmaes_repair,4,large
27,0.0,0.0,False,1,0,0.016988399998808745,cmaes_repair,4,large
28,0.0,0.0,False,0,0,0.017392400004609954,cmaes_repair,4,large
29,0.0,0.0,False,0,0,0.01781710000068415,cmaes_repair,4,large
30,0.0,0.0,False,1,0,0.018487400004232768,cmaes_repair,4,large
31,0.0,0.0,False,0,0,0.019005599999218248,cmaes_repair,4,large
32,0.0,0.0,False,0,0,0.019523100003425498,cmaes_repair,4,large
33,0.0,0.0,False,0,0,0.01995329999772366,cmaes_repair,4,large
34,0.0,0.0,False,1,0,0.02038429999811342,cmaes_repair,4,large
35,0.0,0.0,False,0,0,0.020801799997570924,cmaes_repair,4,large
36,0.0,0.0,False,0,0,0.021217900000920054,cmaes_repair,4,large
37,0.0,0.0,False,0,0,0.021632199997839052,cmaes_repair,4,large
38,0.0,0.0,False,1,0,0.022047899998142384,cmaes_repair,4,large
39,0.0,0.0,False,0,0,0.022458799998275936,cmaes_repair,4,large
40,0.0,0.0,False,0,0,0.02287580000120215,cmaes_repair,4,large
41,0.0,0.0,False,0,0,0.023281499998120125,cmaes_repair,4,large
42,0.0,0.0,False,0,0,0.02372579999791924,cmaes_repair,4,large
43,0.0,0.0,False,0,0,0.02419250000093598,cmaes_repair,4,large
44,0.0,0.0,False,1,0,0.024674699998286087,cmaes_repair,4,large
45,0.0,0.0,False,1,0,0.025135399999271613,cmaes_repair,4,large
46,0.0,0.0,False,0,0,0.025606700000935234,cmaes_repair,4,large
47,0.0,0.0,False,2,0,0.026025600003777072,cmaes_repair,4,large
48,0.0,0.0,False,0,0,0.026477799998247065,cmaes_repair,4,large
49,0.0,0.0,False,1,0,0.02689249999821186,cmaes_repair,4,large
50,0.0,0.0,False,1,0,0.027320000001054723,cmaes_repair,4,large
51,0.0,0.0,False,2,0,0.02775390000169864,cmaes_repair,4,large
52,0.0,0.0,False,2,0,0.02855730000010226,cmaes_repair,4,large
53,0.0,0.0,False,0,0,0.029032400001597125,cmaes_repair,4,large
54,0.0,0.0,False,0,0,0.029532900000049267,cmaes_repair,4,large
55,0.0,0.0,False,0,0,0.029982899999595247,cmaes_repair,4,large
56,0.0,0.0,False,0,0,0.03042249999998603,cmaes_repair,4,large
57,0.0,0.0,False,0,0,0.03092130000004545,cmaes_repair,4,large
58,0.0,0.0,False,0,0,0.03157830000418471,cmaes_repair,4,large
59,0.0,0.0,False,0,0,0.03220829999918351,cmaes_repair,4,large
60,0.0,0.0,False,1,0,0.03272419999848353,cmaes_repair,4,large
61,0.0,0.0,False,1,0,0.03317529999912949,cmaes_repair,4,large
62,0.0,0.0,False,0,0,0.03371719999995548,cmaes_repair,4,large
63,0.0,0.0,False,2,0,0.034224499999254476,cmaes_repair,4,large
64,0.0,0.0,False,2,0,0.035027500001888257,cmaes_repair,4,large
65,0.0,0.0,False,0,0,0.03546780000033323,cmaes_repair,4,large
66,0.0,0.0,False,0,0,0.03590570000233129,cmaes_repair,4,large
67,0.0,0.0,False,0,0,0.036511099999188446,cmaes_repair,4,large
68,0.0,0.0,False,0,0,0.037164499997743405,cmaes_repair,4,large
69,0.0,0.0,False,0,0,0.03771750000305474,cmaes_repair,4,large
70,0.0,0.0,False,0,0,0.038201900002604816,cmaes_repair,4,large
71,0.0,0.0,False,0,0,0.038630100003501866,cmaes_repair,4,large
72,0.0,0.0,False,1,0,0.03909589999966556,cmaes_repair,4,large
73,0.0,0.0,False,0,0,0.03950030000123661,cmaes_repair,4,large
74,0.0,0.0,False,0,0,0.03991410000162432,cmaes_repair,4,large
75,0.0,0.0,False,0,0,0.04036440000345465,cmaes_repair,4,large
76,0.0,0.0,False,1,0,0.040834799998265225,cmaes_repair,4,large
77,0.0,0.0,False,0,0,0.041258299999753945,cmaes_repair,4,large
78,0.0,0.0,False,0,0,0.04171850000420818,cmaes_repair,4,large
79,0.0,0.0,False,0,0,0.042170100001385435,cmaes_repair,4,large
80,0.0,0.0,False,1,0,0.0426246999995783,cmaes_repair,4,large
81,0.0,0.0,False,0,0,0.04304979999869829,cmaes_repair,4,large
82,0.0,0.0,False,1,0,0.04346929999883287,cmaes_repair,4,large
83,0.0,0.0,False,0,0,0.043926999998802785,cmaes_repair,4,large
