iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00881150000350317,cmaes_repair_seeded,4,large
2,0.0,0.0,False,1,0,0.009245300003385637,cmaes_repair_seeded,4,large
3,0.0,0.0,False,0,0,0.009681200004706625,cmaes_repair_seeded,4,large
4,0.0,0.0,False,1,0,0.010063300003821496,cmaes_repair_seeded,4,large
5,0.0,0.0,False,2,0,0.01045460000023013,cmaes_repair_seeded,4,large
6,0.0,0.0,False,2,0,0.010863000003155321,cmaes_repair_seeded,4,large
7,0.0,0.0,False,1,0,0.01127680000354303,cmaes_repair_seeded,4,large
8,0.0,0.0,False,1,0,0.011694700006046332,cmaes_repair_seeded,4,large
9,0.0,0.0,False,1,0,0.012102799999411218,cmaes_repair_seeded,4,large
10,0.0,0.0,False,1,0,0.012517200004367623,cmaes_repair_seeded,4,large
11,0.0,0.0,False,0,0,0.012898700006189756,cmaes_repair_seeded,4,large
12,0.0,0.0,False,0,0,0.013279600003443193,cmaes_repair_seeded,4,large
13,0.0,0.0,False,0,0,0.013662900004419498,cmaes_repair_seeded,4,large
14,0.0,0.0,False,1,0,0.014059000000997912,cmaes_repair_seeded,4,large
15,0.0,0.0,False,0,0,0.014457100005529355,cmaes_repair_seeded,4,large
16,0.0,0.0,False,0,0,0.014863200005493127,cmaes_repair_seeded,4,large
17,0.0,0.0,False,1,0,0.015262300003087148,cmaes_repair_seeded,4,large
18,0.0,0.0,False,1,0,0.01648900000145659,cmaes_repair_seeded,4,large
19,0.0,0.0,False,0,0,0.016932800004724413,cmaes_repair_seeded,4,large
20,0.0,0.0,False,1,0,0.018063100003928412,cmaes_repair_seeded,4,large
21,0.0,0.0,False,1,0,0.018505300002289005,cmaes_repair_seeded,4,large
22,0.0,0.0,False,0,0,0.018940200003271457,cmaes_repair_seeded,4,large
23,0.0,0.0,False,0,0,0.019359800004167482,cmaes_repair_seeded,4,large
24,0.0,0.0,False,0,0,0.019787900004303083,cmaes_repair_seeded,4,large
25,0.0,0.0,False,0,0,0.02021230000536889,cmaes_repair_seeded,4,large
26,0.0,0.0,False,2,0,0.02064480000262847,cmaes_repair_seeded,4,large
27,0.0,0.0,False,0,0,0.02107530000648694,cmaes_repair_seeded,4,large
28,0.0,0.0,False,1,0,0.021507500001462176,cmaes_repair_seeded,4,large
29,0.0,0.0,False,0,0,0.02192510000168113,cmaes_repair_seeded,4,large
30,0.0,0.0,False,0,0,0.0223416000008001,cmaes_repair_seeded,4,large
31,0.0,0.0,False,1,0,0.022766800000681542,cmaes_repair_seeded,4,large
32,0.0,0.0,False,0,0,0.02318510000623064,cmaes_repair_seeded,4,large
33,0.0,0.0,False,0,0,0.023590600001625717,cmaes_repair_seeded,4,large
34,0.0,0.0,False,0,0,0.02403440000489354,cmaes_repair_seeded,4,large
35,0.0,0.0,False,1,0,0.02451450000080513,cmaes_repair_seeded,4,large
36,0.0,0.0,False,0,0,0.02495450000424171,cmaes_repair_seeded,4,large
37,0.0,0.0,False,0,0,0.025444800005061552,cmaes_repair_seeded,4,large
38,0.0,0.0,False,0,0,0.025886499999614898,cmaes_repair_seeded,4,large
39,0.0,0.0,False,1,0,0.02629900000465568,cmaes_repair_seeded,4,large
40,0.0,0.0,False,0,0,0.026709199999459088,cmaes_repair_seeded,4,large
41,0.0,0.0,False,0,0,0.0271095000061905,cmaes_repair_seeded,4,large
42,0.0,0.0,False,0,0,0.027500800002599135,cmaes_repair_seeded,4,large
43,0.0,0.0,False,0,0,0.027899600005184766,cmaes_repair_seeded,4,large
44,0.0,0.0,False,0,0,0.028291700000409037,cmaes_repair_seeded,4,large
45,0.0,0.0,False,1,0,0.02869940000528004,cmaes_repair_seeded,4,large
46,0.0,0.0,False,1,0,0.029097300001012627,cmaes_repair_seeded,4,large
47,0.0,0.0,False,0,0,0.029489500004274305,cmaes_repair_seeded,4,large
48,0.0,0.0,False,2,0,0.029884300005505793,cmaes_repair_seeded,4,large
