iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0036678000033134595,cmaes_repair,9,medium
2,0.0,0.0,False,0,0,0.0038894000026630238,cmaes_repair,9,medium
3,0.0,0.0,False,1,0,0.004114900002605282,cmaes_repair,9,medium
4,0.0,0.0,False,0,0,0.004328900002292357,cmaes_repair,9,medium
5,0.0,0.0,False,3,0,0.004552899998088833,cmaes_repair,9,medium
6,0.0,0.0,False,0,0,0.004788999998709187,cmaes_repair,9,medium
7,0.0,0.0,False,0,0,0.005022199999075383,cmaes_repair,9,medium
8,0.0,0.0,False,0,0,0.0052283000040915795,cmaes_repair,9,medium
9,0.0,0.0,False,0,0,0.0054396999985328875,cmaes_repair,9,medium
10,0.0,0.0,False,0,0,0.0056468999973731115,cmaes_repair,9,medium
11,0.0,0.0,False,1,0,0.005856399999174755,cmaes_repair,9,medium
12,0.0,0.0,False,1,0,0.00608500000089407,cmaes_repair,9,medium
13,0.0,0.0,False,1,0,0.006517100002383813,cmaes_repair,9,medium
14,0.0,0.0,False,0,0,0.00676720000046771,cmaes_repair,9,medium
15,0.0,0.0,False,1,0,0.006991800000832882,cmaes_repair,9,medium
16,0.0,0.0,False,1,0,0.007924899997306056,cmaes_repair,9,medium
17,0.0,0.0,False,0,0,0.008147300002747215,cmaes_repair,9,medium
18,0.0,0.0,False,0,0,0.00836169999820413,cmaes_repair,9,medium
19,0.0,0.0,False,1,0,0.008578599998145364,cmaes_repair,9,medium
20,0.0,0.0,False,0,0,0.008789400002569892,cmaes_repair,9,medium
21,0.0,0.0,False,0,0,0.009000600002764259,cmaes_repair,9,medium
22,0.0,0.0,False,0,0,0.009214500001689885,cmaes_repair,9,medium
23,0.0,0.0,False,0,0,0.009425999996892642,cmaes_repair,9,medium
24,0.0,0.0,False,2,0,0.009643999997933861,cmaes_repair,9,medium
25,0.0,0.0,False,0,0,0.009857999997620936,cmaes_repair,9,medium
26,0.0,0.0,False,0,0,0.010069299998576753,cmaes_repair,9,medium
27,0.0,0.0,False,1,0,0.010283499999786727,cmaes_repair,9,medium
28,0.0,0.0,False,0,0,0.010494599999219645,cmaes_repair,9,medium
29,0.0,0.0,False,0,0,0.010703300002205651,cmaes_repair,9,medium
30,0.0,0.0,False,0,0,0.010912899997492786,cmaes_repair,9,medium
31,0.0,0.0,False,1,0,0.011208399999304675,cmaes_repair,9,medium
32,0.0,0.0,False,0,0,0.011431200000515673,cmaes_repair,9,medium
33,0.0,0.0,False,0,0,0.011646400002064183,cmaes_repair,9,medium
34,0.0,0.0,False,0,0,0.011861999999382533,cmaes_repair,9,medium
35,0.0,0.0,False,0,0,0.012130800001614261,cmaes_repair,9,medium
36,0.0,0.0,False,1,0,0.012359300002572127,cmaes_repair,9,medium
37,0.0,0.0,False,1,0,0.01261510000040289,cmaes_repair,9,medium
38,0.0,0.0,False,0,0,0.012829400002374314,cmaes_repair,9,medium
39,0.0,0.0,False,0,0,0.013041400001384318,cmaes_repair,9,medium
40,0.0,0.0,False,1,0,0.013254400000732858,cmaes_repair,9,medium
41,0.0,0.0,False,1,0,0.013465700001688674,cmaes_repair,9,medium
42,0.0,0.0,False,0,0,0.013675900001544505,cmaes_repair,9,medium
43,0.0,0.0,False,1,0,0.013888800000131596,cmaes_repair,9,medium
44,0.0,0.0,False,0,0,0.014097300001594704,cmaes_repair,9,medium
45,0.0,0.0,False,0,0,0.014304600001196377,cmaes_repair,9,medium
46,0.0,0.0,False,0,0,0.01451420000375947,cmaes_repair,9,medium
47,0.0,0.0,False,0,0,0.014735099997778889,cmaes_repair,9,medium
48,0.0,0.0,False,0,0,0.014946900002541952,cmaes_repair,9,medium
49,0.0,0.0,False,0,0,0.01515839999774471,cmaes_repair,9,medium
50,0.0,0.0,False,0,0,0.0153682000018307,cmaes_repair,9,medium
51,0.0,0.0,False,0,0,0.015575500001432374,cmaes_repair,9,medium
52,0.0,0.0,False,2,0,0.015790099998412188,cmaes_repair,9,medium
53,0.0,0.0,False,1,0,0.016000700001313817,cmaes_repair,9,medium
54,0.0,0.0,False,0,0,0.016208400003961287,cmaes_repair,9,medium
55,0.0,0.0,False,1,0,0.016419699997641146,cmaes_repair,9,medium
56,0.0,0.0,False,0,0,0.016632200000458397,cmaes_repair,9,medium
57,0.0,0.0,False,1,0,0.01684229999955278,cmaes_repair,9,medium
58,0.0,0.0,False,0,0,0.017049599999154452,cmaes_repair,9,medium
59,0.0,0.0,False,0,0,0.017257100000279024,cmaes_repair,9,medium
60,0.0,0.0,False,1,0,0.01746640000055777,cmaes_repair,9,medium
61,0.0,0.0,False,0,0,0.017675800001597963,cmaes_repair,9,medium
62,0.0,0.0,False,0,0,0.01788469999883091,cmaes_repair,9,medium
63,0.0,0.0,False,0,0,0.018139200001314748,cmaes_repair,9,medium
64,0.0,0.0,False,2,0,0.018369199999142438,cmaes_repair,9,medium
65,0.0,0.0,False,0,0,0.018621399998664856,cmaes_repair,9,medium
66,0.0,0.0,False,0,0,0.018841999997675885,cmaes_repair,9,medium
67,0.0,0.0,False,0,0,0.019056400000408757,cmaes_repair,9,medium
68,0.0,0.0,False,0,0,0.019281699998828117,cmaes_repair,9,medium
69,0.0,0.0,False,1,0,0.01950339999893913,cmaes_repair,9,medium
70,0.0,0.0,False,0,0,0.01971410000260221,cmaes_repair,9,medium
