iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0037333000000217,cmaes,0,medium
2,0.0,0.0,False,0,0,0.003906500001903623,cmaes,0,medium
3,0.0,0.0,False,0,0,0.004061200001160614,cmaes,0,medium
4,0.0,0.0,False,0,0,0.004212400002870709,cmaes,0,medium
5,0.0,0.0,False,0,0,0.004360800005088095,cmaes,0,medium
6,0.0,0.0,False,0,0,0.004507199999352451,cmaes,0,medium
7,0.0,0.0,False,0,0,0.004652800002077129,cmaes,0,medium
8,0.0,0.0,False,1,0,0.004818699999304954,cmaes,0,medium
9,0.0,0.0,False,0,0,0.004978400000254624,cmaes,0,medium
10,0.0,0.0,False,0,0,0.005300100005115382,cmaes,0,medium
11,0.0,0.0,False,0,0,0.005532800001674332,cmaes,0,medium
12,0.0,0.0,False,0,0,0.005749700001615565,cmaes,0,medium
13,0.0,0.0,False,0,0,0.005915000001550652,cmaes,0,medium
14,0.0,0.0,False,0,0,0.006153800000902265,cmaes,0,medium
15,0.0,0.0,False,0,0,0.006318500003544614,cmaes,0,medium
16,0.0,0.0,False,0,0,0.0072249000004376285,cmaes,0,medium
17,0.0,0.0,False,0,0,0.007384800002910197,cmaes,0,medium
18,0.0,0.0,False,0,0,0.007536100005381741,cmaes,0,medium
19,0.0,0.0,False,0,0,0.007689400001254398,cmaes,0,medium
20,0.0,0.0,False,0,0,0.007838500001525972,cmaes,0,medium
21,0.0,0.0,False,0,0,0.007985900003404822,cmaes,0,medium
22,0.0,0.0,False,0,0,0.008132700000714976,cmaes,0,medium
23,0.0,0.0,False,0,0,0.008278900000732392,cmaes,0,medium
24,0.0,0.0,False,0,0,0.008423600003879983,cmaes,0,medium
25,0.0,0.0,False,0,0,0.008566600001358893,cmaes,0,medium
26,0.0,0.0,False,1,0,0.00871960000222316,cmaes,0,medium
27,0.0,0.0,False,0,0,0.008868600001733284,cmaes,0,medium
28,0.0,0.0,False,0,0,0.0090148000017507,cmaes,0,medium
29,0.0,0.0,False,0,0,0.009158699998806696,cmaes,0,medium
30,0.0,0.0,False,0,0,0.009304700004577171,cmaes,0,medium
31,0.0,0.0,False,0,0,0.009449900004256051,cmaes,0,medium
32,0.0,0.0,False,0,0,0.00960740000300575,cmaes,0,medium
33,0.0,0.0,False,1,0,0.009758100000908598,cmaes,0,medium
34,0.0,0.0,False,0,0,0.009910400003718678,cmaes,0,medium
35,0.0,0.0,False,0,0,0.010059600004751701,cmaes,0,medium
36,0.0,0.0,False,0,0,0.01020740000240039,cmaes,0,medium
37,0.0,0.0,False,1,0,0.010356400001910515,cmaes,0,medium
38,0.0,0.0,False,0,0,0.010503100005735178,cmaes,0,medium
39,0.0,0.0,False,2,0,0.010654400000930764,cmaes,0,medium
40,0.0,0.0,False,0,0,0.010803100005432498,cmaes,0,medium
41,0.0,0.0,False,0,0,0.010949499999696855,cmaes,0,medium
42,0.0,0.0,False,0,0,0.01109569999971427,cmaes,0,medium
43,0.0,0.0,False,0,0,0.011241600004723296,cmaes,0,medium
44,0.0,0.0,False,0,0,0.01142460000119172,cmaes,0,medium
45,0.0,0.0,False,0,0,0.01158910000231117,cmaes,0,medium
46,0.0,0.0,False,0,0,0.011766200004785787,cmaes,0,medium
47,0.0,0.0,False,0,0,0.011927100000320934,cmaes,0,medium
48,0.0,0.0,False,0,0,0.01208520000363933,cmaes,0,medium
49,0.0,0.0,False,0,0,0.012257599999429658,cmaes,0,medium
50,0.0,0.0,False,0,0,0.012502400000812486,cmaes,0,medium
51,0.0,0.0,False,0,0,0.012699800005066209,cmaes,0,medium
52,0.0,0.0,False,0,0,0.012932500001625158,cmaes,0,medium
53,0.0,0.0,False,0,0,0.01311810000333935,cmaes,0,medium
54,0.0,0.0,False,0,0,0.013274600001750514,cmaes,0,medium
55,0.0,0.0,False,2,0,0.013441200004308484,cmaes,0,medium
56,0.0,0.0,False,0,0,0.013606200001959223,cmaes,0,medium
57,0.0,0.0,False,0,0,0.013768299999355804,cmaes,0,medium
58,0.0,0.0,False,0,0,0.013927799998782575,cmaes,0,medium
59,0.0,0.0,False,1,0,0.014087200004723854,cmaes,0,medium
60,0.0,0.0,False,0,0,0.01424330000008922,cmaes,0,medium
61,0.0,0.0,False,0,0,0.014396900005522184,cmaes,0,medium
62,0.0,0.0,False,0,0,0.014551300002494827,cmaes,0,medium
63,0.0,0.0,False,0,0,0.014706300004036166,cmaes,0,medium
64,0.0,0.0,False,0,0,0.014861000003293157,cmaes,0,medium
65,0.0,0.0,False,0,0,0.015014800002973061,cmaes,0,medium
66,0.0,0.0,False,0,0,0.015173700005107094,cmaes,0,medium
67,0.0,0.0,False,0,0,0.015326400003687013,cmaes,0,medium
68,0.0,0.0,False,0,0,0.01547500000015134,cmaes,0,medium
69,0.0,0.0,False,1,0,0.01562700000067707,cmaes,0,medium
70,0.0,0.0,False,0,0,0.0157794000042486,cmaes,0,medium
71,0.0,0.0,False,0,0,0.015923900005873293,cmaes,0,medium
72,0.0,0.0,False,0,0,0.016068600001744926,cmaes,0,medium
73,0.0,0.0,False,0,0,0.016216300005908124,cmaes,0,medium
74,0.0,0.0,False,0,0,0.016366500000003725,cmaes,0,medium
75,0.0,0.0,False,0,0,0.01651259999925969,cmaes,0,medium
76,0.0,0.0,False,1,0,0.01666240000486141,cmaes,0,medium
77,0.0,0.0,False,0,0,0.016814599999634083,cmaes,0,medium
78,0.0,0.0,False,0,0,0.0169679000027827,cmaes,0,medium
79,0.0,0.0,False,1,0,0.017120900003646966,cmaes,0,medium
80,0.0,0.0,False,0,0,0.017274300000281073,cmaes,0,medium
81,0.0,0.0,False,0,0,0.01747350000368897,cmaes,0,medium
82,0.0,0.0,False,0,0,0.01764019999973243,cmaes,0,medium
83,0.0,0.0,False,0,0,0.017794400002458133,cmaes,0,medium
84,0.0,0.0,False,0,0,0.017946600004506763,cmaes,0,medium
85,0.0,0.0,False,0,0,0.01809960000537103,cmaes,0,medium
86,0.0,0.0,False,1,0,0.018253100002766587,cmaes,0,medium
87,0.0,0.0,False,1,0,0.018403100002615247,cmaes,0,medium
88,0.0,0.0,False,0,0,0.01855480000085663,cmaes,0,medium
89,0.0,0.0,False,0,0,0.018701500004681293,cmaes,0,medium
90,0.0,0.0,False,0,0,0.018846300001314376,cmaes,0,medium
91,0.0,0.0,False,0,0,0.01899260000209324,cmaes,0,medium
92,0.0,0.0,False,0,0,0.019138300005579367,cmaes,0,medium
93,0.0,0.0,False,0,0,0.019283500005258247,cmaes,0,medium
94,0.0,0.0,False,0,0,0.01943060000485275,cmaes,0,medium
95,0.0,0.0,False,0,0,0.01958260000537848,cmaes,0,medium
96,0.0,0.0,False,0,0,0.019728700004634447,cmaes,0,medium
97,0.0,0.0,False,0,0,0.019874800003890414,cmaes,0,medium
98,0.0,0.0,False,0,0,0.020020000003569294,cmaes,0,medium
99,0.0,0.0,False,0,0,0.020169000003079418,cmaes,0,medium
100,0.0,0.0,False,0,0,0.0203137999997125,cmaes,0,medium
101,0.0,0.0,False,0,0,0.020460400002775714,cmaes,0,medium
102,0.0,0.0,False,0,0,0.020635100001527462,cmaes,0,medium
103,0.0,0.0,False,0,0,0.020786300003237557,cmaes,0,medium
104,0.0,0.0,False,0,0,0.02093310000054771,cmaes,0,medium
105,0.0,0.0,False,0,0,0.021084100000734907,cmaes,0,medium
106,0.0,0.0,False,0,0,0.021235200001683552,cmaes,0,medium
107,0.0,0.0,False,0,0,0.02138120000017807,cmaes,0,medium
108,0.0,0.0,False,0,0,0.02153560000442667,cmaes,0,medium
109,0.0,0.0,False,0,0,0.021681400001398288,cmaes,0,medium
110,0.0,0.0,False,0,0,0.0218280000044615,cmaes,0,medium
111,0.0,0.0,False,0,0,0.02197349999914877,cmaes,0,medium
112,0.0,0.0,False,0,0,0.0221187999995891,cmaes,0,medium
113,0.0,0.0,False,0,0,0.022267100001045037,cmaes,0,medium
114,0.0,0.0,False,0,0,0.022415200000978075,cmaes,0,medium
115,0.0,0.0,False,0,0,0.022565400002349634,cmaes,0,medium
116,0.0,0.0,False,0,0,0.022712400001182687,cmaes,0,medium
117,0.0,0.0,False,0,0,0.022857500000100117,cmaes,0,medium
118,0.0,0.0,False,0,0,0.023005300005024765,cmaes,0,medium
119,0.0,0.0,False,0,0,0.02315180000005057,cmaes,0,medium
120,0.0,0.0,False,0,0,0.0232973000020138,cmaes,0,medium
121,0.0,0.0,False,0,0,0.02345470000000205,cmaes,0,medium
122,0.0,0.0,False,0,0,0.02367210000375053,cmaes,0,medium
123,0.0,0.0,False,0,0,0.023837699998694006,cmaes,0,medium
124,0.0,0.0,False,0,0,0.023992499998712447,cmaes,0,medium
125,0.0,0.0,False,0,0,0.024139900000591297,cmaes,0,medium
126,0.0,0.0,False,0,0,0.02428850000433158,cmaes,0,medium
127,0.0,0.0,False,0,0,0.024435200000880286,cmaes,0,medium
128,0.0,0.0,False,0,0,0.024580400000559166,cmaes,0,medium
129,0.0,0.0,False,0,0,0.024730500001169275,cmaes,0,medium
130,0.0,0.0,False,0,0,0.024878500000340864,cmaes,0,medium
131,0.0,0.0,False,0,0,0.025026499999512453,cmaes,0,medium
132,0.0,0.0,False,0,0,0.025172900001052767,cmaes,0,medium
133,0.0,0.0,False,0,0,0.025318200001493096,cmaes,0,medium
134,0.0,0.0,False,0,0,0.02546309999888763,cmaes,0,medium
135,0.0,0.0,False,0,0,0.02561309999873629,cmaes,0,medium
136,0.0,0.0,False,0,0,0.02576240000053076,cmaes,0,medium
137,0.0,0.0,False,0,0,0.02590749999944819,cmaes,0,medium
138,0.0,0.0,False,0,0,0.02605490000132704,cmaes,0,medium
139,0.0,0.0,False,0,0,0.02621039999939967,cmaes,0,medium
140,0.0,0.0,False,0,0,0.02635569999984,cmaes,0,medium
141,0.0,0.0,False,0,0,0.026504100002057385,cmaes,0,medium
142,0.0,0.0,False,0,0,0.026656900001398753,cmaes,0,medium
143,0.0,0.0,False,0,0,0.026805900000908878,cmaes,0,medium
144,0.0,0.0,False,0,0,0.02695460000541061,cmaes,0,medium
145,0.0,0.0,False,0,0,0.027102000000013504,cmaes,0,medium
146,0.0,0.0,False,0,0,0.02725020000070799,cmaes,0,medium
147,0.0,0.0,False,0,0,0.02740470000571804,cmaes,0,medium
148,0.0,0.0,False,0,0,0.027553500003705267,cmaes,0,medium
149,0.0,0.0,False,0,0,0.027705900000000838,cmaes,0,medium
150,0.0,0.0,False,0,0,0.0278558999998495,cmaes,0,medium
151,0.0,0.0,False,0,0,0.02800330000172835,cmaes,0,medium
152,0.0,0.0,False,0,0,0.028153500003099907,cmaes,0,medium
153,0.0,0.0,False,0,0,0.028306300002441276,cmaes,0,medium
154,0.0,0.0,False,0,0,0.028453400002035778,cmaes,0,medium
155,0.0,0.0,False,0,0,0.028604600003745873,cmaes,0,medium
156,0.0,0.0,False,0,0,0.028754500002833083,cmaes,0,medium
157,0.0,0.0,False,0,0,0.028902300000481773,cmaes,0,medium
158,0.0,0.0,False,0,0,0.029052199999568984,cmaes,0,medium
159,0.0,0.0,False,0,0,0.02920780000567902,cmaes,0,medium
160,0.0,0.0,False,0,0,0.029359100000874605,cmaes,0,medium
161,0.0,0.0,False,1,0,0.029519399999117013,cmaes,0,medium
162,0.0,0.0,False,0,0,0.029693200005567633,cmaes,0,medium
163,0.0,0.0,False,0,0,0.02984709999873303,cmaes,0,medium
164,0.0,0.0,False,0,0,0.029995000004419126,cmaes,0,medium
165,0.0,0.0,False,0,0,0.030142200004775077,cmaes,0,medium
166,0.0,0.0,False,0,0,0.03028970000013942,cmaes,0,medium
167,0.0,0.0,False,0,0,0.03043679999973392,cmaes,0,medium
168,0.0,0.0,False,1,0,0.030587699999159668,cmaes,0,medium
169,0.0,0.0,False,0,0,0.030735200001799967,cmaes,0,medium
170,0.0,0.0,False,0,0,0.030881400001817383,cmaes,0,medium
171,0.0,0.0,False,0,0,0.031028199999127537,cmaes,0,medium
172,0.0,0.0,False,0,0,0.03117539999948349,cmaes,0,medium
173,0.0,0.0,False,0,0,0.03132040000491543,cmaes,0,medium
174,0.0,0.0,False,0,0,0.03146550000383286,cmaes,0,medium
175,0.0,0.0,False,0,0,0.031611300000804476,cmaes,0,medium
176,0.0,0.0,False,0,0,0.031756700002006255,cmaes,0,medium
177,0.0,0.0,False,0,0,0.031901800000923686,cmaes,0,medium
178,0.0,0.0,False,0,0,0.03204600000026403,cmaes,0,medium
179,0.0,0.0,False,0,0,0.03219040000112727,cmaes,0,medium
180,0.0,0.0,False,1,0,0.03233870000258321,cmaes,0,medium
181,0.0,0.0,False,0,0,0.03248430000530789,cmaes,0,medium
182,0.0,0.0,False,0,0,0.032629600005748216,cmaes,0,medium
183,0.0,0.0,False,0,0,0.03277470000466565,cmaes,0,medium
184,0.0,0.0,False,0,0,0.032918199998675846,cmaes,0,medium
185,0.0,0.0,False,0,0,0.033060900001146365,cmaes,0,medium
186,0.0,0.0,False,0,0,0.03320450000319397,cmaes,0,medium
187,0.0,0.0,False,1,0,0.03335160000278847,cmaes,0,medium
188,0.0,0.0,False,0,0,0.03349750000052154,cmaes,0,medium
189,0.0,0.0,False,0,0,0.03364210000290768,cmaes,0,medium
190,0.0,0.0,False,0,0,0.03378589999920223,cmaes,0,medium
191,0.0,0.0,False,0,0,0.033932099999219645,cmaes,0,medium
192,0.0,0.0,False,0,0,0.034077299998898525,cmaes,0,medium
193,0.0,0.0,False,0,0,0.034220100002130494,cmaes,0,medium
194,0.0,0.0,False,0,0,0.03436340000189375,cmaes,0,medium
195,0.0,0.0,False,0,0,0.03450639999937266,cmaes,0,medium
196,0.0,0.0,False,0,0,0.03464879999955883,cmaes,0,medium
197,0.0,0.0,False,0,0,0.035434000004897825,cmaes,0,medium
198,0.0,0.0,False,0,0,0.03562249999959022,cmaes,0,medium
199,0.0,0.0,False,0,0,0.035787300002994016,cmaes,0,medium
200,0.0,0.0,False,1,0,0.03595789999963017,cmaes,0,medium
201,0.0,0.0,False,0,0,0.03611800000362564,cmaes,0,medium
202,0.0,0.0,False,0,0,0.03627760000381386,cmaes,0,medium
203,0.0,0.0,False,0,0,0.03643469999951776,cmaes,0,medium
204,0.0,0.0,False,0,0,0.03670830000191927,cmaes,0,medium
205,0.0,0.0,False,0,0,0.03689130000566365,cmaes,0,medium
206,0.0,0.0,False,0,0,0.037048300000606105,cmaes,0,medium
207,0.0,0.0,False,0,0,0.03720669999893289,cmaes,0,medium
208,0.0,0.0,False,0,0,0.03735959999903571,cmaes,0,medium
209,0.0,0.0,False,0,0,0.0375114000053145,cmaes,0,medium
210,0.0,0.0,False,0,0,0.037660200003301725,cmaes,0,medium
211,0.0,0.0,False,0,0,0.03780710000137333,cmaes,0,medium
212,0.0,0.0,False,0,0,0.037950700003420934,cmaes,0,medium
