iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00030759999935980886,de,0,medium
2,0.0,0.0,False,0,0,0.0004761000018334016,de,0,medium
3,0.0,0.0,False,0,0,0.0006326000002445653,de,0,medium
4,0.0,0.0,False,0,0,0.0007865000006859191,de,0,medium
5,0.0,0.0,False,0,0,0.0009442000009585172,de,0,medium
6,0.0,0.0,False,0,0,0.0011006999993696809,de,0,medium
7,0.0,0.0,False,0,0,0.0012520000018412247,de,0,medium
8,0.0,0.0,False,0,0,0.0014011000021127984,de,0,medium
9,0.0,0.0,False,0,0,0.0015512999962083995,de,0,medium
10,0.0,0.0,False,0,0,0.0016995999976643361,de,0,medium
11,0.0,0.0,False,0,0,0.0018460999999660999,de,0,medium
12,0.0,0.0,False,1,0,0.002041699997789692,de,0,medium
13,0.0,0.0,False,0,0,0.002200399998400826,de,0,medium
14,0.0,0.0,False,0,0,0.0023538000023108907,de,0,medium
15,0.0,0.0,False,0,0,0.002515699998184573,de,0,medium
16,0.0,0.0,False,0,0,0.002668200002517551,de,0,medium
17,0.0,0.0,False,0,0,0.002816699998220429,de,0,medium
18,0.0,0.0,False,0,0,0.002971199995954521,de,0,medium
19,0.0,0.0,False,1,0,0.003141200002573896,de,0,medium
20,0.0,0.0,False,0,0,0.0032976000002236106,de,0,medium
21,0.0,0.0,False,0,0,0.003450099997280631,de,0,medium
22,0.0,0.0,False,0,0,0.003599800002120901,de,0,medium
23,0.0,0.0,False,1,0,0.0037522999991779216,de,0,medium
24,0.0,0.0,False,0,0,0.0039021999982651323,de,0,medium
25,0.0,0.0,False,2,0,0.004057199999806471,de,0,medium
26,0.0,0.0,False,0,0,0.004208199999993667,de,0,medium
27,0.0,0.0,False,0,0,0.004360599996289238,de,0,medium
28,0.0,0.0,False,0,0,0.004511400002229493,de,0,medium
29,0.0,0.0,False,0,0,0.004662499995902181,de,0,medium
30,0.0,0.0,False,0,0,0.004811999999219552,de,0,medium
31,0.0,0.0,False,0,0,0.004960999998729676,de,0,medium
32,0.0,0.0,False,0,0,0.005110199999762699,de,0,medium
33,0.0,0.0,False,0,0,0.005260699996142648,de,0,medium
34,0.0,0.0,False,0,0,0.005433699996501673,de,0,medium
35,0.0,0.0,False,0,0,0.005660599999828264,de,0,medium
36,0.0,0.0,False,0,0,0.005934000000706874,de,0,medium
37,0.0,0.0,False,0,0,0.006198800001584459,de,0,medium
38,0.0,0.0,False,0,0,0.006451699999161065,de,0,medium
39,0.0,0.0,False,0,0,0.006703200000629295,de,0,medium
40,0.0,0.0,False,0,0,0.006955500000913162,de,0,medium
41,0.0,0.0,False,2,0,0.007220300001790747,de,0,medium
42,0.0,0.0,False,0,0,0.007479899999452755,de,0,medium
43,0.0,0.0,False,0,0,0.007742699999653269,de,0,medium
44,0.0,0.0,False,0,0,0.008003900002222508,de,0,medium
45,0.0,0.0,False,1,0,0.008266799995908514,de,0,medium
46,0.0,0.0,False,0,0,0.00852669999585487,de,0,medium
47,0.0,0.0,False,0,0,0.00878769999690121,de,0,medium
48,0.0,0.0,False,0,0,0.009040500000992324,de,0,medium
49,0.0,0.0,False,0,0,0.009299400000600144,de,0,medium
50,0.0,0.0,False,0,0,0.009554999996908009,de,0,medium
51,0.0,0.0,False,0,0,0.009809800001676194,de,0,medium
52,0.0,0.0,False,0,0,0.010067299997899681,de,0,medium
53,0.0,0.0,False,0,0,0.010326099996746052,de,0,medium
54,0.0,0.0,False,0,0,0.010582399998384062,de,0,medium
55,0.0,0.0,False,1,0,0.010846099998161662,de,0,medium
56,0.0,0.0,False,0,0,0.0111075000022538,de,0,medium
57,0.0,0.0,False,0,0,0.011358099996868987,de,0,medium
58,0.0,0.0,False,0,0,0.01161359999969136,de,0,medium
59,0.0,0.0,False,0,0,0.011870100002852269,de,0,medium
60,0.0,0.0,False,0,0,0.012132500000006985,de,0,medium
61,0.0,0.0,False,0,0,0.013257699996756855,de,0,medium
62,0.0,0.0,False,0,0,0.013478599998052232,de,0,medium
63,0.0,0.0,False,0,0,0.013673000001290347,de,0,medium
