iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.004663400002755225,cmaes_seeded,5,medium
2,0.0,0.0,False,0,0,0.0048313000006601214,cmaes_seeded,5,medium
3,0.0,0.0,False,1,0,0.005107800003315788,cmaes_seeded,5,medium
4,0.0,0.0,False,0,0,0.005336700000043493,cmaes_seeded,5,medium
5,0.0,0.0,False,0,0,0.005497900005138945,cmaes_seeded,5,medium
6,0.0,0.0,False,1,0,0.0056616000001668,cmaes_seeded,5,medium
7,0.0,0.0,False,1,0,0.005827300003147684,cmaes_seeded,5,medium
8,0.0,0.0,False,0,0,0.005990800003928598,cmaes_seeded,5,medium
9,0.0,0.0,False,0,0,0.006150699999125209,cmaes_seeded,5,medium
10,0.0,0.0,False,0,0,0.006309700002020691,cmaes_seeded,5,medium
11,0.0,0.0,False,0,0,0.006470400003308896,cmaes_seeded,5,medium
12,0.0,0.0,False,0,0,0.006627200004004408,cmaes_seeded,5,medium
13,0.0,0.0,False,0,0,0.006784000004699919,cmaes_seeded,5,medium
14,0.0,0.0,False,0,0,0.006936800004041288,cmaes_seeded,5,medium
15,0.0,0.0,False,0,0,0.00708880000456702,cmaes_seeded,5,medium
16,0.0,0.0,False,1,0,0.00798870000289753,cmaes_seeded,5,medium
17,0.0,0.0,False,0,0,0.008145500003593042,cmaes_seeded,5,medium
18,0.0,0.0,False,0,0,0.008294900006148964,cmaes_seeded,5,medium
19,0.0,0.0,False,0,0,0.008446800005913246,cmaes_seeded,5,medium
20,0.0,0.0,False,0,0,0.008596899999247398,cmaes_seeded,5,medium
21,0.0,0.0,False,0,0,0.008746500003326219,cmaes_seeded,5,medium
22,0.0,0.0,False,0,0,0.008905200003937352,cmaes_seeded,5,medium
23,0.0,0.0,False,0,0,0.009054200003447477,cmaes_seeded,5,medium
24,0.0,0.0,False,0,0,0.009202100001857616,cmaes_seeded,5,medium
25,0.0,0.0,False,0,0,0.009365400001115631,cmaes_seeded,5,medium
26,0.0,0.0,False,0,0,0.009515900004771538,cmaes_seeded,5,medium
27,0.0,0.0,False,0,0,0.009665000005043112,cmaes_seeded,5,medium
28,0.0,0.0,False,0,0,0.009809100003622007,cmaes_seeded,5,medium
29,0.0,0.0,False,0,0,0.009952500004146714,cmaes_seeded,5,medium
30,0.0,0.0,False,0,0,0.010098200000356883,cmaes_seeded,5,medium
31,0.0,0.0,False,0,0,0.010249300001305528,cmaes_seeded,5,medium
32,0.0,0.0,False,0,0,0.010399999999208376,cmaes_seeded,5,medium
33,0.0,0.0,False,0,0,0.010550200000579935,cmaes_seeded,5,medium
34,0.0,0.0,False,0,0,0.010701800005335826,cmaes_seeded,5,medium
35,0.0,0.0,False,0,0,0.010844900003576186,cmaes_seeded,5,medium
36,0.0,0.0,False,1,0,0.010991800001647789,cmaes_seeded,5,medium
37,0.0,0.0,False,0,0,0.011137300003611017,cmaes_seeded,5,medium
38,0.0,0.0,False,1,0,0.011288800000329502,cmaes_seeded,5,medium
39,0.0,0.0,False,0,0,0.011441200003901031,cmaes_seeded,5,medium
40,0.0,0.0,False,0,0,0.011648200001218356,cmaes_seeded,5,medium
41,0.0,0.0,False,0,0,0.011809000003268011,cmaes_seeded,5,medium
42,0.0,0.0,False,0,0,0.011965600002440624,cmaes_seeded,5,medium
43,0.0,0.0,False,0,0,0.012112600001273677,cmaes_seeded,5,medium
44,0.0,0.0,False,0,0,0.012260200004675426,cmaes_seeded,5,medium
45,0.0,0.0,False,0,0,0.012406100002408493,cmaes_seeded,5,medium
46,0.0,0.0,False,0,0,0.012551600004371721,cmaes_seeded,5,medium
47,0.0,0.0,False,0,0,0.012695600002189167,cmaes_seeded,5,medium
48,0.0,0.0,False,0,0,0.01284210000449093,cmaes_seeded,5,medium
49,0.0,0.0,False,0,0,0.012989100003323983,cmaes_seeded,5,medium
50,0.0,0.0,False,0,0,0.013142000003426801,cmaes_seeded,5,medium
51,0.0,0.0,False,0,0,0.013314300005731639,cmaes_seeded,5,medium
52,0.0,0.0,False,1,0,0.013470600002619904,cmaes_seeded,5,medium
53,0.0,0.0,False,0,0,0.013623600003484171,cmaes_seeded,5,medium
54,0.0,0.0,False,0,0,0.013774500002909917,cmaes_seeded,5,medium
55,0.0,0.0,False,0,0,0.013924700004281476,cmaes_seeded,5,medium
56,0.0,0.0,False,0,0,0.014076899999054149,cmaes_seeded,5,medium
57,0.0,0.0,False,0,0,0.014230000000679865,cmaes_seeded,5,medium
58,0.0,0.0,False,0,0,0.014384000001882669,cmaes_seeded,5,medium
59,0.0,0.0,False,1,0,0.01453870000113966,cmaes_seeded,5,medium
60,0.0,0.0,False,0,0,0.014693700002680998,cmaes_seeded,5,medium
61,0.0,0.0,False,0,0,0.014847200000076555,cmaes_seeded,5,medium
62,0.0,0.0,False,0,0,0.014995900004578289,cmaes_seeded,5,medium
63,0.0,0.0,False,1,0,0.015145100005611312,cmaes_seeded,5,medium
64,0.0,0.0,False,1,0,0.015300800005206838,cmaes_seeded,5,medium
65,0.0,0.0,False,0,0,0.015452400002686772,cmaes_seeded,5,medium
66,0.0,0.0,False,0,0,0.015604500003973953,cmaes_seeded,5,medium
67,0.0,0.0,False,1,0,0.015759000001708046,cmaes_seeded,5,medium
68,0.0,0.0,False,1,0,0.015906900000118185,cmaes_seeded,5,medium
69,0.0,0.0,False,0,0,0.0160533000016585,cmaes_seeded,5,medium
70,0.0,0.0,False,1,0,0.016200199999730103,cmaes_seeded,5,medium
71,0.0,0.0,False,0,0,0.016344900002877694,cmaes_seeded,5,medium
72,0.0,0.0,False,0,0,0.016490100002556574,cmaes_seeded,5,medium
73,0.0,0.0,False,0,0,0.01663879999978235,cmaes_seeded,5,medium
74,0.0,0.0,False,0,0,0.0167860000001383,cmaes_seeded,5,medium
75,0.0,0.0,False,0,0,0.016935500003455672,cmaes_seeded,5,medium
76,0.0,0.0,False,1,0,0.01708890000008978,cmaes_seeded,5,medium
77,0.0,0.0,False,0,0,0.01724050000484567,cmaes_seeded,5,medium
78,0.0,0.0,False,0,0,0.017394400005287025,cmaes_seeded,5,medium
79,0.0,0.0,False,0,0,0.01754610000352841,cmaes_seeded,5,medium
80,0.0,0.0,False,0,0,0.017697499999485444,cmaes_seeded,5,medium
81,0.0,0.0,False,0,0,0.017849100004241336,cmaes_seeded,5,medium
82,0.0,0.0,False,0,0,0.017996599999605678,cmaes_seeded,5,medium
83,0.0,0.0,False,0,0,0.018140300002414733,cmaes_seeded,5,medium
84,0.0,0.0,False,0,0,0.018284600002516527,cmaes_seeded,5,medium
85,0.0,0.0,False,0,0,0.018427900002279785,cmaes_seeded,5,medium
86,0.0,0.0,False,0,0,0.018573800000012852,cmaes_seeded,5,medium
87,0.0,0.0,False,0,0,0.01872620000358438,cmaes_seeded,5,medium
88,0.0,0.0,False,0,0,0.018890899998950772,cmaes_seeded,5,medium
89,0.0,0.0,False,1,0,0.019049700000323355,cmaes_seeded,5,medium
90,0.0,0.0,False,0,0,0.019197400004486553,cmaes_seeded,5,medium
91,0.0,0.0,False,0,0,0.0193485000054352,cmaes_seeded,5,medium
92,0.0,0.0,False,0,0,0.01950510000460781,cmaes_seeded,5,medium
93,0.0,0.0,False,0,0,0.019708200001332443,cmaes_seeded,5,medium
94,0.0,0.0,False,0,0,0.019867900002282113,cmaes_seeded,5,medium
95,0.0,0.0,False,0,0,0.02002150000043912,cmaes_seeded,5,medium
96,0.0,0.0,False,1,0,0.020180100000288803,cmaes_seeded,5,medium
97,0.0,0.0,False,0,0,0.020332200001575984,cmaes_seeded,5,medium
98,0.0,0.0,False,0,0,0.0204853000032017,cmaes_seeded,5,medium
99,0.0,0.0,False,1,0,0.020644000003812835,cmaes_seeded,5,medium
100,0.0,0.0,False,0,0,0.02090860000316752,cmaes_seeded,5,medium
101,0.0,0.0,False,1,0,0.021110400004545227,cmaes_seeded,5,medium
102,0.0,0.0,False,1,0,0.02126750000024913,cmaes_seeded,5,medium
103,0.0,0.0,False,0,0,0.021415800001705065,cmaes_seeded,5,medium
104,0.0,0.0,False,1,0,0.02156459999969229,cmaes_seeded,5,medium
105,0.0,0.0,False,0,0,0.02171010000165552,cmaes_seeded,5,medium
106,0.0,0.0,False,0,0,0.02185490000556456,cmaes_seeded,5,medium
107,0.0,0.0,False,1,0,0.0220024000009289,cmaes_seeded,5,medium
108,0.0,0.0,False,0,0,0.0221499000035692,cmaes_seeded,5,medium
109,0.0,0.0,False,1,0,0.022297499999694992,cmaes_seeded,5,medium
110,0.0,0.0,False,0,0,0.022454100006143562,cmaes_seeded,5,medium
111,0.0,0.0,False,0,0,0.022600800002692267,cmaes_seeded,5,medium
112,0.0,0.0,False,0,0,0.0227457000000868,cmaes_seeded,5,medium
