iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0029357000021263957,cmaes_repair,5,small
2,4.083849976645713,4.083849976645713,True,1,1,0.0030592999974032864,cmaes_repair,5,small
3,0.0,4.083849976645713,False,0,1,0.0031652999969082884,cmaes_repair,5,small
4,30.372249273207323,30.372249273207323,True,2,2,0.0032741000031819567,cmaes_repair,5,small
5,0.0,30.372249273207323,False,1,2,0.003381700000318233,cmaes_repair,5,small
6,0.0,30.372249273207323,False,0,2,0.0034914999996544793,cmaes_repair,5,small
7,46.435114001311774,46.435114001311774,True,2,2,0.003601700002036523,cmaes_repair,5,small
8,0.0,46.435114001311774,False,0,2,0.0037075000000186265,cmaes_repair,5,small
9,0.0,46.435114001311774,False,0,2,0.0038111000030767173,cmaes_repair,5,small
10,0.0,46.435114001311774,False,0,2,0.003913300002750475,cmaes_repair,5,small
11,0.0,46.435114001311774,False,0,2,0.004011999997601379,cmaes_repair,5,small
12,4.328032337269203,46.435114001311774,True,1,2,0.004114299998036586,cmaes_repair,5,small
13,0.0,46.435114001311774,False,1,2,0.005173199999262579,cmaes_repair,5,small
14,0.0,46.435114001311774,False,0,2,0.005281400000967551,cmaes_repair,5,small
15,0.0,46.435114001311774,False,0,2,0.00538310000411002,cmaes_repair,5,small
16,9.780814687689098,46.435114001311774,True,1,2,0.005485900001076516,cmaes_repair,5,small
17,0.0,46.435114001311774,False,0,2,0.005585099999734666,cmaes_repair,5,small
18,0.0,46.435114001311774,False,0,2,0.0056838000018615276,cmaes_repair,5,small
19,0.0,46.435114001311774,False,0,2,0.005781599997135345,cmaes_repair,5,small
20,0.0,46.435114001311774,False,0,2,0.0058796000012080185,cmaes_repair,5,small
21,0.0,46.435114001311774,False,1,2,0.005981000002066139,cmaes_repair,5,small
22,0.0,46.435114001311774,False,0,2,0.006079500002670102,cmaes_repair,5,small
23,0.0,46.435114001311774,False,0,2,0.006176700000651181,cmaes_repair,5,small
24,0.0,46.435114001311774,False,0,2,0.006274999999732245,cmaes_repair,5,small
25,0.0,46.435114001311774,False,0,2,0.007324300000618678,cmaes_repair,5,small
26,0.0,46.435114001311774,False,1,2,0.007436899999447633,cmaes_repair,5,small
27,3.4380720976513572,46.435114001311774,True,1,2,0.007542799998191185,cmaes_repair,5,small
28,0.0,46.435114001311774,False,1,2,0.0076505000033648685,cmaes_repair,5,small
29,0.0,46.435114001311774,False,1,2,0.00775660000363132,cmaes_repair,5,small
30,0.0,46.435114001311774,False,0,2,0.007860099998652004,cmaes_repair,5,small
31,0.0,46.435114001311774,False,1,2,0.007967099998495542,cmaes_repair,5,small
32,0.0,46.435114001311774,False,0,2,0.008070700001553632,cmaes_repair,5,small
33,11.609719398917886,46.435114001311774,True,1,2,0.008173700000043027,cmaes_repair,5,small
34,0.0,46.435114001311774,False,0,2,0.008274200001324061,cmaes_repair,5,small
35,0.0,46.435114001311774,False,0,2,0.008375500001420733,cmaes_repair,5,small
36,0.0,46.435114001311774,False,0,2,0.008477900002617389,cmaes_repair,5,small
37,0.0,46.435114001311774,False,0,2,0.009527299996989314,cmaes_repair,5,small
38,0.0,46.435114001311774,False,1,2,0.009644400000979658,cmaes_repair,5,small
39,31.892978706113524,46.435114001311774,True,1,2,0.009753799997270107,cmaes_repair,5,small
40,9.300969395865849,46.435114001311774,True,1,2,0.009860099999059457,cmaes_repair,5,small
41,0.0,46.435114001311774,False,0,2,0.009964900003978983,cmaes_repair,5,small
42,0.0,46.435114001311774,False,1,2,0.010070800002722535,cmaes_repair,5,small
43,12.882512087013769,46.435114001311774,True,1,2,0.010178199998335913,cmaes_repair,5,small
44,13.072126359080286,46.435114001311774,True,1,2,0.010288500001479406,cmaes_repair,5,small
45,0.0,46.435114001311774,False,0,2,0.010394500000984408,cmaes_repair,5,small
46,0.0,46.435114001311774,False,0,2,0.010501700002350844,cmaes_repair,5,small
47,0.0,46.435114001311774,False,0,2,0.0106041000035475,cmaes_repair,5,small
48,0.0,46.435114001311774,False,1,2,0.010707800000091083,cmaes_repair,5,small
49,0.0,46.435114001311774,False,0,2,0.011842899999464862,cmaes_repair,5,small
50,86.3815796102591,86.3815796102591,True,3,3,0.011972300002526026,cmaes_repair,5,small
51,0.0,86.3815796102591,False,0,3,0.012086900002032053,cmaes_repair,5,small
52,0.0,86.3815796102591,False,0,3,0.012196199997561052,cmaes_repair,5,small
53,0.0,86.3815796102591,False,0,3,0.012304000003496185,cmaes_repair,5,small
54,0.0,86.3815796102591,False,0,3,0.012410299998009577,cmaes_repair,5,small
55,29.457923456713566,86.3815796102591,True,2,3,0.012519800002337433,cmaes_repair,5,small
56,0.0,86.3815796102591,False,0,3,0.012623100003111176,cmaes_repair,5,small
57,0.0,86.3815796102591,False,0,3,0.012724500003969297,cmaes_repair,5,small
58,0.0,86.3815796102591,False,0,3,0.01282599999831291,cmaes_repair,5,small
59,0.0,86.3815796102591,False,0,3,0.012927800002216827,cmaes_repair,5,small
60,20.153665210050036,86.3815796102591,True,2,3,0.013034600000537466,cmaes_repair,5,small
61,3.237083243047401,86.3815796102591,True,1,3,0.014060399997106288,cmaes_repair,5,small
62,0.0,86.3815796102591,False,0,3,0.014169599999149796,cmaes_repair,5,small
63,4.226704754035783,86.3815796102591,True,1,3,0.014274100001784973,cmaes_repair,5,small
64,6.766170532919627,86.3815796102591,True,1,3,0.014377100000274368,cmaes_repair,5,small
65,9.112400355827946,86.3815796102591,True,1,3,0.014479999998002313,cmaes_repair,5,small
66,0.0,86.3815796102591,False,1,3,0.014586999997845851,cmaes_repair,5,small
67,0.0,86.3815796102591,False,0,3,0.014689100004034117,cmaes_repair,5,small
68,0.0,86.3815796102591,False,0,3,0.014790900000662077,cmaes_repair,5,small
69,0.0,86.3815796102591,False,1,3,0.014895400003297254,cmaes_repair,5,small
70,0.0,86.3815796102591,False,0,3,0.014997899997979403,cmaes_repair,5,small
71,0.0,86.3815796102591,False,1,3,0.015102500001376029,cmaes_repair,5,small
72,4.791272167583051,86.3815796102591,True,1,3,0.015210700003081001,cmaes_repair,5,small
73,0.0,86.3815796102591,False,0,3,0.016398699997807853,cmaes_repair,5,small
74,0.0,86.3815796102591,False,1,3,0.016529100001207553,cmaes_repair,5,small
75,18.278356361119044,86.3815796102591,True,1,3,0.01664080000045942,cmaes_repair,5,small
76,0.0,86.3815796102591,False,0,3,0.016746900000725873,cmaes_repair,5,small
77,38.149289340574626,86.3815796102591,True,2,3,0.016857399998116307,cmaes_repair,5,small
78,41.79536104603407,86.3815796102591,True,2,3,0.016970600001513958,cmaes_repair,5,small
79,0.0,86.3815796102591,False,0,3,0.017075299998396076,cmaes_repair,5,small
80,22.19210208370222,86.3815796102591,True,1,3,0.017180399998323992,cmaes_repair,5,small
81,14.664849101673898,86.3815796102591,True,1,3,0.017285200003243517,cmaes_repair,5,small
82,6.300695044008844,86.3815796102591,True,1,3,0.017390400003932882,cmaes_repair,5,small
83,11.559199955647184,86.3815796102591,True,1,3,0.017494599997007754,cmaes_repair,5,small
84,6.51731502713754,86.3815796102591,True,1,3,0.017600200000742916,cmaes_repair,5,small
85,0.0,86.3815796102591,False,0,3,0.018805699997756165,cmaes_repair,5,small
86,0.0,86.3815796102591,False,1,3,0.01892270000098506,cmaes_repair,5,small
87,0.0,86.3815796102591,False,0,3,0.019029900002351496,cmaes_repair,5,small
88,0.0,86.3815796102591,False,0,3,0.01913320000312524,cmaes_repair,5,small
89,40.13407173636048,86.3815796102591,True,2,3,0.0192421000028844,cmaes_repair,5,small
90,15.753855965914465,86.3815796102591,True,1,3,0.019350000002305023,cmaes_repair,5,small
91,24.296231623619114,86.3815796102591,True,1,3,0.019456200003332924,cmaes_repair,5,small
92,0.0,86.3815796102591,False,0,3,0.019564200003514998,cmaes_repair,5,small
93,0.0,86.3815796102591,False,0,3,0.019667499997012783,cmaes_repair,5,small
94,41.00083077998242,86.3815796102591,True,3,3,0.019780599999648985,cmaes_repair,5,small
95,0.0,86.3815796102591,False,1,3,0.019890199997462332,cmaes_repair,5,small
96,10.697390271743005,86.3815796102591,True,1,3,0.01999939999950584,cmaes_repair,5,small
97,64.58131316380842,86.3815796102591,True,2,3,0.021212400002696086,cmaes_repair,5,small
98,41.066573469694795,86.3815796102591,True,2,3,0.021332800002710428,cmaes_repair,5,small
99,39.08398458679967,86.3815796102591,True,1,3,0.021493599997484125,cmaes_repair,5,small
100,0.0,86.3815796102591,False,0,3,0.021605200003250502,cmaes_repair,5,small
101,0.0,86.3815796102591,False,1,3,0.02171480000106385,cmaes_repair,5,small
102,0.0,86.3815796102591,False,0,3,0.021821800000907388,cmaes_repair,5,small
103,21.0983273407861,86.3815796102591,True,2,3,0.02193200000328943,cmaes_repair,5,small
104,0.0,86.3815796102591,False,0,3,0.022040600000764243,cmaes_repair,5,small
105,6.564667028200766,86.3815796102591,True,1,3,0.022148399999423418,cmaes_repair,5,small
106,0.0,86.3815796102591,False,0,3,0.022253000002820045,cmaes_repair,5,small
107,9.123392393122685,86.3815796102591,True,1,3,0.0223582999969949,cmaes_repair,5,small
108,0.0,86.3815796102591,False,0,3,0.022461499997007195,cmaes_repair,5,small
109,0.0,86.3815796102591,False,0,3,0.023735599999781698,cmaes_repair,5,small
110,8.871043959709453,86.3815796102591,True,1,3,0.023854099999880418,cmaes_repair,5,small
