iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00019389999943086877,de_repair,3,small
2,23.902073388346956,23.902073388346956,True,2,2,0.0003451000011409633,de_repair,3,small
3,0.0,23.902073388346956,False,1,2,0.0004594999991240911,de_repair,3,small
4,0.0,23.902073388346956,False,0,2,0.0005611000015051104,de_repair,3,small
5,0.0,23.902073388346956,False,0,2,0.0006599999978789128,de_repair,3,small
6,0.0,23.902073388346956,False,0,2,0.0007595999995828606,de_repair,3,small
7,0.0,23.902073388346956,False,0,2,0.0008582000009482726,de_repair,3,small
8,0.0,23.902073388346956,False,0,2,0.0009563999992678873,de_repair,3,small
9,0.0,23.902073388346956,False,0,2,0.0010546999983489513,de_repair,3,small
10,0.0,23.902073388346956,False,0,2,0.0011518999963300303,de_repair,3,small
11,15.2962594388475,23.902073388346956,True,1,2,0.0012528000006568618,de_repair,3,small
12,0.0,23.902073388346956,False,1,2,0.001352999999653548,de_repair,3,small
13,1.341906808172995,23.902073388346956,True,2,2,0.0014587999976356514,de_repair,3,small
14,0.0,23.902073388346956,False,0,2,0.0015636999960406683,de_repair,3,small
15,0.0,23.902073388346956,False,1,2,0.001670199999352917,de_repair,3,small
16,15.687548343330395,23.902073388346956,True,1,2,0.0017936000003828667,de_repair,3,small
17,0.0,23.902073388346956,False,1,2,0.0019048000031034462,de_repair,3,small
18,0.0,23.902073388346956,False,0,2,0.002009600000747014,de_repair,3,small
19,0.0,23.902073388346956,False,1,2,0.002115399998729117,de_repair,3,small
20,0.0,23.902073388346956,False,0,2,0.0022195999990799464,de_repair,3,small
21,0.0,23.902073388346956,False,1,2,0.002320999999938067,de_repair,3,small
22,14.696606399799457,23.902073388346956,True,1,2,0.002421700002742,de_repair,3,small
23,0.0,23.902073388346956,False,0,2,0.0025249000027542934,de_repair,3,small
24,0.0,23.902073388346956,False,0,2,0.0026300999961677007,de_repair,3,small
25,0.0,23.902073388346956,False,0,2,0.0027323999966029078,de_repair,3,small
26,0.0,23.902073388346956,False,0,2,0.0028338999982224777,de_repair,3,small
27,0.0,23.902073388346956,False,0,2,0.0029348000025493093,de_repair,3,small
28,3.6349017691745953,23.902073388346956,True,1,2,0.0030404999997699633,de_repair,3,small
29,0.0,23.902073388346956,False,0,2,0.0031433999974979088,de_repair,3,small
30,0.0,23.902073388346956,False,1,2,0.0032444999960716814,de_repair,3,small
31,0.0,23.902073388346956,False,0,2,0.0033435000004828908,de_repair,3,small
32,0.0,23.902073388346956,False,0,2,0.003444000001763925,de_repair,3,small
33,0.0,23.902073388346956,False,0,2,0.003541699996276293,de_repair,3,small
34,0.0,23.902073388346956,False,0,2,0.003642700001364574,de_repair,3,small
35,0.0,23.902073388346956,False,0,2,0.003749199997400865,de_repair,3,small
36,0.0,23.902073388346956,False,1,2,0.003854700000374578,de_repair,3,small
37,0.0,23.902073388346956,False,0,2,0.003958599998441059,de_repair,3,small
38,0.0,23.902073388346956,False,0,2,0.00405999999929918,de_repair,3,small
39,0.0,23.902073388346956,False,0,2,0.004161700002441648,de_repair,3,small
40,0.0,23.902073388346956,False,1,2,0.004266199997800868,de_repair,3,small
41,0.0,23.902073388346956,False,0,2,0.004367299996374641,de_repair,3,small
42,0.0,23.902073388346956,False,0,2,0.004467799997655675,de_repair,3,small
43,0.0,23.902073388346956,False,1,2,0.00457299999834504,de_repair,3,small
44,0.0,23.902073388346956,False,1,2,0.0046787000028416514,de_repair,3,small
45,40.40269237364629,40.40269237364629,True,2,2,0.004786299999977928,de_repair,3,small
46,0.0,40.40269237364629,False,0,2,0.004890299998805858,de_repair,3,small
47,0.0,40.40269237364629,False,0,2,0.004992199996195268,de_repair,3,small
48,0.0,40.40269237364629,False,0,2,0.005094100000860635,de_repair,3,small
49,0.0,40.40269237364629,False,0,2,0.005195199999434408,de_repair,3,small
50,0.0,40.40269237364629,False,1,2,0.005300400000123773,de_repair,3,small
51,0.0,40.40269237364629,False,0,2,0.005404999996244442,de_repair,3,small
52,0.0,40.40269237364629,False,0,2,0.005506599998625461,de_repair,3,small
53,0.0,40.40269237364629,False,0,2,0.0056097999986377545,de_repair,3,small
54,0.0,40.40269237364629,False,0,2,0.005709199998818804,de_repair,3,small
55,0.0,40.40269237364629,False,0,2,0.0058070000013685785,de_repair,3,small
56,0.0,40.40269237364629,False,0,2,0.005906699996558018,de_repair,3,small
