iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,16.677096167075614,16.677096167075614,True,2,2,0.0005291000052238815,de_repair_seeded,9,small
2,0.0,16.677096167075614,False,0,2,0.0006439000062528066,de_repair_seeded,9,small
3,0.0,16.677096167075614,False,0,2,0.0007530000002589077,de_repair_seeded,9,small
4,4.022516660835962,16.677096167075614,True,1,2,0.0008685000066179782,de_repair_seeded,9,small
5,0.0,16.677096167075614,False,0,2,0.0009667000049375929,de_repair_seeded,9,small
6,0.0,16.677096167075614,False,0,2,0.0010656000013113953,de_repair_seeded,9,small
7,0.0,16.677096167075614,False,0,2,0.0011629000000539236,de_repair_seeded,9,small
8,0.0,16.677096167075614,False,0,2,0.001259800003026612,de_repair_seeded,9,small
9,0.14994525157599048,16.677096167075614,True,1,2,0.0013615000061690807,de_repair_seeded,9,small
10,0.0,16.677096167075614,False,0,2,0.001461100000597071,de_repair_seeded,9,small
11,0.0,16.677096167075614,False,0,2,0.001560000004246831,de_repair_seeded,9,small
12,0.0,16.677096167075614,False,0,2,0.0016593000036664307,de_repair_seeded,9,small
13,0.0,16.677096167075614,False,0,2,0.0017571000062162057,de_repair_seeded,9,small
14,0.0,16.677096167075614,False,1,2,0.001857800001744181,de_repair_seeded,9,small
15,38.46812588468519,38.46812588468519,True,2,2,0.0019599000006564893,de_repair_seeded,9,small
16,0.0,38.46812588468519,False,0,2,0.0020588000043062493,de_repair_seeded,9,small
17,0.0,38.46812588468519,False,0,2,0.002158100003725849,de_repair_seeded,9,small
18,10.651047792809647,38.46812588468519,True,1,2,0.0022583000027225353,de_repair_seeded,9,small
19,0.0,38.46812588468519,False,0,2,0.0023564000002807006,de_repair_seeded,9,small
20,0.0,38.46812588468519,False,0,2,0.002457200003846083,de_repair_seeded,9,small
21,0.0,38.46812588468519,False,0,2,0.0025568000055500306,de_repair_seeded,9,small
22,0.0,38.46812588468519,False,1,2,0.0026583000071696006,de_repair_seeded,9,small
23,0.0,38.46812588468519,False,0,2,0.0027574000050663017,de_repair_seeded,9,small
24,0.0,38.46812588468519,False,0,2,0.0028557000041473657,de_repair_seeded,9,small
25,0.0,38.46812588468519,False,0,2,0.0029529000021284446,de_repair_seeded,9,small
26,0.0,38.46812588468519,False,0,2,0.003050000006624032,de_repair_seeded,9,small
27,0.0,38.46812588468519,False,0,2,0.003146200004266575,de_repair_seeded,9,small
28,0.0,38.46812588468519,False,0,2,0.0032432000007247552,de_repair_seeded,9,small
29,0.0,38.46812588468519,False,0,2,0.0033392000041203573,de_repair_seeded,9,small
30,0.0,38.46812588468519,False,0,2,0.003435300001001451,de_repair_seeded,9,small
31,0.0,38.46812588468519,False,0,2,0.0035325000062584877,de_repair_seeded,9,small
32,0.0,38.46812588468519,False,1,2,0.003631600004155189,de_repair_seeded,9,small
33,0.0,38.46812588468519,False,0,2,0.003730000003997702,de_repair_seeded,9,small
34,0.0,38.46812588468519,False,0,2,0.0038305000052787364,de_repair_seeded,9,small
35,0.0,38.46812588468519,False,0,2,0.003928400001314003,de_repair_seeded,9,small
36,0.0,38.46812588468519,False,0,2,0.004024800000479445,de_repair_seeded,9,small
37,0.0,38.46812588468519,False,0,2,0.0041203000000678,de_repair_seeded,9,small
38,0.0,38.46812588468519,False,0,2,0.004216500004986301,de_repair_seeded,9,small
39,0.0,38.46812588468519,False,0,2,0.004311300006520469,de_repair_seeded,9,small
40,0.0,38.46812588468519,False,0,2,0.004408000000694301,de_repair_seeded,9,small
41,0.0,38.46812588468519,False,0,2,0.004505100005189888,de_repair_seeded,9,small
42,0.0,38.46812588468519,False,0,2,0.004601300002832431,de_repair_seeded,9,small
43,0.0,38.46812588468519,False,0,2,0.004697900003520772,de_repair_seeded,9,small
44,0.0,38.46812588468519,False,1,2,0.004796500004886184,de_repair_seeded,9,small
45,0.0,38.46812588468519,False,0,2,0.004893200006335974,de_repair_seeded,9,small
46,0.0,38.46812588468519,False,0,2,0.00499110000237124,de_repair_seeded,9,small
47,0.0,38.46812588468519,False,0,2,0.005087200006528292,de_repair_seeded,9,small
48,0.0,38.46812588468519,False,0,2,0.005185000001802109,de_repair_seeded,9,small
49,0.0,38.46812588468519,False,1,2,0.005288100001052953,de_repair_seeded,9,small
50,0.0,38.46812588468519,False,0,2,0.005401400005212054,de_repair_seeded,9,small
51,0.0,38.46812588468519,False,0,2,0.005498700003954582,de_repair_seeded,9,small
52,0.0,38.46812588468519,False,0,2,0.005595100003120024,de_repair_seeded,9,small
53,0.0,38.46812588468519,False,0,2,0.005691700003808364,de_repair_seeded,9,small
54,0.0,38.46812588468519,False,0,2,0.005788900001789443,de_repair_seeded,9,small
55,0.0,38.46812588468519,False,0,2,0.0058865000028163195,de_repair_seeded,9,small
56,0.0,38.46812588468519,False,0,2,0.005983500006550457,de_repair_seeded,9,small
57,0.0,38.46812588468519,False,0,2,0.006079600003431551,de_repair_seeded,9,small
58,0.0,38.46812588468519,False,0,2,0.006176200004119892,de_repair_seeded,9,small
59,0.0,38.46812588468519,False,0,2,0.006275400002778042,de_repair_seeded,9,small
60,0.0,38.46812588468519,False,0,2,0.006374000004143454,de_repair_seeded,9,small
61,0.0,38.46812588468519,False,0,2,0.006552600003487896,de_repair_seeded,9,small
62,0.0,38.46812588468519,False,1,2,0.0066939000025740825,de_repair_seeded,9,small
63,0.0,38.46812588468519,False,0,2,0.006830900005297735,de_repair_seeded,9,small
64,0.0,38.46812588468519,False,1,2,0.006959200007258914,de_repair_seeded,9,small
65,0.0,38.46812588468519,False,0,2,0.007087300000421237,de_repair_seeded,9,small
66,0.0,38.46812588468519,False,0,2,0.007214500001282431,de_repair_seeded,9,small
67,0.0,38.46812588468519,False,0,2,0.007338200004596729,de_repair_seeded,9,small
68,7.42622483990068,38.46812588468519,True,1,2,0.0074687000014819205,de_repair_seeded,9,small
69,0.0,38.46812588468519,False,0,2,0.0075965000069118105,de_repair_seeded,9,small
70,0.0,38.46812588468519,False,0,2,0.007721700007095933,de_repair_seeded,9,small
71,0.0,38.46812588468519,False,0,2,0.007845500003895722,de_repair_seeded,9,small
72,0.0,38.46812588468519,False,1,2,0.007973300002049655,de_repair_seeded,9,small
73,0.0,38.46812588468519,False,0,2,0.008097400001133792,de_repair_seeded,9,small
74,0.0,38.46812588468519,False,0,2,0.008220400006393902,de_repair_seeded,9,small
75,0.0,38.46812588468519,False,0,2,0.008343000001332257,de_repair_seeded,9,small
76,0.0,38.46812588468519,False,0,2,0.008466000006592367,de_repair_seeded,9,small
77,0.0,38.46812588468519,False,0,2,0.008588100004999433,de_repair_seeded,9,small
78,0.0,38.46812588468519,False,0,2,0.008710600006452296,de_repair_seeded,9,small
79,0.0,38.46812588468519,False,0,2,0.008833200001390651,de_repair_seeded,9,small
80,0.0,38.46812588468519,False,0,2,0.008955700002843514,de_repair_seeded,9,small
81,0.0,38.46812588468519,False,0,2,0.009078400005819276,de_repair_seeded,9,small
82,0.0,38.46812588468519,False,0,2,0.00920070000574924,de_repair_seeded,9,small
83,0.0,38.46812588468519,False,0,2,0.009327500003564637,de_repair_seeded,9,small
84,0.0,38.46812588468519,False,1,2,0.009453600003325846,de_repair_seeded,9,small
