scale,method,seed,final_best,feasible_rate,first_feasible,runtime
18-D,bo,0,0.0000,0.0000,,
18-D,bo,1,0.0000,0.0000,,
18-D,bo,2,0.0000,0.0000,,
18-D,bo,3,19.7865,0.1067,5.0000,
18-D,bo,4,10.8983,0.0067,129.0000,
18-D,bo,5,67.2948,0.5933,1.0000,
18-D,bo,6,0.0000,0.0000,,
18-D,bo,7,11.5904,0.0133,83.0000,
18-D,bo,8,9.3722,0.0067,66.0000,
18-D,bo,9,0.0000,0.0000,,
18-D,ga,0,10.4127,0.0533,17.0000,
18-D,ga,1,0.0000,0.0000,,
18-D,ga,2,0.0000,0.0000,,
18-D,ga,3,8.8682,0.0867,16.0000,
18-D,ga,4,61.4213,0.1000,5.0000,
18-D,ga,5,73.4427,0.3067,29.0000,
18-D,ga,6,16.3708,0.1133,17.0000,
18-D,ga,7,26.1078,0.1733,33.0000,
18-D,ga,8,0.0000,0.0000,,
18-D,ga,9,7.2993,0.0667,68.0000,
18-D,greedy_distance,0,5.4491,0.0133,29.0000,
18-D,greedy_distance,1,22.8965,0.0267,26.0000,
18-D,greedy_distance,2,40.4879,0.0200,14.0000,
18-D,greedy_distance,3,27.4873,0.1667,1.0000,
18-D,greedy_distance,4,21.0033,0.0200,61.0000,
18-D,greedy_distance,5,64.4950,0.0533,18.0000,
18-D,greedy_distance,6,5.3281,0.0067,117.0000,
18-D,greedy_distance,7,49.6663,0.0467,6.0000,
18-D,greedy_distance,8,16.2653,0.0600,3.0000,
18-D,greedy_distance,9,0.0000,0.0000,,
18-D,greedy_reward_density,0,0.0000,0.0000,,
18-D,greedy_reward_density,1,13.6717,0.0200,15.0000,
18-D,greedy_reward_density,2,3.1617,0.0133,26.0000,
18-D,greedy_reward_density,3,17.7539,0.1600,2.0000,
18-D,greedy_reward_density,4,24.7714,0.0267,6.0000,
18-D,greedy_reward_density,5,70.2737,0.0067,35.0000,
18-D,greedy_reward_density,6,94.8403,0.0267,11.0000,
18-D,greedy_reward_density,7,63.8476,0.0867,4.0000,
18-D,greedy_reward_density,8,40.4391,0.0667,26.0000,
18-D,greedy_reward_density,9,45.1623,0.0067,38.0000,
18-D,hsbo,0,62.4211,0.0333,1.0000,
18-D,hsbo,1,72.2491,0.0933,1.0000,
18-D,hsbo,2,176.4751,0.1267,1.0000,
18-D,hsbo,3,72.7508,0.1800,1.0000,
18-D,hsbo,4,166.9411,0.2000,1.0000,
18-D,hsbo,5,195.9799,0.1000,1.0000,
18-D,hsbo,6,93.2800,0.0533,21.0000,
18-D,hsbo,7,139.8883,0.0800,1.0000,
18-D,hsbo,8,129.8177,0.1000,1.0000,
18-D,hsbo,9,104.8272,0.1133,1.0000,
18-D,pso,0,5.9993,0.0333,17.0000,
18-D,pso,1,21.1282,0.0200,40.0000,
18-D,pso,2,19.3312,0.0133,98.0000,
18-D,pso,3,11.6415,0.0467,16.0000,
18-D,pso,4,98.7739,0.0800,5.0000,
18-D,pso,5,58.5328,0.1000,29.0000,
18-D,pso,6,33.7273,0.1400,17.0000,
18-D,pso,7,58.3564,0.0533,33.0000,
18-D,pso,8,23.1448,0.0067,43.0000,
18-D,pso,9,0.0000,0.0000,,
18-D,random,0,38.0770,0.0267,17.0000,
18-D,random,1,12.2162,0.0133,111.0000,
18-D,random,2,18.1249,0.0200,73.0000,
18-D,random,3,4.8043,0.0267,16.0000,
18-D,random,4,33.1930,0.0467,5.0000,
18-D,random,5,58.5328,0.0600,29.0000,
18-D,random,6,51.9159,0.0400,17.0000,
18-D,random,7,17.5975,0.0067,33.0000,
18-D,random,8,18.2165,0.0067,145.0000,
18-D,random,9,0.6520,0.0067,89.0000,
40-D,bo,0,0.0000,0.0000,,
40-D,bo,1,0.0000,0.0000,,
40-D,bo,2,0.0000,0.0000,,
40-D,bo,3,0.0000,0.0000,,
40-D,bo,4,0.0000,0.0000,,
40-D,bo,5,0.0000,0.0000,,
40-D,bo,6,0.0000,0.0000,,
40-D,bo,7,0.0000,0.0000,,
40-D,bo,8,0.0000,0.0000,,
40-D,bo,9,0.0000,0.0000,,
40-D,ga,0,0.0000,0.0000,,
40-D,ga,1,0.0000,0.0000,,
40-D,ga,2,0.0000,0.0000,,
40-D,ga,3,0.0000,0.0000,,
40-D,ga,4,0.0000,0.0000,,
40-D,ga,5,0.0000,0.0000,,
40-D,ga,6,0.0000,0.0000,,
40-D,ga,7,0.0000,0.0000,,
40-D,ga,8,0.0000,0.0000,,
40-D,ga,9,0.0000,0.0000,,
40-D,greedy_distance,0,0.0000,0.0000,,
40-D,greedy_distance,1,0.0000,0.0000,,
40-D,greedy_distance,2,0.0000,0.0000,,
40-D,greedy_distance,3,0.0000,0.0000,,
40-D,greedy_distance,4,0.0000,0.0000,,
40-D,greedy_distance,5,0.0000,0.0000,,
40-D,greedy_distance,6,0.0000,0.0000,,
40-D,greedy_distance,7,0.0000,0.0000,,
40-D,greedy_distance,8,0.0000,0.0000,,
40-D,greedy_distance,9,0.0000,0.0000,,
40-D,greedy_reward_density,0,0.0000,0.0000,,
40-D,greedy_reward_density,1,0.0000,0.0000,,
40-D,greedy_reward_density,2,0.0000,0.0000,,
40-D,greedy_reward_density,3,0.0000,0.0000,,
40-D,greedy_reward_density,4,0.0000,0.0000,,
40-D,greedy_reward_density,5,0.0000,0.0000,,
40-D,greedy_reward_density,6,0.0000,0.0000,,
40-D,greedy_reward_density,7,0.0000,0.0000,,
40-D,greedy_reward_density,8,0.0000,0.0000,,
40-D,greedy_reward_density,9,0.0000,0.0000,,
40-D,hsbo,0,57.4804,0.0167,21.0000,
40-D,hsbo,1,47.9157,0.0100,1.0000,
40-D,hsbo,2,83.5185,0.0033,1.0000,
40-D,hsbo,3,166.2121,0.0267,1.0000,
40-D,hsbo,4,187.7979,0.0367,1.0000,
40-D,hsbo,5,0.0000,0.0000,,
40-D,hsbo,6,116.1791,0.0133,1.0000,
40-D,hsbo,7,101.0632,0.0200,1.0000,
40-D,hsbo,8,195.0571,0.0267,1.0000,
40-D,hsbo,9,40.5674,0.0133,24.0000,
40-D,pso,0,0.0000,0.0000,,
40-D,pso,1,0.0000,0.0000,,
40-D,pso,2,0.0000,0.0000,,
40-D,pso,3,0.0000,0.0000,,
40-D,pso,4,0.0000,0.0000,,
40-D,pso,5,0.0000,0.0000,,
40-D,pso,6,0.0000,0.0000,,
40-D,pso,7,0.0000,0.0000,,
40-D,pso,8,0.0000,0.0000,,
40-D,pso,9,0.0000,0.0000,,
40-D,random,0,0.0000,0.0000,,
40-D,random,1,0.0000,0.0000,,
40-D,random,2,0.0000,0.0000,,
40-D,random,3,0.0000,0.0000,,
40-D,random,4,0.0000,0.0000,,
40-D,random,5,0.0000,0.0000,,
40-D,random,6,0.0000,0.0000,,
40-D,random,7,0.0000,0.0000,,
40-D,random,8,0.0000,0.0000,,
40-D,random,9,0.0000,0.0000,,
80-D,bo,0,0.0000,0.0000,,
80-D,bo,1,0.0000,0.0000,,
80-D,bo,2,0.0000,0.0000,,
80-D,bo,3,0.0000,0.0000,,
80-D,bo,4,0.0000,0.0000,,
80-D,ga,0,0.0000,0.0000,,
80-D,ga,1,0.0000,0.0000,,
80-D,ga,2,0.0000,0.0000,,
80-D,ga,3,0.0000,0.0000,,
80-D,ga,4,0.0000,0.0000,,
80-D,greedy_distance,0,0.0000,0.0000,,
80-D,greedy_distance,1,0.0000,0.0000,,
80-D,greedy_distance,2,0.0000,0.0000,,
80-D,greedy_distance,3,0.0000,0.0000,,
80-D,greedy_distance,4,0.0000,0.0000,,
80-D,greedy_reward_density,0,0.0000,0.0000,,
80-D,greedy_reward_density,1,0.0000,0.0000,,
80-D,greedy_reward_density,2,0.0000,0.0000,,
80-D,greedy_reward_density,3,0.0000,0.0000,,
80-D,greedy_reward_density,4,0.0000,0.0000,,
80-D,hsbo,0,58.9392,0.0033,141.0000,
80-D,hsbo,1,0.0000,0.0000,,
80-D,hsbo,2,57.2908,0.0033,201.0000,
80-D,hsbo,3,0.0000,0.0000,,
80-D,hsbo,4,17.9742,0.0033,161.0000,
80-D,pso,0,0.0000,0.0000,,
80-D,pso,1,0.0000,0.0000,,
80-D,pso,2,0.0000,0.0000,,
80-D,pso,3,0.0000,0.0000,,
80-D,pso,4,0.0000,0.0000,,
80-D,random,0,0.0000,0.0000,,
80-D,random,1,0.0000,0.0000,,
80-D,random,2,0.0000,0.0000,,
80-D,random,3,0.0000,0.0000,,
80-D,random,4,0.0000,0.0000,,
