iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.08735010004602373,bo,2,large
2,0.0,0.0,False,0,0,0.08966370008420199,bo,2,large
3,0.0,0.0,False,0,0,0.09250850009266287,bo,2,large
4,0.0,0.0,False,0,0,0.09508050000295043,bo,2,large
5,0.0,0.0,False,0,0,0.0976162999868393,bo,2,large
6,0.0,0.0,False,0,0,0.10029460000805557,bo,2,large
7,0.0,0.0,False,0,0,0.10259240004234016,bo,2,large
8,0.0,0.0,False,0,0,0.10553719999734312,bo,2,large
9,0.0,0.0,False,0,0,0.10789770004339516,bo,2,large
10,0.0,0.0,False,0,0,0.11051140003837645,bo,2,large
11,0.0,0.0,False,0,0,0.11290310008917004,bo,2,large
12,0.0,0.0,False,0,0,0.1154314000159502,bo,2,large
13,0.0,0.0,False,0,0,0.11789820005651563,bo,2,large
14,0.0,0.0,False,0,0,0.12030080007389188,bo,2,large
15,0.0,0.0,False,0,0,0.12312130001373589,bo,2,large
16,0.0,0.0,False,0,0,0.12554770009592175,bo,2,large
17,0.0,0.0,False,0,0,0.1283516000257805,bo,2,large
18,0.0,0.0,False,0,0,0.13083430007100105,bo,2,large
19,0.0,0.0,False,0,0,0.13326909998431802,bo,2,large
20,0.0,0.0,False,0,0,0.3312863000901416,bo,2,large
21,0.0,0.0,False,0,0,0.5118770999833941,bo,2,large
22,0.0,0.0,False,0,0,0.699319800012745,bo,2,large
23,0.0,0.0,False,0,0,0.8921134000411257,bo,2,large
24,0.0,0.0,False,0,0,1.0785334000829607,bo,2,large
25,0.0,0.0,False,0,0,1.280864000087604,bo,2,large
26,0.0,0.0,False,0,0,1.4694202000973746,bo,2,large
27,0.0,0.0,False,0,0,1.6438036999898031,bo,2,large
28,0.0,0.0,False,1,0,1.840493299998343,bo,2,large
29,0.0,0.0,False,0,0,2.0344482000218704,bo,2,large
30,0.0,0.0,False,0,0,2.239839200046845,bo,2,large
31,0.0,0.0,False,0,0,2.4407518000807613,bo,2,large
32,0.0,0.0,False,0,0,2.656047800090164,bo,2,large
33,0.0,0.0,False,0,0,2.8846771999960765,bo,2,large
34,0.0,0.0,False,0,0,3.0994286000495777,bo,2,large
35,0.0,0.0,False,0,0,3.3253382000839338,bo,2,large
36,0.0,0.0,False,0,0,3.5366971000330523,bo,2,large
37,0.0,0.0,False,0,0,3.7490236000157893,bo,2,large
38,0.0,0.0,False,0,0,3.9619424000848085,bo,2,large
39,0.0,0.0,False,0,0,4.196719100000337,bo,2,large
40,0.0,0.0,False,0,0,4.434590900084004,bo,2,large
41,0.0,0.0,False,0,0,4.702669900027104,bo,2,large
42,0.0,0.0,False,0,0,5.024387800018303,bo,2,large
43,0.0,0.0,False,0,0,5.305896000005305,bo,2,large
44,0.0,0.0,False,0,0,5.581935900030658,bo,2,large
45,0.0,0.0,False,0,0,5.8565070000477135,bo,2,large
46,0.0,0.0,False,0,0,6.1907434000168,bo,2,large
47,0.0,0.0,False,0,0,6.509960500057787,bo,2,large
48,0.0,0.0,False,0,0,6.8356294999830425,bo,2,large
49,0.0,0.0,False,0,0,7.15755350003019,bo,2,large
50,0.0,0.0,False,0,0,7.4798318000976,bo,2,large
51,0.0,0.0,False,0,0,7.802213400020264,bo,2,large
52,0.0,0.0,False,1,0,8.11634310008958,bo,2,large
53,0.0,0.0,False,0,0,8.424662300036289,bo,2,large
54,0.0,0.0,False,0,0,8.757377800066024,bo,2,large
55,0.0,0.0,False,0,0,9.089486600016244,bo,2,large
56,0.0,0.0,False,0,0,9.430166200036183,bo,2,large
57,0.0,0.0,False,0,0,9.78258600004483,bo,2,large
58,0.0,0.0,False,0,0,10.143341900082305,bo,2,large
59,0.0,0.0,False,0,0,10.516426900052465,bo,2,large
60,0.0,0.0,False,0,0,10.886390600004233,bo,2,large
61,0.0,0.0,False,0,0,11.266924900002778,bo,2,large
62,0.0,0.0,False,0,0,11.639582500094548,bo,2,large
63,0.0,0.0,False,0,0,12.027208900079131,bo,2,large
64,0.0,0.0,False,0,0,12.439081900054589,bo,2,large
65,0.0,0.0,False,0,0,12.836919700028375,bo,2,large
66,0.0,0.0,False,0,0,13.2477363999933,bo,2,large
67,0.0,0.0,False,1,0,13.651833900017664,bo,2,large
68,0.0,0.0,False,0,0,14.054210100090131,bo,2,large
69,0.0,0.0,False,1,0,14.496466999989934,bo,2,large
70,0.0,0.0,False,0,0,14.931673199986108,bo,2,large
71,0.0,0.0,False,0,0,15.39021840004716,bo,2,large
72,0.0,0.0,False,0,0,15.839107400039211,bo,2,large
73,0.0,0.0,False,0,0,16.28727400000207,bo,2,large
74,0.0,0.0,False,1,0,16.737759400042705,bo,2,large
75,0.0,0.0,False,0,0,17.193098400020972,bo,2,large
76,0.0,0.0,False,0,0,17.681032499996945,bo,2,large
77,0.0,0.0,False,0,0,18.16004410001915,bo,2,large
78,0.0,0.0,False,0,0,18.655289500020444,bo,2,large
79,0.0,0.0,False,0,0,19.143607100006193,bo,2,large
80,0.0,0.0,False,0,0,19.63269150000997,bo,2,large
81,0.0,0.0,False,1,0,20.150418500066735,bo,2,large
82,0.0,0.0,False,0,0,20.662242999998853,bo,2,large
