iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0034534999867901206,greedy_distance,4,large
2,0.0,0.0,False,0,0,0.006668100017122924,greedy_distance,4,large
3,0.0,0.0,False,0,0,0.010008499957621098,greedy_distance,4,large
4,0.0,0.0,False,1,0,0.013335200026631355,greedy_distance,4,large
5,0.0,0.0,False,0,0,0.01666640001349151,greedy_distance,4,large
6,0.0,0.0,False,0,0,0.019894000026397407,greedy_distance,4,large
7,0.0,0.0,False,0,0,0.023209900013171136,greedy_distance,4,large
8,0.0,0.0,False,0,0,0.02639200002886355,greedy_distance,4,large
9,0.0,0.0,False,0,0,0.029930599965155125,greedy_distance,4,large
10,0.0,0.0,False,0,0,0.03308870003093034,greedy_distance,4,large
11,0.0,0.0,False,0,0,0.0362446999642998,greedy_distance,4,large
12,0.0,0.0,False,0,0,0.03942119993735105,greedy_distance,4,large
13,0.0,0.0,False,0,0,0.0427608999889344,greedy_distance,4,large
14,0.0,0.0,False,0,0,0.04603329999372363,greedy_distance,4,large
15,0.0,0.0,False,0,0,0.04938320000655949,greedy_distance,4,large
16,0.0,0.0,False,0,0,0.05277599999681115,greedy_distance,4,large
17,0.0,0.0,False,0,0,0.056015499983914196,greedy_distance,4,large
18,0.0,0.0,False,1,0,0.05976189998909831,greedy_distance,4,large
19,0.0,0.0,False,0,0,0.06459850003011525,greedy_distance,4,large
20,0.0,0.0,False,1,0,0.06888829998206347,greedy_distance,4,large
21,0.0,0.0,False,0,0,0.08011799992527813,greedy_distance,4,large
22,0.0,0.0,False,0,0,0.09240989992395043,greedy_distance,4,large
23,0.0,0.0,False,0,0,0.09875300002750009,greedy_distance,4,large
24,0.0,0.0,False,0,0,0.10457069997210056,greedy_distance,4,large
25,0.0,0.0,False,0,0,0.10814359993673861,greedy_distance,4,large
26,0.0,0.0,False,0,0,0.11173150001559407,greedy_distance,4,large
27,0.0,0.0,False,0,0,0.11496829998213798,greedy_distance,4,large
28,0.0,0.0,False,0,0,0.11908149998635054,greedy_distance,4,large
29,0.0,0.0,False,0,0,0.12280959996860474,greedy_distance,4,large
30,0.0,0.0,False,0,0,0.1264503999846056,greedy_distance,4,large
31,0.0,0.0,False,0,0,0.1296777999959886,greedy_distance,4,large
32,0.0,0.0,False,0,0,0.13438089995179325,greedy_distance,4,large
33,0.0,0.0,False,0,0,0.13759749999735504,greedy_distance,4,large
34,0.0,0.0,False,0,0,0.140810800017789,greedy_distance,4,large
35,0.0,0.0,False,0,0,0.14525309996679425,greedy_distance,4,large
36,0.0,0.0,False,0,0,0.1486177999759093,greedy_distance,4,large
37,0.0,0.0,False,0,0,0.1517753000371158,greedy_distance,4,large
38,0.0,0.0,False,0,0,0.15488819999154657,greedy_distance,4,large
39,0.0,0.0,False,0,0,0.15798289992380887,greedy_distance,4,large
40,0.0,0.0,False,0,0,0.16160170000512153,greedy_distance,4,large
41,0.0,0.0,False,0,0,0.16486210003495216,greedy_distance,4,large
42,0.0,0.0,False,0,0,0.16885160002857447,greedy_distance,4,large
43,0.0,0.0,False,0,0,0.17223100003320724,greedy_distance,4,large
44,0.0,0.0,False,0,0,0.17567269993014634,greedy_distance,4,large
45,0.0,0.0,False,0,0,0.17935380002018064,greedy_distance,4,large
46,0.0,0.0,False,0,0,0.18262009997852147,greedy_distance,4,large
47,0.0,0.0,False,0,0,0.18586590001359582,greedy_distance,4,large
48,0.0,0.0,False,0,0,0.1925020000198856,greedy_distance,4,large
49,0.0,0.0,False,0,0,0.196609599981457,greedy_distance,4,large
50,0.0,0.0,False,0,0,0.19984339992515743,greedy_distance,4,large
51,0.0,0.0,False,0,0,0.20312469999771565,greedy_distance,4,large
52,0.0,0.0,False,0,0,0.20626729994546622,greedy_distance,4,large
53,0.0,0.0,False,1,0,0.20937669998966157,greedy_distance,4,large
54,0.0,0.0,False,0,0,0.21252960001584142,greedy_distance,4,large
55,0.0,0.0,False,0,0,0.21591529995203018,greedy_distance,4,large
56,0.0,0.0,False,0,0,0.21950729994568974,greedy_distance,4,large
57,0.0,0.0,False,0,0,0.22266520000994205,greedy_distance,4,large
58,0.0,0.0,False,0,0,0.22589499992318451,greedy_distance,4,large
59,0.0,0.0,False,0,0,0.22901999996975064,greedy_distance,4,large
60,0.0,0.0,False,0,0,0.2323154000332579,greedy_distance,4,large
61,0.0,0.0,False,0,0,0.23540729994419962,greedy_distance,4,large
62,0.0,0.0,False,1,0,0.23865179996937513,greedy_distance,4,large
63,0.0,0.0,False,0,0,0.2420614999718964,greedy_distance,4,large
64,0.0,0.0,False,0,0,0.24524269998073578,greedy_distance,4,large
