iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.004364700056612492,greedy_reward_density,2,large
2,0.0,0.0,False,0,0,0.008441500016488135,greedy_reward_density,2,large
3,0.0,0.0,False,0,0,0.012244499986991286,greedy_reward_density,2,large
4,0.0,0.0,False,0,0,0.01680610002949834,greedy_reward_density,2,large
5,0.0,0.0,False,0,0,0.020549100008793175,greedy_reward_density,2,large
6,0.0,0.0,False,0,0,0.024264700012281537,greedy_reward_density,2,large
7,0.0,0.0,False,0,0,0.028248999966308475,greedy_reward_density,2,large
8,0.0,0.0,False,0,0,0.03235230001155287,greedy_reward_density,2,large
9,0.0,0.0,False,0,0,0.03616050002165139,greedy_reward_density,2,large
10,0.0,0.0,False,0,0,0.039893100038170815,greedy_reward_density,2,large
11,0.0,0.0,False,0,0,0.04360370000358671,greedy_reward_density,2,large
12,0.0,0.0,False,0,0,0.04768209997564554,greedy_reward_density,2,large
13,0.0,0.0,False,0,0,0.05194570007734001,greedy_reward_density,2,large
14,0.0,0.0,False,0,0,0.05613050004467368,greedy_reward_density,2,large
15,0.0,0.0,False,0,0,0.06112640001811087,greedy_reward_density,2,large
16,0.0,0.0,False,0,0,0.06521979998797178,greedy_reward_density,2,large
17,0.0,0.0,False,0,0,0.06933770002797246,greedy_reward_density,2,large
18,0.0,0.0,False,0,0,0.07340830005705357,greedy_reward_density,2,large
19,0.0,0.0,False,0,0,0.07778040005359799,greedy_reward_density,2,large
20,0.0,0.0,False,0,0,0.08202229999005795,greedy_reward_density,2,large
21,0.0,0.0,False,0,0,0.08617020002566278,greedy_reward_density,2,large
22,0.0,0.0,False,0,0,0.09009149996563792,greedy_reward_density,2,large
23,0.0,0.0,False,0,0,0.09412909997627139,greedy_reward_density,2,large
24,0.0,0.0,False,0,0,0.09791700006462634,greedy_reward_density,2,large
25,0.0,0.0,False,0,0,0.10217540001031011,greedy_reward_density,2,large
26,0.0,0.0,False,0,0,0.10593479999806732,greedy_reward_density,2,large
27,0.0,0.0,False,0,0,0.1096483999863267,greedy_reward_density,2,large
28,0.0,0.0,False,0,0,0.11354559997562319,greedy_reward_density,2,large
29,0.0,0.0,False,0,0,0.11915220005903393,greedy_reward_density,2,large
30,0.0,0.0,False,0,0,0.12532039999496192,greedy_reward_density,2,large
31,0.0,0.0,False,0,0,0.12937480001710355,greedy_reward_density,2,large
32,0.0,0.0,False,0,0,0.13308379997033626,greedy_reward_density,2,large
33,0.0,0.0,False,0,0,0.13702440005727112,greedy_reward_density,2,large
34,0.0,0.0,False,0,0,0.14112080004997551,greedy_reward_density,2,large
35,0.0,0.0,False,0,0,0.14533700002357364,greedy_reward_density,2,large
36,0.0,0.0,False,0,0,0.14931850007269531,greedy_reward_density,2,large
37,0.0,0.0,False,0,0,0.15318650007247925,greedy_reward_density,2,large
38,0.0,0.0,False,0,0,0.15693090006243438,greedy_reward_density,2,large
39,0.0,0.0,False,0,0,0.16095479996874928,greedy_reward_density,2,large
40,0.0,0.0,False,0,0,0.1648343000560999,greedy_reward_density,2,large
41,0.0,0.0,False,0,0,0.16867290006484836,greedy_reward_density,2,large
42,0.0,0.0,False,1,0,0.17253009998239577,greedy_reward_density,2,large
43,0.0,0.0,False,1,0,0.17752310005016625,greedy_reward_density,2,large
44,0.0,0.0,False,0,0,0.18202950002159923,greedy_reward_density,2,large
45,0.0,0.0,False,0,0,0.1860902999760583,greedy_reward_density,2,large
46,0.0,0.0,False,0,0,0.19014850002713501,greedy_reward_density,2,large
47,0.0,0.0,False,0,0,0.1940347000490874,greedy_reward_density,2,large
48,0.0,0.0,False,0,0,0.1976962999906391,greedy_reward_density,2,large
49,0.0,0.0,False,0,0,0.2020033000735566,greedy_reward_density,2,large
50,0.0,0.0,False,0,0,0.20609760005027056,greedy_reward_density,2,large
51,0.0,0.0,False,0,0,0.21061539999209344,greedy_reward_density,2,large
52,0.0,0.0,False,0,0,0.21466299996245652,greedy_reward_density,2,large
53,0.0,0.0,False,0,0,0.21865890000481158,greedy_reward_density,2,large
54,0.0,0.0,False,0,0,0.2224926999770105,greedy_reward_density,2,large
55,0.0,0.0,False,0,0,0.22641170001588762,greedy_reward_density,2,large
56,0.0,0.0,False,0,0,0.2313772999914363,greedy_reward_density,2,large
57,0.0,0.0,False,0,0,0.2352407000726089,greedy_reward_density,2,large
58,0.0,0.0,False,0,0,0.2390599000500515,greedy_reward_density,2,large
59,0.0,0.0,False,0,0,0.24284780002199113,greedy_reward_density,2,large
60,0.0,0.0,False,0,0,0.24696969997603446,greedy_reward_density,2,large
61,0.0,0.0,False,0,0,0.2507664000149816,greedy_reward_density,2,large
62,0.0,0.0,False,0,0,0.2544279000721872,greedy_reward_density,2,large
63,0.0,0.0,False,0,0,0.25835939997341484,greedy_reward_density,2,large
64,0.0,0.0,False,0,0,0.2620973000302911,greedy_reward_density,2,large
65,0.0,0.0,False,0,0,0.2657941000070423,greedy_reward_density,2,large
66,0.0,0.0,False,0,0,0.26969730004202574,greedy_reward_density,2,large
67,0.0,0.0,False,0,0,0.27364839997608215,greedy_reward_density,2,large
68,0.0,0.0,False,0,0,0.2774359000613913,greedy_reward_density,2,large
69,0.0,0.0,False,0,0,0.2811855999752879,greedy_reward_density,2,large
70,0.0,0.0,False,0,0,0.28493470000103116,greedy_reward_density,2,large
71,0.0,0.0,False,0,0,0.2892531000543386,greedy_reward_density,2,large
72,0.0,0.0,False,0,0,0.29333220003172755,greedy_reward_density,2,large
73,0.0,0.0,False,0,0,0.29750300000887364,greedy_reward_density,2,large
74,0.0,0.0,False,0,0,0.3014038000255823,greedy_reward_density,2,large
75,0.0,0.0,False,0,0,0.30528640002012253,greedy_reward_density,2,large
76,0.0,0.0,False,0,0,0.30936339998152107,greedy_reward_density,2,large
77,0.0,0.0,False,0,0,0.3137025000760332,greedy_reward_density,2,large
78,0.0,0.0,False,0,0,0.31788910005707294,greedy_reward_density,2,large
79,0.0,0.0,False,0,0,0.322352800052613,greedy_reward_density,2,large
80,0.0,0.0,False,0,0,0.3263211000012234,greedy_reward_density,2,large
81,0.0,0.0,False,0,0,0.33150660002138466,greedy_reward_density,2,large
82,0.0,0.0,False,0,0,0.33568080002442,greedy_reward_density,2,large
83,0.0,0.0,False,0,0,0.33989030006341636,greedy_reward_density,2,large
84,0.0,0.0,False,0,0,0.34415400004945695,greedy_reward_density,2,large
85,0.0,0.0,False,0,0,0.3481506999814883,greedy_reward_density,2,large
86,0.0,0.0,False,0,0,0.35196050000377,greedy_reward_density,2,large
87,0.0,0.0,False,0,0,0.3558977000648156,greedy_reward_density,2,large
88,0.0,0.0,False,0,0,0.35995750001166016,greedy_reward_density,2,large
89,0.0,0.0,False,0,0,0.3634907000232488,greedy_reward_density,2,large
90,0.0,0.0,False,0,0,0.36746990005485713,greedy_reward_density,2,large
91,0.0,0.0,False,0,0,0.37135310005396605,greedy_reward_density,2,large
92,0.0,0.0,False,0,0,0.37495740002486855,greedy_reward_density,2,large
93,0.0,0.0,False,0,0,0.37885560002177954,greedy_reward_density,2,large
94,0.0,0.0,False,0,0,0.38265160005539656,greedy_reward_density,2,large
95,0.0,0.0,False,0,0,0.38669399998616427,greedy_reward_density,2,large
96,0.0,0.0,False,0,0,0.3905761999776587,greedy_reward_density,2,large
97,0.0,0.0,False,0,0,0.3942856000503525,greedy_reward_density,2,large
98,0.0,0.0,False,0,0,0.3982259000185877,greedy_reward_density,2,large
99,0.0,0.0,False,0,0,0.40204840002115816,greedy_reward_density,2,large
100,0.0,0.0,False,0,0,0.40578769997227937,greedy_reward_density,2,large
101,0.0,0.0,False,0,0,0.4098093999782577,greedy_reward_density,2,large
102,0.0,0.0,False,0,0,0.4140336000127718,greedy_reward_density,2,large
103,0.0,0.0,False,0,0,0.41787500004284084,greedy_reward_density,2,large
104,0.0,0.0,False,0,0,0.42182489996775985,greedy_reward_density,2,large
105,0.0,0.0,False,0,0,0.4257159000262618,greedy_reward_density,2,large
106,0.0,0.0,False,0,0,0.4293991000158712,greedy_reward_density,2,large
107,0.0,0.0,False,0,0,0.43338130007032305,greedy_reward_density,2,large
108,0.0,0.0,False,0,0,0.43783449998591095,greedy_reward_density,2,large
109,0.0,0.0,False,0,0,0.441646600025706,greedy_reward_density,2,large
110,0.0,0.0,False,0,0,0.4458325000014156,greedy_reward_density,2,large
111,0.0,0.0,False,0,0,0.44995949999429286,greedy_reward_density,2,large
112,0.0,0.0,False,0,0,0.45398150000255555,greedy_reward_density,2,large
113,0.0,0.0,False,0,0,0.45798559999093413,greedy_reward_density,2,large
114,0.0,0.0,False,0,0,0.4617629999993369,greedy_reward_density,2,large
115,0.0,0.0,False,0,0,0.4658260999713093,greedy_reward_density,2,large
116,0.0,0.0,False,0,0,0.47009479999542236,greedy_reward_density,2,large
117,0.0,0.0,False,0,0,0.47420299996156245,greedy_reward_density,2,large
118,0.0,0.0,False,0,0,0.47800060000736266,greedy_reward_density,2,large
119,0.0,0.0,False,0,0,0.48218519997317344,greedy_reward_density,2,large
120,0.0,0.0,False,0,0,0.4860492000589147,greedy_reward_density,2,large
121,0.0,0.0,False,0,0,0.49061570002231747,greedy_reward_density,2,large
122,0.0,0.0,False,0,0,0.4946351000107825,greedy_reward_density,2,large
123,0.0,0.0,False,0,0,0.49867270002141595,greedy_reward_density,2,large
124,0.0,0.0,False,0,0,0.5023196999682114,greedy_reward_density,2,large
125,0.0,0.0,False,0,0,0.5062632999615744,greedy_reward_density,2,large
126,0.0,0.0,False,0,0,0.5101004000753164,greedy_reward_density,2,large
127,0.0,0.0,False,0,0,0.5141633000457659,greedy_reward_density,2,large
128,0.0,0.0,False,1,0,0.5181900999741629,greedy_reward_density,2,large
129,0.0,0.0,False,0,0,0.5217973999679089,greedy_reward_density,2,large
130,0.0,0.0,False,0,0,0.5259744999930263,greedy_reward_density,2,large
131,0.0,0.0,False,0,0,0.5302523999707773,greedy_reward_density,2,large
132,0.0,0.0,False,0,0,0.5343643999658525,greedy_reward_density,2,large
133,0.0,0.0,False,0,0,0.5396060000639409,greedy_reward_density,2,large
134,0.0,0.0,False,0,0,0.5440194000257179,greedy_reward_density,2,large
135,0.0,0.0,False,1,0,0.5487195000750944,greedy_reward_density,2,large
136,0.0,0.0,False,0,0,0.5527052000397816,greedy_reward_density,2,large
137,0.0,0.0,False,0,0,0.5566631000256166,greedy_reward_density,2,large
138,0.0,0.0,False,0,0,0.5605324000352994,greedy_reward_density,2,large
139,0.0,0.0,False,0,0,0.564401000039652,greedy_reward_density,2,large
140,0.0,0.0,False,0,0,0.5686451999936253,greedy_reward_density,2,large
141,0.0,0.0,False,1,0,0.5726737000513822,greedy_reward_density,2,large
142,0.0,0.0,False,0,0,0.5765995000256225,greedy_reward_density,2,large
143,0.0,0.0,False,1,0,0.5814021000405774,greedy_reward_density,2,large
144,0.0,0.0,False,0,0,0.5854743999661878,greedy_reward_density,2,large
145,0.0,0.0,False,0,0,0.5898110000416636,greedy_reward_density,2,large
146,0.0,0.0,False,0,0,0.5944002000615001,greedy_reward_density,2,large
147,0.0,0.0,False,0,0,0.5987426000647247,greedy_reward_density,2,large
148,0.0,0.0,False,0,0,0.6029636000748724,greedy_reward_density,2,large
149,0.0,0.0,False,0,0,0.6072142000775784,greedy_reward_density,2,large
150,0.0,0.0,False,0,0,0.6114823999814689,greedy_reward_density,2,large
151,0.0,0.0,False,0,0,0.615434700041078,greedy_reward_density,2,large
152,0.0,0.0,False,0,0,0.6191088000778109,greedy_reward_density,2,large
153,0.0,0.0,False,0,0,0.6232400999870151,greedy_reward_density,2,large
154,0.0,0.0,False,0,0,0.6271834999788553,greedy_reward_density,2,large
155,0.0,0.0,False,0,0,0.6313836000626907,greedy_reward_density,2,large
156,0.0,0.0,False,0,0,0.6358924000523984,greedy_reward_density,2,large
157,0.0,0.0,False,0,0,0.6399332999717444,greedy_reward_density,2,large
158,0.0,0.0,False,0,0,0.6440687000285834,greedy_reward_density,2,large
159,0.0,0.0,False,0,0,0.6483733999775723,greedy_reward_density,2,large
160,0.0,0.0,False,0,0,0.6528595000272617,greedy_reward_density,2,large
