iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.000403700047172606,pso,0,large
2,0.0,0.0,False,0,0,0.0006722999969497323,pso,0,large
3,0.0,0.0,False,0,0,0.0009419999551028013,pso,0,large
4,0.0,0.0,False,0,0,0.0012027999619022012,pso,0,large
5,0.0,0.0,False,0,0,0.001464199973270297,pso,0,large
6,0.0,0.0,False,0,0,0.0017225999617949128,pso,0,large
7,0.0,0.0,False,0,0,0.001981099951080978,pso,0,large
8,0.0,0.0,False,0,0,0.00223430001642555,pso,0,large
9,0.0,0.0,False,0,0,0.002489799982868135,pso,0,large
10,0.0,0.0,False,0,0,0.0027608999516814947,pso,0,large
11,0.0,0.0,False,0,0,0.0030378999654203653,pso,0,large
12,0.0,0.0,False,0,0,0.0033304999815300107,pso,0,large
13,0.0,0.0,False,0,0,0.003615100053139031,pso,0,large
14,0.0,0.0,False,0,0,0.003882499993778765,pso,0,large
15,0.0,0.0,False,0,0,0.004155299975536764,pso,0,large
16,0.0,0.0,False,0,0,0.0044256000546738505,pso,0,large
17,0.0,0.0,False,0,0,0.004685100051574409,pso,0,large
18,0.0,0.0,False,0,0,0.004943300038576126,pso,0,large
19,0.0,0.0,False,1,0,0.005204600049182773,pso,0,large
20,0.0,0.0,False,0,0,0.005463600042276084,pso,0,large
21,0.0,0.0,False,0,0,0.005718800006434321,pso,0,large
22,0.0,0.0,False,0,0,0.005974099971354008,pso,0,large
23,0.0,0.0,False,0,0,0.0062302000587806106,pso,0,large
24,0.0,0.0,False,0,0,0.006703600054606795,pso,0,large
25,0.0,0.0,False,0,0,0.007189700030721724,pso,0,large
26,0.0,0.0,False,0,0,0.007522200001403689,pso,0,large
27,0.0,0.0,False,0,0,0.007817500038072467,pso,0,large
28,0.0,0.0,False,0,0,0.00809570006094873,pso,0,large
29,0.0,0.0,False,0,0,0.008387699956074357,pso,0,large
30,0.0,0.0,False,0,0,0.008672700030729175,pso,0,large
31,0.0,0.0,False,0,0,0.00895469996612519,pso,0,large
32,0.0,0.0,False,0,0,0.009233499993570149,pso,0,large
33,0.0,0.0,False,0,0,0.00950429996009916,pso,0,large
34,0.0,0.0,False,1,0,0.00977999996393919,pso,0,large
35,0.0,0.0,False,0,0,0.01006160001270473,pso,0,large
36,0.0,0.0,False,0,0,0.01032959995791316,pso,0,large
37,0.0,0.0,False,0,0,0.010586400050669909,pso,0,large
38,0.0,0.0,False,0,0,0.01084400003310293,pso,0,large
39,0.0,0.0,False,0,0,0.011097899987362325,pso,0,large
40,0.0,0.0,False,0,0,0.011354799964465201,pso,0,large
41,0.0,0.0,False,0,0,0.011611900059506297,pso,0,large
42,0.0,0.0,False,0,0,0.011866700020618737,pso,0,large
