iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,1,1,0.0003972999984398484,random,4,large
2,0.0,0.0,False,0,1,0.0006941000465303659,random,4,large
3,0.0,0.0,False,0,1,0.000985100050456822,random,4,large
4,0.0,0.0,False,0,1,0.0012657999759539962,random,4,large
5,0.0,0.0,False,0,1,0.0015447000041604042,random,4,large
6,0.0,0.0,False,0,1,0.001828300068154931,random,4,large
7,0.0,0.0,False,0,1,0.00210829998832196,random,4,large
8,0.0,0.0,False,0,1,0.0023877000203356147,random,4,large
9,0.0,0.0,False,2,1,0.0026753999991342425,random,4,large
10,0.0,0.0,False,0,1,0.002961600082926452,random,4,large
11,0.0,0.0,False,0,1,0.003240399993956089,random,4,large
12,0.0,0.0,False,0,1,0.003580800024792552,random,4,large
13,0.0,0.0,False,0,1,0.0038849000120535493,random,4,large
14,0.0,0.0,False,1,1,0.004172499990090728,random,4,large
15,0.0,0.0,False,0,1,0.004454800044186413,random,4,large
16,0.0,0.0,False,0,1,0.004734200076200068,random,4,large
17,0.0,0.0,False,0,1,0.005011799978092313,random,4,large
18,0.0,0.0,False,1,1,0.00529230001848191,random,4,large
19,0.0,0.0,False,0,1,0.005570000037550926,random,4,large
20,0.0,0.0,False,0,1,0.005846200045198202,random,4,large
21,0.0,0.0,False,0,1,0.006123000057414174,random,4,large
22,0.0,0.0,False,0,1,0.006399400066584349,random,4,large
23,0.0,0.0,False,0,1,0.006676100078038871,random,4,large
24,0.0,0.0,False,0,1,0.006954299984499812,random,4,large
25,0.0,0.0,False,0,1,0.007229999988339841,random,4,large
26,0.0,0.0,False,0,1,0.0075101000256836414,random,4,large
27,0.0,0.0,False,0,1,0.007788300048559904,random,4,large
28,0.0,0.0,False,0,1,0.008068400085903704,random,4,large
29,0.0,0.0,False,0,1,0.008347900002263486,random,4,large
30,0.0,0.0,False,0,1,0.008625200018286705,random,4,large
31,0.0,0.0,False,1,1,0.008905800059437752,random,4,large
32,0.0,0.0,False,0,1,0.009189200005494058,random,4,large
33,0.0,0.0,False,0,1,0.009513600030913949,random,4,large
34,0.0,0.0,False,1,1,0.009815099998377264,random,4,large
35,0.0,0.0,False,0,1,0.010107200010679662,random,4,large
36,0.0,0.0,False,2,1,0.010396099998615682,random,4,large
37,0.0,0.0,False,0,1,0.01067810005042702,random,4,large
38,0.0,0.0,False,0,1,0.010959999985061586,random,4,large
39,0.0,0.0,False,0,1,0.01124240003991872,random,4,large
40,0.0,0.0,False,0,1,0.011523100081831217,random,4,large
41,0.0,0.0,False,0,1,0.011801999993622303,random,4,large
42,0.0,0.0,False,0,1,0.012096400023438036,random,4,large
43,0.0,0.0,False,0,1,0.012375600053928792,random,4,large
44,0.0,0.0,False,0,1,0.012659100000746548,random,4,large
45,0.0,0.0,False,0,1,0.01293600001372397,random,4,large
46,0.0,0.0,False,0,1,0.013213400030508637,random,4,large
47,0.0,0.0,False,1,1,0.013498399988748133,random,4,large
48,0.0,0.0,False,0,1,0.013781200046651065,random,4,large
49,0.0,0.0,False,0,1,0.014061400084756315,random,4,large
50,0.0,0.0,False,0,1,0.014340699999593198,random,4,large
51,0.0,0.0,False,0,1,0.01462360005825758,random,4,large
52,0.0,0.0,False,0,1,0.015469699981622398,random,4,large
53,0.0,0.0,False,0,1,0.01639380003325641,random,4,large
54,0.0,0.0,False,0,1,0.01742390007711947,random,4,large
55,0.0,0.0,False,0,1,0.017759500071406364,random,4,large
56,0.0,0.0,False,0,1,0.01805199997033924,random,4,large
57,0.0,0.0,False,0,1,0.018338400055654347,random,4,large
58,0.0,0.0,False,0,1,0.01872469997033477,random,4,large
59,0.0,0.0,False,0,1,0.019034700002521276,random,4,large
60,0.0,0.0,False,0,1,0.019325300003401935,random,4,large
61,0.0,0.0,False,0,1,0.020291100023314357,random,4,large
62,0.0,0.0,False,0,1,0.0209618000080809,random,4,large
63,0.0,0.0,False,0,1,0.021345100016333163,random,4,large
64,0.0,0.0,False,0,1,0.022296300041489303,random,4,large
65,0.0,0.0,False,0,1,0.023189699975773692,random,4,large
66,0.0,0.0,False,1,1,0.024039800046011806,random,4,large
67,0.0,0.0,False,0,1,0.02475770004093647,random,4,large
68,0.0,0.0,False,0,1,0.025111300055868924,random,4,large
69,0.0,0.0,False,0,1,0.025410000002011657,random,4,large
70,0.0,0.0,False,0,1,0.025696299970149994,random,4,large
71,0.0,0.0,False,0,1,0.025995900039561093,random,4,large
72,0.0,0.0,False,0,1,0.02628670004196465,random,4,large
73,0.0,0.0,False,0,1,0.026820800034329295,random,4,large
74,0.0,0.0,False,0,1,0.027375200064852834,random,4,large
75,0.0,0.0,False,0,1,0.030345099978148937,random,4,large
76,0.0,0.0,False,0,1,0.0306855000089854,random,4,large
77,0.0,0.0,False,0,1,0.030978300026617944,random,4,large
78,0.0,0.0,False,0,1,0.03126660000998527,random,4,large
79,0.0,0.0,False,0,1,0.03155219997279346,random,4,large
80,0.0,0.0,False,0,1,0.0318413000786677,random,4,large
81,0.0,0.0,False,0,1,0.032129300059750676,random,4,large
82,0.0,0.0,False,0,1,0.03241660003550351,random,4,large
83,0.0,0.0,False,0,1,0.032708800048567355,random,4,large
84,0.0,0.0,False,0,1,0.03341600007843226,random,4,large
85,0.0,0.0,False,0,1,0.03445070004090667,random,4,large
86,0.0,0.0,False,0,1,0.03479850001167506,random,4,large
87,0.0,0.0,False,0,1,0.03509640006814152,random,4,large
88,0.0,0.0,False,0,1,0.0353840000461787,random,4,large
89,0.0,0.0,False,0,1,0.035670600016601384,random,4,large
90,0.0,0.0,False,0,1,0.03595659998245537,random,4,large
91,0.0,0.0,False,1,1,0.036252600024454296,random,4,large
92,0.0,0.0,False,1,1,0.03654710005503148,random,4,large
93,0.0,0.0,False,0,1,0.03711260005366057,random,4,large
94,0.0,0.0,False,0,1,0.03773850004654378,random,4,large
95,0.0,0.0,False,0,1,0.03805350000038743,random,4,large
96,0.0,0.0,False,0,1,0.03835160005837679,random,4,large
97,0.0,0.0,False,0,1,0.03863099997397512,random,4,large
98,0.0,0.0,False,0,1,0.03892880002968013,random,4,large
99,0.0,0.0,False,0,1,0.039230700000189245,random,4,large
100,0.0,0.0,False,0,1,0.03953110007569194,random,4,large
101,0.0,0.0,False,1,1,0.03989400004502386,random,4,large
102,0.0,0.0,False,1,1,0.040238099987618625,random,4,large
103,0.0,0.0,False,0,1,0.04053330002352595,random,4,large
104,0.0,0.0,False,0,1,0.0408185999840498,random,4,large
105,0.0,0.0,False,0,1,0.0411060000769794,random,4,large
106,0.0,0.0,False,0,1,0.04139180004131049,random,4,large
107,0.0,0.0,False,0,1,0.041676900000311434,random,4,large
108,0.0,0.0,False,0,1,0.04196770000271499,random,4,large
109,0.0,0.0,False,0,1,0.04225719999521971,random,4,large
110,0.0,0.0,False,0,1,0.04267170000821352,random,4,large
111,0.0,0.0,False,0,1,0.04325600003357977,random,4,large
112,0.0,0.0,False,1,1,0.04363209998700768,random,4,large
113,0.0,0.0,False,1,1,0.04394480003975332,random,4,large
114,0.0,0.0,False,0,1,0.044235800043679774,random,4,large
115,0.0,0.0,False,0,1,0.04451620008330792,random,4,large
116,0.0,0.0,False,0,1,0.044804400065913796,random,4,large
117,0.0,0.0,False,0,1,0.04509170004166663,random,4,large
118,0.0,0.0,False,0,1,0.045380700030364096,random,4,large
119,0.0,0.0,False,0,1,0.04566280008293688,random,4,large
120,0.0,0.0,False,0,1,0.04621850000694394,random,4,large
121,0.0,0.0,False,0,1,0.046539300004951656,random,4,large
122,0.0,0.0,False,0,1,0.04683020000811666,random,4,large
123,0.0,0.0,False,0,1,0.0471160999732092,random,4,large
124,0.0,0.0,False,0,1,0.04739950003568083,random,4,large
125,0.0,0.0,False,0,1,0.04768219997640699,random,4,large
126,0.0,0.0,False,0,1,0.047961700009182096,random,4,large
127,0.0,0.0,False,0,1,0.04823950002901256,random,4,large
128,0.0,0.0,False,0,1,0.04852010007016361,random,4,large
129,0.0,0.0,False,1,1,0.04880990006495267,random,4,large
130,0.0,0.0,False,0,1,0.04909470002166927,random,4,large
131,0.0,0.0,False,0,1,0.04937650007195771,random,4,large
132,0.0,0.0,False,0,1,0.04965320008341223,random,4,large
133,0.0,0.0,False,0,1,0.04993119998835027,random,4,large
134,0.0,0.0,False,0,1,0.05020980001427233,random,4,large
135,0.0,0.0,False,0,1,0.0504874000325799,random,4,large
136,0.0,0.0,False,0,1,0.05076590005774051,random,4,large
137,0.0,0.0,False,0,1,0.05104539997410029,random,4,large
138,0.0,0.0,False,0,1,0.05132610001601279,random,4,large
139,0.0,0.0,False,0,1,0.05160300002899021,random,4,large
140,0.0,0.0,False,0,1,0.05188749998342246,random,4,large
141,0.0,0.0,False,0,1,0.05233760003466159,random,4,large
142,0.0,0.0,False,0,1,0.05263589997775853,random,4,large
143,0.0,0.0,False,0,1,0.05291580001357943,random,4,large
144,0.0,0.0,False,0,1,0.05319670005701482,random,4,large
145,0.0,0.0,False,1,1,0.05348140001296997,random,4,large
146,0.0,0.0,False,0,1,0.053760900045745075,random,4,large
147,0.0,0.0,False,0,1,0.054041200084611773,random,4,large
148,0.0,0.0,False,0,1,0.05432260001543909,random,4,large
