iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.04620860004797578,bo,1,medium
2,0.0,0.0,False,0,0,0.047539600054733455,bo,1,medium
3,0.0,0.0,False,1,0,0.04928389994893223,bo,1,medium
4,0.0,0.0,False,0,0,0.05078639998100698,bo,1,medium
5,0.0,0.0,False,0,0,0.0520560999866575,bo,1,medium
6,0.0,0.0,False,0,0,0.05330779997166246,bo,1,medium
7,0.0,0.0,False,0,0,0.0545702000381425,bo,1,medium
8,0.0,0.0,False,0,0,0.055796399945393205,bo,1,medium
9,0.0,0.0,False,0,0,0.05701979994773865,bo,1,medium
10,0.0,0.0,False,0,0,0.05862150003667921,bo,1,medium
11,0.0,0.0,False,0,0,0.059961199993267655,bo,1,medium
12,0.0,0.0,False,0,0,0.06121890002395958,bo,1,medium
13,0.0,0.0,False,0,0,0.06245610001496971,bo,1,medium
14,0.0,0.0,False,0,0,0.06369490001816303,bo,1,medium
15,0.0,0.0,False,0,0,0.06492409994825721,bo,1,medium
16,0.0,0.0,False,0,0,0.06620300002396107,bo,1,medium
17,0.0,0.0,False,0,0,0.06743799999821931,bo,1,medium
18,0.0,0.0,False,1,0,0.06866720004472882,bo,1,medium
19,0.0,0.0,False,0,0,0.06989070004783571,bo,1,medium
20,0.0,0.0,False,0,0,0.1645783999701962,bo,1,medium
21,0.0,0.0,False,0,0,0.25534120004158467,bo,1,medium
22,0.0,0.0,False,0,0,0.35465220001060516,bo,1,medium
23,0.0,0.0,False,0,0,0.4825104000046849,bo,1,medium
24,0.0,0.0,False,0,0,0.5809667999856174,bo,1,medium
25,0.0,0.0,False,0,0,0.6854369000066072,bo,1,medium
26,0.0,0.0,False,0,0,0.7826559999957681,bo,1,medium
27,0.0,0.0,False,1,0,0.8853652999969199,bo,1,medium
28,0.0,0.0,False,0,0,0.9868696000194177,bo,1,medium
29,0.0,0.0,False,0,0,1.0905762000475079,bo,1,medium
30,0.0,0.0,False,0,0,1.1938923000125214,bo,1,medium
31,0.0,0.0,False,0,0,1.2965676999883726,bo,1,medium
