iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00037159991916269064,random,0,medium
2,0.0,0.0,False,0,0,0.0005589999491348863,random,0,medium
3,0.0,0.0,False,0,0,0.0007206000154837966,random,0,medium
4,0.0,0.0,False,0,0,0.0010101000079885125,random,0,medium
5,0.0,0.0,False,0,0,0.0012342999689280987,random,0,medium
6,0.0,0.0,False,0,0,0.001388499978929758,random,0,medium
7,0.0,0.0,False,0,0,0.001546400017105043,random,0,medium
8,0.0,0.0,False,0,0,0.0017011999152600765,random,0,medium
9,0.0,0.0,False,0,0,0.0018585999496281147,random,0,medium
10,0.0,0.0,False,0,0,0.0020129999611526728,random,0,medium
11,0.0,0.0,False,0,0,0.0021657999604940414,random,0,medium
12,0.0,0.0,False,1,0,0.00233189994469285,random,0,medium
13,0.0,0.0,False,0,0,0.002486799960024655,random,0,medium
14,0.0,0.0,False,0,0,0.002637899946421385,random,0,medium
15,0.0,0.0,False,0,0,0.002800599904730916,random,0,medium
16,0.0,0.0,False,0,0,0.0029544999124482274,random,0,medium
17,0.0,0.0,False,0,0,0.0031074999133124948,random,0,medium
18,0.0,0.0,False,0,0,0.0032686999766156077,random,0,medium
19,0.0,0.0,False,1,0,0.0034285999136045575,random,0,medium
20,0.0,0.0,False,0,0,0.0035880999639630318,random,0,medium
21,0.0,0.0,False,0,0,0.003748699906282127,random,0,medium
22,0.0,0.0,False,0,0,0.004150599939748645,random,0,medium
23,0.0,0.0,False,1,0,0.004729899927042425,random,0,medium
24,0.0,0.0,False,0,0,0.004963899962604046,random,0,medium
25,0.0,0.0,False,2,0,0.005150799988768995,random,0,medium
26,0.0,0.0,False,0,0,0.005364299984648824,random,0,medium
27,0.0,0.0,False,0,0,0.005546499975025654,random,0,medium
28,0.0,0.0,False,0,0,0.005704000010155141,random,0,medium
29,0.0,0.0,False,0,0,0.005858599906787276,random,0,medium
30,0.0,0.0,False,0,0,0.006028599920682609,random,0,medium
31,0.0,0.0,False,0,0,0.0061923000030219555,random,0,medium
32,0.0,0.0,False,0,0,0.0063647999195382,random,0,medium
33,0.0,0.0,False,0,0,0.006619299994781613,random,0,medium
34,0.0,0.0,False,0,0,0.00683309999294579,random,0,medium
35,0.0,0.0,False,0,0,0.006994999945163727,random,0,medium
36,0.0,0.0,False,0,0,0.007280599907971919,random,0,medium
37,0.0,0.0,False,0,0,0.007524699904024601,random,0,medium
38,0.0,0.0,False,0,0,0.007692799903452396,random,0,medium
39,0.0,0.0,False,0,0,0.007848899927921593,random,0,medium
40,0.0,0.0,False,0,0,0.008063299930654466,random,0,medium
41,0.0,0.0,False,2,0,0.008251799969002604,random,0,medium
42,0.0,0.0,False,0,0,0.00840499997138977,random,0,medium
43,0.0,0.0,False,0,0,0.008555299951694906,random,0,medium
44,0.0,0.0,False,0,0,0.008713599992915988,random,0,medium
45,0.0,0.0,False,1,0,0.008870599907822907,random,0,medium
46,0.0,0.0,False,0,0,0.00902889994904399,random,0,medium
47,0.0,0.0,False,0,0,0.00918729999102652,random,0,medium
48,0.0,0.0,False,0,0,0.009353899979032576,random,0,medium
49,0.0,0.0,False,0,0,0.009509800001978874,random,0,medium
50,0.0,0.0,False,0,0,0.00970599998254329,random,0,medium
51,0.0,0.0,False,0,0,0.009878500015474856,random,0,medium
52,0.0,0.0,False,0,0,0.010052199941128492,random,0,medium
53,0.0,0.0,False,0,0,0.010220199939794838,random,0,medium
