iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00107849994674325,greedy_reward_density,2,medium
2,0.0,0.0,False,0,0,0.0021018999395892024,greedy_reward_density,2,medium
3,0.0,0.0,False,1,0,0.003096599946729839,greedy_reward_density,2,medium
4,0.0,0.0,False,0,0,0.004085700027644634,greedy_reward_density,2,medium
5,0.0,0.0,False,0,0,0.005097899935208261,greedy_reward_density,2,medium
6,0.0,0.0,False,0,0,0.0061428999761119485,greedy_reward_density,2,medium
7,0.0,0.0,False,0,0,0.0071546999970451,greedy_reward_density,2,medium
8,0.0,0.0,False,0,0,0.00811920000705868,greedy_reward_density,2,medium
9,0.0,0.0,False,0,0,0.00911490002181381,greedy_reward_density,2,medium
10,0.0,0.0,False,0,0,0.010186799918301404,greedy_reward_density,2,medium
11,0.0,0.0,False,0,0,0.011172399972565472,greedy_reward_density,2,medium
12,0.0,0.0,False,0,0,0.012160299927927554,greedy_reward_density,2,medium
13,0.0,0.0,False,0,0,0.013177799992263317,greedy_reward_density,2,medium
14,0.0,0.0,False,0,0,0.01420420000795275,greedy_reward_density,2,medium
15,0.0,0.0,False,0,0,0.01544119999743998,greedy_reward_density,2,medium
16,0.0,0.0,False,0,0,0.016439099912531674,greedy_reward_density,2,medium
17,0.0,0.0,False,0,0,0.01745309995021671,greedy_reward_density,2,medium
18,0.0,0.0,False,0,0,0.018480499973520637,greedy_reward_density,2,medium
19,0.0,0.0,False,0,0,0.01946209999732673,greedy_reward_density,2,medium
20,0.0,0.0,False,0,0,0.02041629992891103,greedy_reward_density,2,medium
21,0.0,0.0,False,0,0,0.021402099984697998,greedy_reward_density,2,medium
22,0.0,0.0,False,0,0,0.022349299979396164,greedy_reward_density,2,medium
23,0.0,0.0,False,0,0,0.023371399962343276,greedy_reward_density,2,medium
24,0.0,0.0,False,0,0,0.024331599939614534,greedy_reward_density,2,medium
25,0.0,0.0,False,0,0,0.025545099982991815,greedy_reward_density,2,medium
26,0.0,0.0,False,0,0,0.026613399968482554,greedy_reward_density,2,medium
27,0.0,0.0,False,0,0,0.02761119999922812,greedy_reward_density,2,medium
28,0.0,0.0,False,0,0,0.028645699960179627,greedy_reward_density,2,medium
29,0.0,0.0,False,0,0,0.02967810002155602,greedy_reward_density,2,medium
30,0.0,0.0,False,0,0,0.030693199951201677,greedy_reward_density,2,medium
31,0.0,0.0,False,0,0,0.031715699937194586,greedy_reward_density,2,medium
32,0.0,0.0,False,1,0,0.0327369999140501,greedy_reward_density,2,medium
33,0.0,0.0,False,0,0,0.03378329996485263,greedy_reward_density,2,medium
34,0.0,0.0,False,0,0,0.034791599959135056,greedy_reward_density,2,medium
35,0.0,0.0,False,0,0,0.03581789997406304,greedy_reward_density,2,medium
36,0.0,0.0,False,0,0,0.036836299928836524,greedy_reward_density,2,medium
37,0.0,0.0,False,0,0,0.037816999945789576,greedy_reward_density,2,medium
38,0.0,0.0,False,0,0,0.03883159998804331,greedy_reward_density,2,medium
39,0.0,0.0,False,0,0,0.03997819998767227,greedy_reward_density,2,medium
40,0.0,0.0,False,0,0,0.041605599923059344,greedy_reward_density,2,medium
41,0.0,0.0,False,0,0,0.0426869000075385,greedy_reward_density,2,medium
42,0.0,0.0,False,0,0,0.04392809991259128,greedy_reward_density,2,medium
43,0.0,0.0,False,0,0,0.045180700020864606,greedy_reward_density,2,medium
44,0.0,0.0,False,0,0,0.04622459993697703,greedy_reward_density,2,medium
45,0.0,0.0,False,0,0,0.04790140001568943,greedy_reward_density,2,medium
46,0.0,0.0,False,0,0,0.049010599963366985,greedy_reward_density,2,medium
47,0.0,0.0,False,0,0,0.050044099916704,greedy_reward_density,2,medium
48,0.0,0.0,False,0,0,0.051290999981574714,greedy_reward_density,2,medium
49,0.0,0.0,False,1,0,0.052618299960158765,greedy_reward_density,2,medium
50,0.0,0.0,False,0,0,0.05365299992263317,greedy_reward_density,2,medium
51,0.0,0.0,False,0,0,0.05487120000179857,greedy_reward_density,2,medium
52,0.0,0.0,False,0,0,0.056193499942310154,greedy_reward_density,2,medium
53,0.0,0.0,False,0,0,0.05725620000157505,greedy_reward_density,2,medium
54,0.0,0.0,False,1,0,0.058437799918465316,greedy_reward_density,2,medium
55,0.0,0.0,False,0,0,0.05946889996994287,greedy_reward_density,2,medium
56,0.0,0.0,False,0,0,0.06044209992978722,greedy_reward_density,2,medium
57,0.0,0.0,False,0,0,0.0615624999627471,greedy_reward_density,2,medium
58,0.0,0.0,False,0,0,0.06262610002886504,greedy_reward_density,2,medium
