iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,9.078940368212564,9.078940368212564,True,3,3,0.008998600067570806,hsbo,1,medium
2,0.0,9.078940368212564,False,1,3,0.00917710002977401,hsbo,1,medium
3,0.0,9.078940368212564,False,2,3,0.009388800011947751,hsbo,1,medium
4,0.0,9.078940368212564,False,0,3,0.009547800058498979,hsbo,1,medium
5,0.0,9.078940368212564,False,0,3,0.009700800059363246,hsbo,1,medium
6,0.0,9.078940368212564,False,1,3,0.009854900068603456,hsbo,1,medium
7,0.0,9.078940368212564,False,0,3,0.010014700004830956,hsbo,1,medium
8,0.0,9.078940368212564,False,1,3,0.010174900060519576,hsbo,1,medium
9,0.0,9.078940368212564,False,1,3,0.01032830006442964,hsbo,1,medium
10,0.0,9.078940368212564,False,0,3,0.010507900035008788,hsbo,1,medium
11,0.0,9.078940368212564,False,0,3,0.050770799978636205,hsbo,1,medium
12,0.0,9.078940368212564,False,1,3,0.05093899997882545,hsbo,1,medium
13,0.0,9.078940368212564,False,0,3,0.05110080004669726,hsbo,1,medium
14,0.0,9.078940368212564,False,2,3,0.05126680003013462,hsbo,1,medium
15,0.0,9.078940368212564,False,0,3,0.09258449997287244,hsbo,1,medium
16,0.0,9.078940368212564,False,0,3,0.09279859997332096,hsbo,1,medium
17,0.0,9.078940368212564,False,0,3,0.09295880002900958,hsbo,1,medium
18,0.0,9.078940368212564,False,1,3,0.09311979997437447,hsbo,1,medium
19,0.0,9.078940368212564,False,0,3,0.13616009999532253,hsbo,1,medium
20,0.0,9.078940368212564,False,0,3,0.13632419996429235,hsbo,1,medium
21,47.915671933161356,47.915671933161356,True,5,5,0.1410044999793172,hsbo,1,medium
22,0.0,47.915671933161356,False,1,5,0.1411771000130102,hsbo,1,medium
23,0.0,47.915671933161356,False,0,5,0.14133969997055829,hsbo,1,medium
24,0.0,47.915671933161356,False,1,5,0.14149670000188053,hsbo,1,medium
25,0.0,47.915671933161356,False,0,5,0.1416503000073135,hsbo,1,medium
26,0.0,47.915671933161356,False,0,5,0.14180490002036095,hsbo,1,medium
27,0.0,47.915671933161356,False,0,5,0.14195650001056492,hsbo,1,medium
28,0.0,47.915671933161356,False,1,5,0.14211210003122687,hsbo,1,medium
29,0.0,47.915671933161356,False,0,5,0.14226660004351288,hsbo,1,medium
30,0.0,47.915671933161356,False,0,5,0.14242310007102787,hsbo,1,medium
31,0.0,47.915671933161356,False,0,5,0.22065050003584474,hsbo,1,medium
32,0.0,47.915671933161356,False,0,5,0.22081089997664094,hsbo,1,medium
33,0.0,47.915671933161356,False,0,5,0.220960000064224,hsbo,1,medium
34,0.0,47.915671933161356,False,0,5,0.22110530000645667,hsbo,1,medium
35,0.0,47.915671933161356,False,0,5,0.26571349997539073,hsbo,1,medium
36,0.0,47.915671933161356,False,1,5,0.2658831999870017,hsbo,1,medium
37,0.0,47.915671933161356,False,0,5,0.2660419000312686,hsbo,1,medium
38,0.0,47.915671933161356,False,0,5,0.266199600067921,hsbo,1,medium
39,0.0,47.915671933161356,False,0,5,0.31180180003866553,hsbo,1,medium
40,0.0,47.915671933161356,False,3,5,0.31197160005103797,hsbo,1,medium
41,0.0,47.915671933161356,False,2,5,0.31673009996302426,hsbo,1,medium
42,0.0,47.915671933161356,False,1,5,0.3168990999693051,hsbo,1,medium
43,0.0,47.915671933161356,False,0,5,0.31706020003184676,hsbo,1,medium
44,0.0,47.915671933161356,False,0,5,0.3172140000388026,hsbo,1,medium
45,0.0,47.915671933161356,False,0,5,0.31736890005413443,hsbo,1,medium
46,0.0,47.915671933161356,False,1,5,0.3175283999880776,hsbo,1,medium
47,0.0,47.915671933161356,False,0,5,0.3176847000140697,hsbo,1,medium
48,0.0,47.915671933161356,False,0,5,0.31784380006138235,hsbo,1,medium
49,0.0,47.915671933161356,False,0,5,0.31807290005963296,hsbo,1,medium
50,0.0,47.915671933161356,False,0,5,0.31844569998793304,hsbo,1,medium
51,0.0,47.915671933161356,False,0,5,0.3313209000043571,hsbo,1,medium
52,0.0,47.915671933161356,False,0,5,0.3315003999741748,hsbo,1,medium
53,0.0,47.915671933161356,False,0,5,0.3316732000093907,hsbo,1,medium
54,0.0,47.915671933161356,False,0,5,0.33185580000281334,hsbo,1,medium
55,0.0,47.915671933161356,False,0,5,0.3471404999727383,hsbo,1,medium
56,0.0,47.915671933161356,False,0,5,0.34745800006203353,hsbo,1,medium
57,0.0,47.915671933161356,False,1,5,0.3476697000442073,hsbo,1,medium
58,0.0,47.915671933161356,False,0,5,0.3478497000178322,hsbo,1,medium
59,0.0,47.915671933161356,False,0,5,0.36040370003320277,hsbo,1,medium
60,0.0,47.915671933161356,False,1,5,0.36057600006461143,hsbo,1,medium
61,0.0,47.915671933161356,False,0,5,0.3660226999782026,hsbo,1,medium
62,0.0,47.915671933161356,False,0,5,0.36619990004692227,hsbo,1,medium
63,0.0,47.915671933161356,False,0,5,0.36636049998924136,hsbo,1,medium
64,0.0,47.915671933161356,False,0,5,0.3665129999862984,hsbo,1,medium
65,0.0,47.915671933161356,False,0,5,0.366668300004676,hsbo,1,medium
66,0.0,47.915671933161356,False,0,5,0.3668254000367597,hsbo,1,medium
67,0.0,47.915671933161356,False,0,5,0.3669984000734985,hsbo,1,medium
68,0.0,47.915671933161356,False,0,5,0.3672231000382453,hsbo,1,medium
69,0.0,47.915671933161356,False,0,5,0.36737500003073364,hsbo,1,medium
70,0.0,47.915671933161356,False,0,5,0.36752460000570863,hsbo,1,medium
71,0.0,47.915671933161356,False,0,5,0.3803160999668762,hsbo,1,medium
72,0.0,47.915671933161356,False,0,5,0.3805341999977827,hsbo,1,medium
73,0.0,47.915671933161356,False,0,5,0.38070219999644905,hsbo,1,medium
74,0.0,47.915671933161356,False,0,5,0.3808623000513762,hsbo,1,medium
75,0.0,47.915671933161356,False,1,5,0.3926514000631869,hsbo,1,medium
76,0.0,47.915671933161356,False,0,5,0.3928423000033945,hsbo,1,medium
77,0.0,47.915671933161356,False,0,5,0.39300669997464865,hsbo,1,medium
78,0.0,47.915671933161356,False,0,5,0.39316079998388886,hsbo,1,medium
79,0.0,47.915671933161356,False,1,5,0.405004300060682,hsbo,1,medium
80,0.0,47.915671933161356,False,1,5,0.40516640001442283,hsbo,1,medium
81,0.0,47.915671933161356,False,0,5,0.40981490002013743,hsbo,1,medium
82,0.0,47.915671933161356,False,0,5,0.40997250005602837,hsbo,1,medium
83,0.0,47.915671933161356,False,0,5,0.4101196000119671,hsbo,1,medium
84,0.0,47.915671933161356,False,0,5,0.4102672999724746,hsbo,1,medium
85,0.0,47.915671933161356,False,0,5,0.41041560005396605,hsbo,1,medium
86,0.0,47.915671933161356,False,0,5,0.41057740000542253,hsbo,1,medium
87,0.0,47.915671933161356,False,0,5,0.41073890007101,hsbo,1,medium
88,0.0,47.915671933161356,False,0,5,0.41090040002018213,hsbo,1,medium
89,0.0,47.915671933161356,False,0,5,0.4110575000522658,hsbo,1,medium
90,0.0,47.915671933161356,False,0,5,0.4112099000485614,hsbo,1,medium
91,0.0,47.915671933161356,False,0,5,0.42346630000974983,hsbo,1,medium
92,0.0,47.915671933161356,False,0,5,0.4236272000707686,hsbo,1,medium
93,0.0,47.915671933161356,False,0,5,0.4237795000663027,hsbo,1,medium
94,0.0,47.915671933161356,False,0,5,0.42393120005726814,hsbo,1,medium
95,0.0,47.915671933161356,False,0,5,0.436032300000079,hsbo,1,medium
96,0.0,47.915671933161356,False,0,5,0.436191700049676,hsbo,1,medium
97,0.0,47.915671933161356,False,0,5,0.4363474000710994,hsbo,1,medium
98,0.0,47.915671933161356,False,0,5,0.43650020007044077,hsbo,1,medium
99,0.0,47.915671933161356,False,0,5,0.4501087999669835,hsbo,1,medium
100,0.0,47.915671933161356,False,0,5,0.45028960006311536,hsbo,1,medium
101,8.737869503409616,47.915671933161356,True,3,5,0.45499100000597537,hsbo,1,medium
102,0.0,47.915671933161356,False,1,5,0.45521499996539205,hsbo,1,medium
103,0.0,47.915671933161356,False,2,5,0.45541150006465614,hsbo,1,medium
104,0.0,47.915671933161356,False,0,5,0.4555801000678912,hsbo,1,medium
105,0.0,47.915671933161356,False,0,5,0.45573679998051375,hsbo,1,medium
106,0.0,47.915671933161356,False,0,5,0.455891799996607,hsbo,1,medium
107,0.0,47.915671933161356,False,0,5,0.4560461000073701,hsbo,1,medium
108,0.0,47.915671933161356,False,0,5,0.4562074000714347,hsbo,1,medium
109,0.0,47.915671933161356,False,0,5,0.45636549999471754,hsbo,1,medium
110,0.0,47.915671933161356,False,0,5,0.45653219998348504,hsbo,1,medium
111,0.0,47.915671933161356,False,0,5,0.5311174000380561,hsbo,1,medium
112,0.0,47.915671933161356,False,0,5,0.5312892000656575,hsbo,1,medium
113,0.0,47.915671933161356,False,0,5,0.5314486999996006,hsbo,1,medium
114,0.0,47.915671933161356,False,0,5,0.5316038000164554,hsbo,1,medium
115,0.0,47.915671933161356,False,1,5,0.5716118999989703,hsbo,1,medium
116,0.0,47.915671933161356,False,0,5,0.5717743000714108,hsbo,1,medium
117,0.0,47.915671933161356,False,0,5,0.5719277000753209,hsbo,1,medium
118,0.0,47.915671933161356,False,1,5,0.572084299987182,hsbo,1,medium
119,0.0,47.915671933161356,False,0,5,0.6131847000215203,hsbo,1,medium
120,0.0,47.915671933161356,False,0,5,0.613346099969931,hsbo,1,medium
121,0.0,47.915671933161356,False,0,5,0.6175991999916732,hsbo,1,medium
122,0.0,47.915671933161356,False,0,5,0.6177618000656366,hsbo,1,medium
123,0.0,47.915671933161356,False,0,5,0.6179175999714062,hsbo,1,medium
124,0.0,47.915671933161356,False,0,5,0.6180730999913067,hsbo,1,medium
125,0.0,47.915671933161356,False,0,5,0.6182315000332892,hsbo,1,medium
126,0.0,47.915671933161356,False,0,5,0.6183877000585198,hsbo,1,medium
127,0.0,47.915671933161356,False,0,5,0.6185430000768974,hsbo,1,medium
128,0.0,47.915671933161356,False,0,5,0.618697699974291,hsbo,1,medium
129,0.0,47.915671933161356,False,0,5,0.6188536999979988,hsbo,1,medium
130,0.0,47.915671933161356,False,0,5,0.6190231000073254,hsbo,1,medium
131,0.0,47.915671933161356,False,0,5,0.6314064000034705,hsbo,1,medium
132,0.0,47.915671933161356,False,0,5,0.6315678000682965,hsbo,1,medium
133,0.0,47.915671933161356,False,0,5,0.6317210000706837,hsbo,1,medium
134,0.0,47.915671933161356,False,0,5,0.6318781999871135,hsbo,1,medium
135,0.0,47.915671933161356,False,0,5,0.6445239000022411,hsbo,1,medium
136,0.0,47.915671933161356,False,0,5,0.6446920000016689,hsbo,1,medium
137,0.0,47.915671933161356,False,0,5,0.6448533000657335,hsbo,1,medium
138,0.0,47.915671933161356,False,0,5,0.6450086999684572,hsbo,1,medium
139,0.0,47.915671933161356,False,0,5,0.6570242000743747,hsbo,1,medium
140,0.0,47.915671933161356,False,0,5,0.6571854000212625,hsbo,1,medium
141,0.0,47.915671933161356,False,0,5,0.66246530006174,hsbo,1,medium
142,0.0,47.915671933161356,False,0,5,0.66263010003604,hsbo,1,medium
143,0.0,47.915671933161356,False,0,5,0.6628971999743953,hsbo,1,medium
144,0.0,47.915671933161356,False,0,5,0.6631033000303432,hsbo,1,medium
145,0.0,47.915671933161356,False,0,5,0.66326649999246,hsbo,1,medium
146,0.0,47.915671933161356,False,0,5,0.6634227000176907,hsbo,1,medium
147,0.0,47.915671933161356,False,0,5,0.6635710999835283,hsbo,1,medium
148,0.0,47.915671933161356,False,0,5,0.6637180000543594,hsbo,1,medium
149,0.0,47.915671933161356,False,0,5,0.6638649000087753,hsbo,1,medium
150,0.0,47.915671933161356,False,0,5,0.664013999979943,hsbo,1,medium
