iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0002474000211805105,pso,2,medium
2,0.0,0.0,False,0,0,0.000407799961976707,pso,2,medium
3,0.0,0.0,False,0,0,0.0005575999384745955,pso,2,medium
4,0.0,0.0,False,0,0,0.0007053000153973699,pso,2,medium
5,0.0,0.0,False,0,0,0.0008521999698132277,pso,2,medium
6,0.0,0.0,False,0,0,0.0010043999645859003,pso,2,medium
7,0.0,0.0,False,0,0,0.0011555999517440796,pso,2,medium
8,0.0,0.0,False,0,0,0.0013059999328106642,pso,2,medium
9,0.0,0.0,False,0,0,0.0014583999291062355,pso,2,medium
10,0.0,0.0,False,0,0,0.0016060000052675605,pso,2,medium
11,0.0,0.0,False,0,0,0.0017501999391242862,pso,2,medium
12,0.0,0.0,False,0,0,0.0018999000312760472,pso,2,medium
13,0.0,0.0,False,0,0,0.002050100010819733,pso,2,medium
14,0.0,0.0,False,0,0,0.002197299967519939,pso,2,medium
15,0.0,0.0,False,0,0,0.0023499999660998583,pso,2,medium
16,0.0,0.0,False,0,0,0.002498099929653108,pso,2,medium
17,0.0,0.0,False,0,0,0.002640599966980517,pso,2,medium
18,0.0,0.0,False,0,0,0.0027831000043079257,pso,2,medium
19,0.0,0.0,False,0,0,0.0029251999221742153,pso,2,medium
20,0.0,0.0,False,0,0,0.003068599966354668,pso,2,medium
21,0.0,0.0,False,0,0,0.003211100003682077,pso,2,medium
22,0.0,0.0,False,0,0,0.0033552999375388026,pso,2,medium
23,0.0,0.0,False,0,0,0.00349949998781085,pso,2,medium
24,0.0,0.0,False,0,0,0.0036497999681159854,pso,2,medium
25,0.0,0.0,False,0,0,0.0038000999484211206,pso,2,medium
26,0.0,0.0,False,0,0,0.003943899995647371,pso,2,medium
27,0.0,0.0,False,0,0,0.004085700027644634,pso,2,medium
28,0.0,0.0,False,0,0,0.004228699952363968,pso,2,medium
29,0.0,0.0,False,0,0,0.004372099996544421,pso,2,medium
30,0.0,0.0,False,1,0,0.004523399984464049,pso,2,medium
31,0.0,0.0,False,0,0,0.004675699979998171,pso,2,medium
32,0.0,0.0,False,0,0,0.004826399963349104,pso,2,medium
33,0.0,0.0,False,0,0,0.0049755999352782965,pso,2,medium
34,0.0,0.0,False,0,0,0.005125400028191507,pso,2,medium
35,0.0,0.0,False,0,0,0.005272699985653162,pso,2,medium
36,0.0,0.0,False,0,0,0.005417099921032786,pso,2,medium
37,0.0,0.0,False,0,0,0.005594799993559718,pso,2,medium
38,0.0,0.0,False,0,0,0.005749400006607175,pso,2,medium
