iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0002595999976620078,random,3,medium
2,0.0,0.0,False,0,0,0.0004256999818608165,random,3,medium
3,0.0,0.0,False,0,0,0.0005732999416068196,random,3,medium
4,0.0,0.0,False,1,0,0.0007254999363794923,random,3,medium
5,0.0,0.0,False,0,0,0.0008688999805599451,random,3,medium
6,0.0,0.0,False,0,0,0.001010499894618988,random,3,medium
7,0.0,0.0,False,0,0,0.0011569999624043703,random,3,medium
8,0.0,0.0,False,0,0,0.0013054999290034175,random,3,medium
9,0.0,0.0,False,0,0,0.001447599963285029,random,3,medium
10,0.0,0.0,False,0,0,0.001586599973961711,random,3,medium
11,0.0,0.0,False,0,0,0.0017316999146714807,random,3,medium
12,0.0,0.0,False,0,0,0.001873199944384396,random,3,medium
13,0.0,0.0,False,0,0,0.002019599894993007,random,3,medium
14,0.0,0.0,False,0,0,0.002167399972677231,random,3,medium
15,0.0,0.0,False,1,0,0.0023106998996809125,random,3,medium
16,0.0,0.0,False,0,0,0.002451099921017885,random,3,medium
17,0.0,0.0,False,0,0,0.00259119994007051,random,3,medium
18,0.0,0.0,False,0,0,0.0027327999705448747,random,3,medium
19,0.0,0.0,False,0,0,0.0028698999667540193,random,3,medium
20,0.0,0.0,False,0,0,0.00300759996753186,random,3,medium
21,0.0,0.0,False,0,0,0.0031481999903917313,random,3,medium
22,0.0,0.0,False,0,0,0.003289199899882078,random,3,medium
23,0.0,0.0,False,0,0,0.003426999901421368,random,3,medium
24,0.0,0.0,False,0,0,0.0035634998930618167,random,3,medium
25,0.0,0.0,False,0,0,0.0037021999014541507,random,3,medium
26,0.0,0.0,False,0,0,0.0038408999098464847,random,3,medium
27,0.0,0.0,False,0,0,0.003977299900725484,random,3,medium
28,0.0,0.0,False,0,0,0.004117899923585355,random,3,medium
29,0.0,0.0,False,0,0,0.004256799933500588,random,3,medium
30,0.0,0.0,False,0,0,0.004394399933516979,random,3,medium
31,0.0,0.0,False,0,0,0.004531899932771921,random,3,medium
32,0.0,0.0,False,0,0,0.004676099983043969,random,3,medium
33,0.0,0.0,False,0,0,0.004819299909286201,random,3,medium
34,0.0,0.0,False,1,0,0.004968599998392165,random,3,medium
35,0.0,0.0,False,0,0,0.005220499937422574,random,3,medium
36,0.0,0.0,False,0,0,0.005406099953688681,random,3,medium
37,0.0,0.0,False,0,0,0.005570199922658503,random,3,medium
38,0.0,0.0,False,0,0,0.005731499986723065,random,3,medium
39,0.0,0.0,False,0,0,0.0058917999267578125,random,3,medium
40,0.0,0.0,False,0,0,0.00604629993904382,random,3,medium
41,0.0,0.0,False,0,0,0.0062074000015854836,random,3,medium
42,0.0,0.0,False,0,0,0.0063625999027863145,random,3,medium
43,0.0,0.0,False,0,0,0.006524199969135225,random,3,medium
44,0.0,0.0,False,0,0,0.006680799997411668,random,3,medium
45,0.0,0.0,False,0,0,0.006836799904704094,random,3,medium
46,0.0,0.0,False,0,0,0.006994399940595031,random,3,medium
47,0.0,0.0,False,0,0,0.007161199930123985,random,3,medium
48,0.0,0.0,False,0,0,0.0073386000003665686,random,3,medium
49,0.0,0.0,False,0,0,0.007499299943447113,random,3,medium
50,0.0,0.0,False,1,0,0.007680599926970899,random,3,medium
51,0.0,0.0,False,0,0,0.007855899981223047,random,3,medium
52,0.0,0.0,False,0,0,0.00801839993800968,random,3,medium
53,0.0,0.0,False,0,0,0.008189299958758056,random,3,medium
54,0.0,0.0,False,0,0,0.008345399983227253,random,3,medium
55,0.0,0.0,False,0,0,0.008525299956090748,random,3,medium
56,0.0,0.0,False,0,0,0.008682399988174438,random,3,medium
57,0.0,0.0,False,0,0,0.008846399956382811,random,3,medium
58,0.0,0.0,False,0,0,0.009028999949805439,random,3,medium
59,0.0,0.0,False,0,0,0.009201999986544251,random,3,medium
60,0.0,0.0,False,0,0,0.009358399896882474,random,3,medium
61,0.0,0.0,False,0,0,0.009510700008831918,random,3,medium
62,0.0,0.0,False,0,0,0.009663699893280864,random,3,medium
63,0.0,0.0,False,0,0,0.009822399937547743,random,3,medium
64,0.0,0.0,False,1,0,0.009979599970392883,random,3,medium
65,0.0,0.0,False,1,0,0.010132199968211353,random,3,medium
66,0.0,0.0,False,0,0,0.010281399940140545,random,3,medium
67,0.0,0.0,False,0,0,0.010433499934151769,random,3,medium
68,0.0,0.0,False,0,0,0.010580900008790195,random,3,medium
69,0.0,0.0,False,0,0,0.010731399990618229,random,3,medium
70,0.0,0.0,False,0,0,0.010883699986152351,random,3,medium
71,0.0,0.0,False,0,0,0.011044499929994345,random,3,medium
72,0.0,0.0,False,0,0,0.011195499915629625,random,3,medium
73,0.0,0.0,False,0,0,0.011356199975125492,random,3,medium
74,0.0,0.0,False,0,0,0.011504799942485988,random,3,medium
75,0.0,0.0,False,0,0,0.011651699896901846,random,3,medium
76,0.0,0.0,False,0,0,0.011796999955549836,random,3,medium
77,0.0,0.0,False,0,0,0.0119428999023512,random,3,medium
78,0.0,0.0,False,0,0,0.012090199976228178,random,3,medium
79,0.0,0.0,False,0,0,0.012236899929121137,random,3,medium
80,0.0,0.0,False,0,0,0.01238470000680536,random,3,medium
81,0.0,0.0,False,0,0,0.012530099949799478,random,3,medium
82,0.0,0.0,False,0,0,0.012672599987126887,random,3,medium
83,0.0,0.0,False,0,0,0.012815999914892018,random,3,medium
84,0.0,0.0,False,1,0,0.012978399987332523,random,3,medium
85,0.0,0.0,False,0,0,0.01312689995393157,random,3,medium
86,0.0,0.0,False,0,0,0.013274199911393225,random,3,medium
87,0.0,0.0,False,0,0,0.013429799932055175,random,3,medium
88,0.0,0.0,False,0,0,0.013585999957285821,random,3,medium
89,0.0,0.0,False,0,0,0.013752499944530427,random,3,medium
90,0.0,0.0,False,0,0,0.013905999949201941,random,3,medium
91,0.0,0.0,False,0,0,0.01405150000937283,random,3,medium
92,0.0,0.0,False,0,0,0.014194799936376512,random,3,medium
93,0.0,0.0,False,0,0,0.01433899998664856,random,3,medium
94,0.0,0.0,False,0,0,0.014481899910606444,random,3,medium
95,0.0,0.0,False,0,0,0.014631500001996756,random,3,medium
96,0.0,0.0,False,0,0,0.014785599894821644,random,3,medium
97,0.0,0.0,False,0,0,0.014952199999243021,random,3,medium
98,0.0,0.0,False,0,0,0.015098299947567284,random,3,medium
99,0.0,0.0,False,0,0,0.015243900008499622,random,3,medium
100,0.0,0.0,False,0,0,0.01539219997357577,random,3,medium
101,0.0,0.0,False,0,0,0.015538399922661483,random,3,medium
102,0.0,0.0,False,0,0,0.01568259997293353,random,3,medium
103,0.0,0.0,False,0,0,0.01582499989308417,random,3,medium
104,0.0,0.0,False,0,0,0.015969399944879115,random,3,medium
105,0.0,0.0,False,0,0,0.016113399993628263,random,3,medium
106,0.0,0.0,False,0,0,0.016259999945759773,random,3,medium
107,0.0,0.0,False,0,0,0.016405100002884865,random,3,medium
108,0.0,0.0,False,0,0,0.01654929993674159,random,3,medium
109,0.0,0.0,False,0,0,0.01669299998320639,random,3,medium
110,0.0,0.0,False,0,0,0.01684299996122718,random,3,medium
111,0.0,0.0,False,0,0,0.016994399949908257,random,3,medium
112,0.0,0.0,False,0,0,0.017148999962955713,random,3,medium
113,0.0,0.0,False,0,0,0.017296399921178818,random,3,medium
114,0.0,0.0,False,0,0,0.017442299984395504,random,3,medium
115,0.0,0.0,False,0,0,0.01758619991596788,random,3,medium
116,0.0,0.0,False,0,0,0.017727999947965145,random,3,medium
117,0.0,0.0,False,0,0,0.01787239999976009,random,3,medium
118,0.0,0.0,False,0,0,0.018016799935139716,random,3,medium
119,0.0,0.0,False,0,0,0.018157899961806834,random,3,medium
120,0.0,0.0,False,0,0,0.018303099903278053,random,3,medium
121,0.0,0.0,False,0,0,0.018446899950504303,random,3,medium
122,0.0,0.0,False,0,0,0.018591800006106496,random,3,medium
123,0.0,0.0,False,0,0,0.01873639994300902,random,3,medium
124,0.0,0.0,False,0,0,0.018880899995565414,random,3,medium
125,0.0,0.0,False,0,0,0.019023199914954603,random,3,medium
126,0.0,0.0,False,0,0,0.0191672999644652,random,3,medium
127,0.0,0.0,False,0,0,0.019310500007122755,random,3,medium
128,0.0,0.0,False,0,0,0.01945339993108064,random,3,medium
129,0.0,0.0,False,0,0,0.0195957999676466,random,3,medium
130,0.0,0.0,False,0,0,0.019739699899218976,random,3,medium
131,0.0,0.0,False,0,0,0.019885399960912764,random,3,medium
132,0.0,0.0,False,0,0,0.020028900005854666,random,3,medium
133,0.0,0.0,False,0,0,0.020171499927528203,random,3,medium
134,0.0,0.0,False,0,0,0.020313899964094162,random,3,medium
135,0.0,0.0,False,0,0,0.020457300008274615,random,3,medium
136,0.0,0.0,False,0,0,0.02059829991776496,random,3,medium
137,0.0,0.0,False,0,0,0.02074079995509237,random,3,medium
138,0.0,0.0,False,0,0,0.020884199999272823,random,3,medium
139,0.0,0.0,False,0,0,0.021094399970024824,random,3,medium
140,0.0,0.0,False,0,0,0.021252999897114933,random,3,medium
141,0.0,0.0,False,0,0,0.021403999999165535,random,3,medium
142,0.0,0.0,False,0,0,0.021556699997745454,random,3,medium
143,0.0,0.0,False,1,0,0.02171289990656078,random,3,medium
144,0.0,0.0,False,0,0,0.021865599905140698,random,3,medium
145,0.0,0.0,False,0,0,0.022024499950930476,random,3,medium
146,0.0,0.0,False,0,0,0.022177099948748946,random,3,medium
147,0.0,0.0,False,0,0,0.022323499899357557,random,3,medium
148,0.0,0.0,False,0,0,0.022468799958005548,random,3,medium
149,0.0,0.0,False,0,0,0.022613000008277595,random,3,medium
150,0.0,0.0,False,0,0,0.022756799939088523,random,3,medium
