iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,42.760599662489504,42.760599662489504,True,3,3,0.00827899994328618,hsbo_full,8,medium
2,0.0,42.760599662489504,False,0,3,0.00843909999821335,hsbo_full,8,medium
3,0.0,42.760599662489504,False,0,3,0.008588499971665442,hsbo_full,8,medium
4,0.0,42.760599662489504,False,1,3,0.008734599919989705,hsbo_full,8,medium
5,0.0,42.760599662489504,False,0,3,0.008881499990820885,hsbo_full,8,medium
6,0.0,42.760599662489504,False,0,3,0.00902719993609935,hsbo_full,8,medium
7,0.0,42.760599662489504,False,0,3,0.009171399986371398,hsbo_full,8,medium
8,0.0,42.760599662489504,False,1,3,0.00931619992479682,hsbo_full,8,medium
9,0.0,42.760599662489504,False,0,3,0.009460499975830317,hsbo_full,8,medium
10,0.0,42.760599662489504,False,0,3,0.009604800026863813,hsbo_full,8,medium
11,0.0,42.760599662489504,False,0,3,0.11604749993421137,hsbo_full,8,medium
12,0.0,42.760599662489504,False,1,3,0.11625920003280044,hsbo_full,8,medium
13,0.0,42.760599662489504,False,1,3,0.11645049997605383,hsbo_full,8,medium
14,0.0,42.760599662489504,False,1,3,0.11663900001440197,hsbo_full,8,medium
15,0.0,42.760599662489504,False,0,3,0.1536614999640733,hsbo_full,8,medium
16,0.0,42.760599662489504,False,0,3,0.153890399960801,hsbo_full,8,medium
17,0.0,42.760599662489504,False,1,3,0.15411839995067567,hsbo_full,8,medium
18,0.0,42.760599662489504,False,1,3,0.15434789995197207,hsbo_full,8,medium
19,0.0,42.760599662489504,False,0,3,0.19559000001754612,hsbo_full,8,medium
20,0.0,42.760599662489504,False,1,3,0.1957517999690026,hsbo_full,8,medium
21,0.0,42.760599662489504,False,0,3,0.19988810003269464,hsbo_full,8,medium
22,0.0,42.760599662489504,False,0,3,0.20004119991790503,hsbo_full,8,medium
23,0.0,42.760599662489504,False,0,3,0.20018799998797476,hsbo_full,8,medium
24,0.0,42.760599662489504,False,0,3,0.20033090002834797,hsbo_full,8,medium
25,0.0,42.760599662489504,False,0,3,0.2004734999500215,hsbo_full,8,medium
26,0.0,42.760599662489504,False,1,3,0.2006188000086695,hsbo_full,8,medium
27,0.0,42.760599662489504,False,0,3,0.20076189993415028,hsbo_full,8,medium
28,0.0,42.760599662489504,False,0,3,0.20090489997528493,hsbo_full,8,medium
29,0.0,42.760599662489504,False,0,3,0.2010461000027135,hsbo_full,8,medium
30,0.0,42.760599662489504,False,0,3,0.20118760003242642,hsbo_full,8,medium
31,0.0,42.760599662489504,False,0,3,0.21280919993296266,hsbo_full,8,medium
32,0.0,42.760599662489504,False,0,3,0.21295860002283007,hsbo_full,8,medium
33,0.0,42.760599662489504,False,0,3,0.2133077000034973,hsbo_full,8,medium
34,0.0,42.760599662489504,False,0,3,0.2134626000188291,hsbo_full,8,medium
35,0.0,42.760599662489504,False,0,3,0.22690589993726462,hsbo_full,8,medium
36,0.0,42.760599662489504,False,0,3,0.22722849994897842,hsbo_full,8,medium
37,0.0,42.760599662489504,False,0,3,0.22753629996441305,hsbo_full,8,medium
38,0.0,42.760599662489504,False,1,3,0.22785040002781898,hsbo_full,8,medium
39,0.0,42.760599662489504,False,0,3,0.2445796999381855,hsbo_full,8,medium
40,0.0,42.760599662489504,False,0,3,0.24474160000681877,hsbo_full,8,medium
41,0.0,42.760599662489504,False,0,3,0.24892189993988723,hsbo_full,8,medium
42,0.0,42.760599662489504,False,0,3,0.24907669995445758,hsbo_full,8,medium
43,0.0,42.760599662489504,False,1,3,0.24923269997816533,hsbo_full,8,medium
44,0.0,42.760599662489504,False,0,3,0.24938479997217655,hsbo_full,8,medium
45,0.0,42.760599662489504,False,0,3,0.2495340999448672,hsbo_full,8,medium
