iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.041583299986086786,bo,6,medium
2,0.0,0.0,False,0,0,0.04278699995484203,bo,6,medium
3,0.0,0.0,False,0,0,0.04395790002308786,bo,6,medium
4,0.0,0.0,False,0,0,0.045116900000721216,bo,6,medium
5,0.0,0.0,False,0,0,0.046281800023280084,bo,6,medium
6,0.0,0.0,False,0,0,0.04744709993246943,bo,6,medium
7,0.0,0.0,False,0,0,0.0486117999535054,bo,6,medium
8,0.0,0.0,False,0,0,0.049778399989008904,bo,6,medium
9,0.0,0.0,False,1,0,0.05095239996444434,bo,6,medium
10,0.0,0.0,False,0,0,0.052120800013653934,bo,6,medium
11,0.0,0.0,False,0,0,0.05328759993426502,bo,6,medium
12,0.0,0.0,False,0,0,0.055003599962219596,bo,6,medium
13,0.0,0.0,False,0,0,0.05641239997930825,bo,6,medium
14,0.0,0.0,False,0,0,0.057820199988782406,bo,6,medium
15,0.0,0.0,False,0,0,0.05938120000064373,bo,6,medium
16,0.0,0.0,False,0,0,0.06063730001915246,bo,6,medium
17,0.0,0.0,False,1,0,0.06186859996523708,bo,6,medium
18,0.0,0.0,False,0,0,0.06310929998289794,bo,6,medium
19,0.0,0.0,False,0,0,0.06433650001417845,bo,6,medium
20,0.0,0.0,False,0,0,0.16109820001292974,bo,6,medium
21,0.0,0.0,False,0,0,0.26409039995633066,bo,6,medium
22,0.0,0.0,False,0,0,0.36426149995531887,bo,6,medium
23,0.0,0.0,False,0,0,0.4647479000268504,bo,6,medium
24,0.0,0.0,False,0,0,0.5661654999712482,bo,6,medium
25,0.0,0.0,False,0,0,0.6659231999656186,bo,6,medium
26,0.0,0.0,False,0,0,0.764662400004454,bo,6,medium
27,0.0,0.0,False,0,0,0.8679014999652281,bo,6,medium
28,0.0,0.0,False,0,0,0.9689123999560252,bo,6,medium
29,0.0,0.0,False,0,0,1.0784749999875203,bo,6,medium
