iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00021870003547519445,ga,2,medium
2,0.0,0.0,False,0,0,0.00037569995038211346,ga,2,medium
3,0.0,0.0,False,0,0,0.0005222000181674957,ga,2,medium
4,0.0,0.0,False,0,0,0.0006618000334128737,ga,2,medium
5,0.0,0.0,False,0,0,0.0008002000395208597,ga,2,medium
6,0.0,0.0,False,0,0,0.0009395000524818897,ga,2,medium
7,0.0,0.0,False,0,0,0.001078300061635673,ga,2,medium
8,0.0,0.0,False,0,0,0.0012178999604657292,ga,2,medium
9,0.0,0.0,False,0,0,0.0013636000221595168,ga,2,medium
10,0.0,0.0,False,0,0,0.0015069999499246478,ga,2,medium
11,0.0,0.0,False,0,0,0.001651400001719594,ga,2,medium
12,0.0,0.0,False,0,0,0.0017948000459000468,ga,2,medium
13,0.0,0.0,False,0,0,0.0019387999782338738,ga,2,medium
14,0.0,0.0,False,0,0,0.002076399978250265,ga,2,medium
15,0.0,0.0,False,0,0,0.0022133999736979604,ga,2,medium
16,0.0,0.0,False,0,0,0.0023491999600082636,ga,2,medium
17,0.0,0.0,False,0,0,0.002486299956217408,ga,2,medium
18,0.0,0.0,False,0,0,0.002627299982123077,ga,2,medium
19,0.0,0.0,False,0,0,0.002771700033918023,ga,2,medium
20,0.0,0.0,False,0,0,0.0029146999586373568,ga,2,medium
21,0.0,0.0,False,0,0,0.003056699992157519,ga,2,medium
22,0.0,0.0,False,0,0,0.003198400023393333,ga,2,medium
23,0.0,0.0,False,0,0,0.0033405000576749444,ga,2,medium
24,0.0,0.0,False,0,0,0.003480499959550798,ga,2,medium
25,0.0,0.0,False,0,0,0.0036172999534755945,ga,2,medium
26,0.0,0.0,False,0,0,0.003754999954253435,ga,2,medium
27,0.0,0.0,False,0,0,0.0038912000600248575,ga,2,medium
28,0.0,0.0,False,0,0,0.0040290000615641475,ga,2,medium
29,0.0,0.0,False,0,0,0.004166600061580539,ga,2,medium
30,0.0,0.0,False,1,0,0.004309399984776974,ga,2,medium
31,0.0,0.0,False,0,0,0.004449900006875396,ga,2,medium
32,0.0,0.0,False,0,0,0.004589200019836426,ga,2,medium
33,0.0,0.0,False,0,0,0.004731300054118037,ga,2,medium
34,0.0,0.0,False,0,0,0.004876699997112155,ga,2,medium
35,0.0,0.0,False,0,0,0.005021600052714348,ga,2,medium
36,0.0,0.0,False,0,0,0.0051645999774336815,ga,2,medium
37,0.0,0.0,False,0,0,0.005308400024659932,ga,2,medium
38,0.0,0.0,False,0,0,0.005445500020869076,ga,2,medium
39,0.0,0.0,False,0,0,0.0055825000163167715,ga,2,medium
40,0.0,0.0,False,0,0,0.005719100008718669,ga,2,medium
41,0.0,0.0,False,0,0,0.005855800001882017,ga,2,medium
42,0.0,0.0,False,0,0,0.005993400001898408,ga,2,medium
43,0.0,0.0,False,0,0,0.00612779997754842,ga,2,medium
44,0.0,0.0,False,0,0,0.006264499970711768,ga,2,medium
45,0.0,0.0,False,0,0,0.006402399973012507,ga,2,medium
46,0.0,0.0,False,0,0,0.0065388999646529555,ga,2,medium
47,0.0,0.0,False,0,0,0.0066769999684765935,ga,2,medium
48,0.0,0.0,False,0,0,0.00681379996240139,ga,2,medium
49,0.0,0.0,False,0,0,0.008003400056622922,ga,2,medium
50,0.0,0.0,False,0,0,0.008142599952407181,ga,2,medium
51,0.0,0.0,False,0,0,0.008281299960799515,ga,2,medium
52,0.0,0.0,False,0,0,0.008419099962338805,ga,2,medium
53,0.0,0.0,False,1,0,0.008561399998143315,ga,2,medium
54,0.0,0.0,False,0,0,0.008700500009581447,ga,2,medium
55,0.0,0.0,False,0,0,0.008839700021781027,ga,2,medium
56,0.0,0.0,False,0,0,0.00897700001951307,ga,2,medium
57,0.0,0.0,False,0,0,0.009113000007346272,ga,2,medium
58,0.0,0.0,False,0,0,0.00924959999974817,ga,2,medium
59,0.0,0.0,False,0,0,0.009385599987581372,ga,2,medium
60,0.0,0.0,False,0,0,0.009522899985313416,ga,2,medium
61,0.0,0.0,False,0,0,0.009659499977715313,ga,2,medium
62,0.0,0.0,False,0,0,0.009795699967071414,ga,2,medium
63,0.0,0.0,False,0,0,0.009930600062943995,ga,2,medium
64,0.0,0.0,False,1,0,0.01007039996329695,ga,2,medium
65,0.0,0.0,False,0,0,0.010207699961028993,ga,2,medium
66,0.0,0.0,False,0,0,0.010343000059947371,ga,2,medium
67,0.0,0.0,False,0,0,0.01047800004016608,ga,2,medium
68,0.0,0.0,False,0,0,0.01061420002952218,ga,2,medium
69,0.0,0.0,False,1,0,0.010755700059235096,ga,2,medium
70,0.0,0.0,False,0,0,0.010898799984715879,ga,2,medium
71,0.0,0.0,False,0,0,0.011040700017474592,ga,2,medium
72,0.0,0.0,False,0,0,0.011177700012922287,ga,2,medium
73,0.0,0.0,False,0,0,0.011312799993902445,ga,2,medium
74,0.0,0.0,False,0,0,0.011448999983258545,ga,2,medium
75,0.0,0.0,False,0,0,0.011584799969568849,ga,2,medium
76,0.0,0.0,False,0,0,0.011719500063918531,ga,2,medium
77,0.0,0.0,False,0,0,0.011855100048705935,ga,2,medium
78,0.0,0.0,False,1,0,0.011994900065474212,ga,2,medium
79,0.0,0.0,False,0,0,0.01213010004721582,ga,2,medium
80,0.0,0.0,False,0,0,0.012265200028195977,ga,2,medium
81,0.0,0.0,False,0,0,0.012401600019074976,ga,2,medium
82,0.0,0.0,False,0,0,0.01253740000538528,ga,2,medium
