iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0010469999397173524,greedy_reward_density,2,medium
2,0.0,0.0,False,0,0,0.0020397999323904514,greedy_reward_density,2,medium
3,0.0,0.0,False,1,0,0.0030082999728620052,greedy_reward_density,2,medium
4,0.0,0.0,False,0,0,0.004133399925194681,greedy_reward_density,2,medium
5,0.0,0.0,False,0,0,0.005165299982763827,greedy_reward_density,2,medium
6,0.0,0.0,False,0,0,0.0061984999338164926,greedy_reward_density,2,medium
7,0.0,0.0,False,0,0,0.00719299993943423,greedy_reward_density,2,medium
8,0.0,0.0,False,0,0,0.008137099910527468,greedy_reward_density,2,medium
9,0.0,0.0,False,0,0,0.009110599989071488,greedy_reward_density,2,medium
10,0.0,0.0,False,0,0,0.01026579993776977,greedy_reward_density,2,medium
11,0.0,0.0,False,0,0,0.01123199996072799,greedy_reward_density,2,medium
12,0.0,0.0,False,0,0,0.012187199899926782,greedy_reward_density,2,medium
13,0.0,0.0,False,0,0,0.013165799900889397,greedy_reward_density,2,medium
14,0.0,0.0,False,0,0,0.014742299914360046,greedy_reward_density,2,medium
15,0.0,0.0,False,0,0,0.01879569992888719,greedy_reward_density,2,medium
16,0.0,0.0,False,0,0,0.020927199977450073,greedy_reward_density,2,medium
17,0.0,0.0,False,0,0,0.02219899999909103,greedy_reward_density,2,medium
18,0.0,0.0,False,0,0,0.02333789994008839,greedy_reward_density,2,medium
19,0.0,0.0,False,0,0,0.02439759997650981,greedy_reward_density,2,medium
20,0.0,0.0,False,0,0,0.025451899971812963,greedy_reward_density,2,medium
21,0.0,0.0,False,0,0,0.026772300014272332,greedy_reward_density,2,medium
22,0.0,0.0,False,0,0,0.027808799990452826,greedy_reward_density,2,medium
23,0.0,0.0,False,0,0,0.02948549995198846,greedy_reward_density,2,medium
24,0.0,0.0,False,0,0,0.030835499987006187,greedy_reward_density,2,medium
25,0.0,0.0,False,0,0,0.03186439990531653,greedy_reward_density,2,medium
26,0.0,0.0,False,0,0,0.032866899971850216,greedy_reward_density,2,medium
27,0.0,0.0,False,0,0,0.03392590000294149,greedy_reward_density,2,medium
28,0.0,0.0,False,0,0,0.03502790001221001,greedy_reward_density,2,medium
29,0.0,0.0,False,0,0,0.036034099990502,greedy_reward_density,2,medium
30,0.0,0.0,False,0,0,0.036991699947975576,greedy_reward_density,2,medium
31,0.0,0.0,False,0,0,0.03793919994495809,greedy_reward_density,2,medium
32,0.0,0.0,False,1,0,0.038885299931280315,greedy_reward_density,2,medium
33,0.0,0.0,False,0,0,0.03987109998706728,greedy_reward_density,2,medium
34,0.0,0.0,False,0,0,0.04109249997418374,greedy_reward_density,2,medium
35,0.0,0.0,False,0,0,0.04203759995289147,greedy_reward_density,2,medium
36,0.0,0.0,False,0,0,0.04297740000765771,greedy_reward_density,2,medium
37,0.0,0.0,False,0,0,0.04388229991309345,greedy_reward_density,2,medium
38,0.0,0.0,False,0,0,0.04481099999975413,greedy_reward_density,2,medium
39,0.0,0.0,False,0,0,0.04573289991822094,greedy_reward_density,2,medium
40,0.0,0.0,False,0,0,0.047367299906909466,greedy_reward_density,2,medium
41,0.0,0.0,False,0,0,0.048397399950772524,greedy_reward_density,2,medium
42,0.0,0.0,False,0,0,0.04943219991400838,greedy_reward_density,2,medium
43,0.0,0.0,False,0,0,0.05043939989991486,greedy_reward_density,2,medium
44,0.0,0.0,False,0,0,0.05139939999207854,greedy_reward_density,2,medium
45,0.0,0.0,False,0,0,0.052376999985426664,greedy_reward_density,2,medium
46,0.0,0.0,False,0,0,0.05338079994544387,greedy_reward_density,2,medium
47,0.0,0.0,False,0,0,0.0543691999046132,greedy_reward_density,2,medium
48,0.0,0.0,False,0,0,0.05536579992622137,greedy_reward_density,2,medium
49,0.0,0.0,False,1,0,0.05629239999689162,greedy_reward_density,2,medium
50,0.0,0.0,False,0,0,0.05720329994801432,greedy_reward_density,2,medium
51,0.0,0.0,False,0,0,0.05820289999246597,greedy_reward_density,2,medium
52,0.0,0.0,False,0,0,0.05918089998885989,greedy_reward_density,2,medium
53,0.0,0.0,False,0,0,0.06008520000614226,greedy_reward_density,2,medium
54,0.0,0.0,False,1,0,0.06104319996666163,greedy_reward_density,2,medium
55,0.0,0.0,False,0,0,0.06209039990790188,greedy_reward_density,2,medium
56,0.0,0.0,False,0,0,0.06319609994534403,greedy_reward_density,2,medium
57,0.0,0.0,False,0,0,0.06419999990612268,greedy_reward_density,2,medium
58,0.0,0.0,False,0,0,0.06518179993145168,greedy_reward_density,2,medium
59,0.0,0.0,False,0,0,0.0661473999498412,greedy_reward_density,2,medium
60,0.0,0.0,False,0,0,0.06709919997956604,greedy_reward_density,2,medium
61,0.0,0.0,False,0,0,0.06805249990429729,greedy_reward_density,2,medium
62,0.0,0.0,False,0,0,0.06901239999569952,greedy_reward_density,2,medium
63,0.0,0.0,False,0,0,0.06996280001476407,greedy_reward_density,2,medium
64,0.0,0.0,False,0,0,0.07099639996886253,greedy_reward_density,2,medium
65,0.0,0.0,False,0,0,0.07188730000052601,greedy_reward_density,2,medium
66,0.0,0.0,False,0,0,0.07283419999293983,greedy_reward_density,2,medium
67,0.0,0.0,False,0,0,0.0739488999824971,greedy_reward_density,2,medium
68,0.0,0.0,False,0,0,0.07498819997999817,greedy_reward_density,2,medium
69,0.0,0.0,False,0,0,0.0761017999611795,greedy_reward_density,2,medium
70,0.0,0.0,False,0,0,0.07732339994981885,greedy_reward_density,2,medium
71,0.0,0.0,False,1,0,0.07840439991559833,greedy_reward_density,2,medium
72,0.0,0.0,False,0,0,0.07942470000125468,greedy_reward_density,2,medium
73,0.0,0.0,False,2,0,0.08050109993200749,greedy_reward_density,2,medium
74,0.0,0.0,False,0,0,0.08161819993983954,greedy_reward_density,2,medium
75,0.0,0.0,False,0,0,0.08269579999614507,greedy_reward_density,2,medium
76,0.0,0.0,False,0,0,0.08393959992099553,greedy_reward_density,2,medium
77,0.0,0.0,False,0,0,0.08523319999221712,greedy_reward_density,2,medium
78,0.0,0.0,False,0,0,0.08650309999939054,greedy_reward_density,2,medium
79,0.0,0.0,False,0,0,0.08763709990307689,greedy_reward_density,2,medium
80,0.0,0.0,False,0,0,0.08881539991125464,greedy_reward_density,2,medium
81,0.0,0.0,False,0,0,0.08999279991257936,greedy_reward_density,2,medium
82,0.0,0.0,False,0,0,0.09103349992074072,greedy_reward_density,2,medium
83,0.0,0.0,False,0,0,0.09199340001214296,greedy_reward_density,2,medium
84,0.0,0.0,False,0,0,0.09301849990151823,greedy_reward_density,2,medium
85,0.0,0.0,False,0,0,0.09399719990324229,greedy_reward_density,2,medium
86,0.0,0.0,False,0,0,0.09593039995525032,greedy_reward_density,2,medium
87,0.0,0.0,False,0,0,0.09695889998693019,greedy_reward_density,2,medium
88,0.0,0.0,False,0,0,0.09793309995438904,greedy_reward_density,2,medium
89,0.0,0.0,False,0,0,0.09893879992887378,greedy_reward_density,2,medium
90,0.0,0.0,False,0,0,0.09999269992113113,greedy_reward_density,2,medium
91,0.0,0.0,False,1,0,0.10102659999392927,greedy_reward_density,2,medium
92,0.0,0.0,False,0,0,0.10210819996427745,greedy_reward_density,2,medium
93,0.0,0.0,False,1,0,0.1031074000056833,greedy_reward_density,2,medium
94,0.0,0.0,False,0,0,0.10407679993659258,greedy_reward_density,2,medium
95,0.0,0.0,False,0,0,0.1050624999916181,greedy_reward_density,2,medium
96,0.0,0.0,False,0,0,0.1060160999186337,greedy_reward_density,2,medium
97,0.0,0.0,False,0,0,0.1070159999653697,greedy_reward_density,2,medium
98,0.0,0.0,False,0,0,0.10799349995795637,greedy_reward_density,2,medium
99,0.0,0.0,False,0,0,0.10893039999064058,greedy_reward_density,2,medium
100,0.0,0.0,False,0,0,0.10986819991376251,greedy_reward_density,2,medium
