iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,9.078940368212564,9.078940368212564,True,3,3,0.015225499984808266,hsbo,1,medium
2,0.0,9.078940368212564,False,1,3,0.015532499994151294,hsbo,1,medium
3,0.0,9.078940368212564,False,2,3,0.015877699945122004,hsbo,1,medium
4,0.0,9.078940368212564,False,0,3,0.016148299910128117,hsbo,1,medium
5,0.0,9.078940368212564,False,0,3,0.01640139997471124,hsbo,1,medium
6,0.0,9.078940368212564,False,1,3,0.016649400000460446,hsbo,1,medium
7,0.0,9.078940368212564,False,0,3,0.01689169998280704,hsbo,1,medium
8,0.0,9.078940368212564,False,1,3,0.017145999940112233,hsbo,1,medium
9,0.0,9.078940368212564,False,1,3,0.017387499916367233,hsbo,1,medium
10,0.0,9.078940368212564,False,0,3,0.01761320000514388,hsbo,1,medium
11,0.0,9.078940368212564,False,0,3,0.08251300000119954,hsbo,1,medium
12,0.0,9.078940368212564,False,1,3,0.08273009990807623,hsbo,1,medium
13,0.0,9.078940368212564,False,0,3,0.08292650000657886,hsbo,1,medium
14,0.0,9.078940368212564,False,2,3,0.08312369999475777,hsbo,1,medium
15,0.0,9.078940368212564,False,0,3,0.12018719990737736,hsbo,1,medium
16,0.0,9.078940368212564,False,0,3,0.12034209992270917,hsbo,1,medium
17,0.0,9.078940368212564,False,0,3,0.12048779998440295,hsbo,1,medium
18,0.0,9.078940368212564,False,1,3,0.12063419993501157,hsbo,1,medium
19,0.0,9.078940368212564,False,0,3,0.15980009990744293,hsbo,1,medium
20,0.0,9.078940368212564,False,0,3,0.15994789998512715,hsbo,1,medium
21,47.915671933161356,47.915671933161356,True,5,5,0.16379719995893538,hsbo,1,medium
22,0.0,47.915671933161356,False,1,5,0.1641063999850303,hsbo,1,medium
23,0.0,47.915671933161356,False,0,5,0.16427820001263171,hsbo,1,medium
24,0.0,47.915671933161356,False,1,5,0.16443629993591458,hsbo,1,medium
25,0.0,47.915671933161356,False,0,5,0.1645964999916032,hsbo,1,medium
26,0.0,47.915671933161356,False,0,5,0.16475349990651011,hsbo,1,medium
27,0.0,47.915671933161356,False,0,5,0.16491129994392395,hsbo,1,medium
28,0.0,47.915671933161356,False,1,5,0.16507230000570416,hsbo,1,medium
29,0.0,47.915671933161356,False,0,5,0.16522929992061108,hsbo,1,medium
30,0.0,47.915671933161356,False,0,5,0.1653912999900058,hsbo,1,medium
31,0.0,47.915671933161356,False,0,5,0.2314835999859497,hsbo,1,medium
32,0.0,47.915671933161356,False,0,5,0.2316319999517873,hsbo,1,medium
33,0.0,47.915671933161356,False,0,5,0.2317756999982521,hsbo,1,medium
34,0.0,47.915671933161356,False,0,5,0.23191450000740588,hsbo,1,medium
35,0.0,47.915671933161356,False,0,5,0.2699670000001788,hsbo,1,medium
36,0.0,47.915671933161356,False,1,5,0.27012379991356283,hsbo,1,medium
37,0.0,47.915671933161356,False,0,5,0.27026549994479865,hsbo,1,medium
38,0.0,47.915671933161356,False,0,5,0.2704053999623284,hsbo,1,medium
