iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00023889995645731688,random,3,medium
2,0.0,0.0,False,0,0,0.0003918999573215842,random,3,medium
3,0.0,0.0,False,0,0,0.0005299999611452222,random,3,medium
4,0.0,0.0,False,1,0,0.0006715999916195869,random,3,medium
5,0.0,0.0,False,0,0,0.0008067999733611941,random,3,medium
6,0.0,0.0,False,0,0,0.0009403999429196119,random,3,medium
7,0.0,0.0,False,0,0,0.0011017000069841743,random,3,medium
8,0.0,0.0,False,0,0,0.0012407999020069838,random,3,medium
9,0.0,0.0,False,0,0,0.001379299908876419,random,3,medium
10,0.0,0.0,False,0,0,0.0015144000062718987,random,3,medium
11,0.0,0.0,False,0,0,0.0017511999467387795,random,3,medium
12,0.0,0.0,False,0,0,0.001964299939572811,random,3,medium
13,0.0,0.0,False,0,0,0.002105599967762828,random,3,medium
14,0.0,0.0,False,0,0,0.0022452999837696552,random,3,medium
15,0.0,0.0,False,1,0,0.002387999906204641,random,3,medium
16,0.0,0.0,False,0,0,0.0025333999656140804,random,3,medium
17,0.0,0.0,False,0,0,0.002679599914699793,random,3,medium
18,0.0,0.0,False,0,0,0.0028311999049037695,random,3,medium
19,0.0,0.0,False,0,0,0.002979599987156689,random,3,medium
20,0.0,0.0,False,0,0,0.003127699950709939,random,3,medium
21,0.0,0.0,False,0,0,0.003278499934822321,random,3,medium
22,0.0,0.0,False,0,0,0.0034359999699518085,random,3,medium
23,0.0,0.0,False,0,0,0.003595199901610613,random,3,medium
24,0.0,0.0,False,0,0,0.0037544999504461884,random,3,medium
25,0.0,0.0,False,0,0,0.003919599927030504,random,3,medium
26,0.0,0.0,False,0,0,0.004082900006324053,random,3,medium
27,0.0,0.0,False,0,0,0.004245099960826337,random,3,medium
28,0.0,0.0,False,0,0,0.0044145999709144235,random,3,medium
29,0.0,0.0,False,0,0,0.004587500006891787,random,3,medium
30,0.0,0.0,False,0,0,0.004763899953104556,random,3,medium
31,0.0,0.0,False,0,0,0.004943199921399355,random,3,medium
32,0.0,0.0,False,0,0,0.00512469990644604,random,3,medium
33,0.0,0.0,False,0,0,0.005306300008669496,random,3,medium
34,0.0,0.0,False,1,0,0.0054972999496385455,random,3,medium
35,0.0,0.0,False,0,0,0.005689399898983538,random,3,medium
36,0.0,0.0,False,0,0,0.005881099961698055,random,3,medium
37,0.0,0.0,False,0,0,0.006073099910281599,random,3,medium
38,0.0,0.0,False,0,0,0.006271099904552102,random,3,medium
39,0.0,0.0,False,0,0,0.006470999913290143,random,3,medium
40,0.0,0.0,False,0,0,0.006674699950963259,random,3,medium
41,0.0,0.0,False,0,0,0.006884099915623665,random,3,medium
42,0.0,0.0,False,0,0,0.007096799905411899,random,3,medium
43,0.0,0.0,False,0,0,0.007352299988269806,random,3,medium
44,0.0,0.0,False,0,0,0.0075780999613925815,random,3,medium
45,0.0,0.0,False,0,0,0.007804799941368401,random,3,medium
46,0.0,0.0,False,0,0,0.008032699930481613,random,3,medium
47,0.0,0.0,False,0,0,0.00825969991274178,random,3,medium
48,0.0,0.0,False,0,0,0.008496299968101084,random,3,medium
49,0.0,0.0,False,0,0,0.008742099977098405,random,3,medium
50,0.0,0.0,False,1,0,0.008993599913083017,random,3,medium
51,0.0,0.0,False,0,0,0.009241599938832223,random,3,medium
52,0.0,0.0,False,0,0,0.00949550000950694,random,3,medium
53,0.0,0.0,False,0,0,0.009757099905982614,random,3,medium
54,0.0,0.0,False,0,0,0.010024299961514771,random,3,medium
55,0.0,0.0,False,0,0,0.010284499963745475,random,3,medium
56,0.0,0.0,False,0,0,0.010537499911151826,random,3,medium
57,0.0,0.0,False,0,0,0.010787099949084222,random,3,medium
58,0.0,0.0,False,0,0,0.0110317999497056,random,3,medium
59,0.0,0.0,False,0,0,0.011272899922914803,random,3,medium
60,0.0,0.0,False,0,0,0.011504199937917292,random,3,medium
61,0.0,0.0,False,0,0,0.011739999987185001,random,3,medium
62,0.0,0.0,False,0,0,0.011976099922321737,random,3,medium
63,0.0,0.0,False,0,0,0.01220979995559901,random,3,medium
64,0.0,0.0,False,1,0,0.012442699982784688,random,3,medium
65,0.0,0.0,False,1,0,0.012675500009208918,random,3,medium
66,0.0,0.0,False,0,0,0.012899799970909953,random,3,medium
67,0.0,0.0,False,0,0,0.013119799899868667,random,3,medium
68,0.0,0.0,False,0,0,0.013359999982640147,random,3,medium
69,0.0,0.0,False,0,0,0.013579299906268716,random,3,medium
70,0.0,0.0,False,0,0,0.013789499993436038,random,3,medium
71,0.0,0.0,False,0,0,0.013994899927638471,random,3,medium
72,0.0,0.0,False,0,0,0.014198799966834486,random,3,medium
73,0.0,0.0,False,0,0,0.014403200009837747,random,3,medium
