iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,1,1,0.021065899985842407,bo,4,small
2,0.0,0.0,False,0,1,0.022087099961936474,bo,4,small
3,0.0,0.0,False,0,1,0.022733999998308718,bo,4,small
4,0.0,0.0,False,0,1,0.02335020003374666,bo,4,small
5,0.0,0.0,False,0,1,0.023961000028066337,bo,4,small
6,0.0,0.0,False,0,1,0.024558600038290024,bo,4,small
7,0.0,0.0,False,0,1,0.025267499964684248,bo,4,small
8,0.0,0.0,False,0,1,0.025875699939206243,bo,4,small
9,0.0,0.0,False,0,1,0.07678789994679391,bo,4,small
10,0.0,0.0,False,0,1,0.13480320002418011,bo,4,small
11,0.0,0.0,False,0,1,0.18829740001820028,bo,4,small
12,0.0,0.0,False,0,1,0.24364380002953112,bo,4,small
13,0.0,0.0,False,0,1,0.3037140000378713,bo,4,small
14,0.0,0.0,False,0,1,0.3626979000400752,bo,4,small
15,0.0,0.0,False,0,1,0.4245957999955863,bo,4,small
16,0.0,0.0,False,0,1,0.4793976000510156,bo,4,small
17,0.0,0.0,False,0,1,0.5375608999747783,bo,4,small
18,0.0,0.0,False,0,1,0.5908712999662384,bo,4,small
19,0.0,0.0,False,0,1,0.652962899999693,bo,4,small
20,0.0,0.0,False,0,1,0.7091358000179753,bo,4,small
21,0.0,0.0,False,0,1,0.7763477000407875,bo,4,small
22,0.0,0.0,False,0,1,0.8470039999810979,bo,4,small
23,0.0,0.0,False,0,1,0.9169635999714956,bo,4,small
24,0.0,0.0,False,0,1,0.9898658000165597,bo,4,small
25,0.0,0.0,False,0,1,1.060472400044091,bo,4,small
26,0.0,0.0,False,0,1,1.132692400016822,bo,4,small
27,0.0,0.0,False,0,1,1.2325877000112087,bo,4,small
28,0.0,0.0,False,0,1,1.298223500023596,bo,4,small
29,0.0,0.0,False,0,1,1.3722991000395268,bo,4,small
30,0.0,0.0,False,0,1,1.4483659999677911,bo,4,small
31,0.0,0.0,False,0,1,1.5229137999704108,bo,4,small
32,0.0,0.0,False,0,1,1.5991795000154525,bo,4,small
33,0.0,0.0,False,0,1,1.6891246000304818,bo,4,small
34,0.0,0.0,False,0,1,1.7858810999896377,bo,4,small
35,0.0,0.0,False,0,1,1.900148899992928,bo,4,small
36,0.0,0.0,False,0,1,2.008780000032857,bo,4,small
37,0.0,0.0,False,0,1,2.118648299947381,bo,4,small
38,0.0,0.0,False,0,1,2.2290756000438705,bo,4,small
39,0.0,0.0,False,0,1,2.3058100000489503,bo,4,small
40,0.0,0.0,False,0,1,2.40520799998194,bo,4,small
41,0.0,0.0,False,0,1,2.5050410999683663,bo,4,small
42,0.0,0.0,False,0,1,2.630529799964279,bo,4,small
43,0.0,0.0,False,0,1,2.7225578000070527,bo,4,small
44,0.0,0.0,False,0,1,2.8094768000300974,bo,4,small
45,0.0,0.0,False,0,1,2.892446600017138,bo,4,small
46,0.0,0.0,False,0,1,3.0004255999810994,bo,4,small
47,0.0,0.0,False,0,1,3.112939800019376,bo,4,small
48,0.0,0.0,False,0,1,3.2314206999726593,bo,4,small
49,0.0,0.0,False,0,1,3.3525326000526547,bo,4,small
50,0.0,0.0,False,0,1,3.5079903999576345,bo,4,small
