iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0005133999511599541,greedy_distance,8,small
2,0.0,0.0,False,1,0,0.0008672999683767557,greedy_distance,8,small
3,11.293223863376086,11.293223863376086,True,1,1,0.0011754999868571758,greedy_distance,8,small
4,0.0,11.293223863376086,False,0,1,0.0014684000052511692,greedy_distance,8,small
5,16.265327098681563,16.265327098681563,True,1,1,0.0017679999582469463,greedy_distance,8,small
6,0.0,16.265327098681563,False,0,1,0.0020599999697878957,greedy_distance,8,small
7,0.0,16.265327098681563,False,0,1,0.0023425999097526073,greedy_distance,8,small
8,0.0,16.265327098681563,False,0,1,0.0026320999022573233,greedy_distance,8,small
9,0.0,16.265327098681563,False,0,1,0.0029224000172689557,greedy_distance,8,small
10,0.0,16.265327098681563,False,0,1,0.0032116000074893236,greedy_distance,8,small
11,0.0,16.265327098681563,False,0,1,0.003504099906422198,greedy_distance,8,small
12,6.9780128259967995,16.265327098681563,True,1,1,0.0037908999947831035,greedy_distance,8,small
13,0.0,16.265327098681563,False,1,1,0.004082400002516806,greedy_distance,8,small
14,0.0,16.265327098681563,False,0,1,0.004369799979031086,greedy_distance,8,small
15,0.0,16.265327098681563,False,0,1,0.004656999954022467,greedy_distance,8,small
16,0.0,16.265327098681563,False,0,1,0.004947199951857328,greedy_distance,8,small
17,0.0,16.265327098681563,False,1,1,0.005239499965682626,greedy_distance,8,small
18,0.0,16.265327098681563,False,0,1,0.005523799918591976,greedy_distance,8,small
19,12.034127490550254,16.265327098681563,True,1,1,0.0058154999278485775,greedy_distance,8,small
20,0.0,16.265327098681563,False,0,1,0.00610849994700402,greedy_distance,8,small
21,0.0,16.265327098681563,False,0,1,0.006404799991287291,greedy_distance,8,small
22,0.0,16.265327098681563,False,0,1,0.006738599971868098,greedy_distance,8,small
23,0.0,16.265327098681563,False,0,1,0.007034900016151369,greedy_distance,8,small
24,0.0,16.265327098681563,False,0,1,0.0073260999051854014,greedy_distance,8,small
25,0.0,16.265327098681563,False,0,1,0.0076160000171512365,greedy_distance,8,small
26,0.0,16.265327098681563,False,0,1,0.00791609997395426,greedy_distance,8,small
27,11.686479250504584,16.265327098681563,True,1,1,0.008212200016714633,greedy_distance,8,small
28,0.0,16.265327098681563,False,0,1,0.008513899985700846,greedy_distance,8,small
29,0.0,16.265327098681563,False,0,1,0.008838900015689433,greedy_distance,8,small
30,0.0,16.265327098681563,False,0,1,0.00914450001437217,greedy_distance,8,small
31,0.0,16.265327098681563,False,0,1,0.009441899950616062,greedy_distance,8,small
32,0.0,16.265327098681563,False,0,1,0.009972299914807081,greedy_distance,8,small
33,0.0,16.265327098681563,False,0,1,0.010320500005036592,greedy_distance,8,small
34,0.0,16.265327098681563,False,0,1,0.010633099940605462,greedy_distance,8,small
35,0.0,16.265327098681563,False,0,1,0.010948400013148785,greedy_distance,8,small
36,8.536470050314879,16.265327098681563,True,1,1,0.011284600012004375,greedy_distance,8,small
37,0.0,16.265327098681563,False,0,1,0.011610899935476482,greedy_distance,8,small
38,0.0,16.265327098681563,False,0,1,0.01190309994854033,greedy_distance,8,small
39,10.735602257721697,16.265327098681563,True,1,1,0.012193299946375191,greedy_distance,8,small
40,0.0,16.265327098681563,False,0,1,0.012511099921539426,greedy_distance,8,small
41,0.0,16.265327098681563,False,0,1,0.012847399921156466,greedy_distance,8,small
42,0.0,16.265327098681563,False,0,1,0.013145299977622926,greedy_distance,8,small
43,0.0,16.265327098681563,False,0,1,0.013444199925288558,greedy_distance,8,small
44,0.0,16.265327098681563,False,0,1,0.013734699925407767,greedy_distance,8,small
45,0.0,16.265327098681563,False,0,1,0.014022499904967844,greedy_distance,8,small
46,0.0,16.265327098681563,False,0,1,0.014314799918793142,greedy_distance,8,small
47,3.38437578313809,16.265327098681563,True,1,1,0.014596999972127378,greedy_distance,8,small
48,0.0,16.265327098681563,False,0,1,0.0148930000141263,greedy_distance,8,small
49,0.0,16.265327098681563,False,0,1,0.015184399904683232,greedy_distance,8,small
50,0.0,16.265327098681563,False,1,1,0.015473600011318922,greedy_distance,8,small
51,0.0,16.265327098681563,False,0,1,0.015760599984787405,greedy_distance,8,small
52,0.0,16.265327098681563,False,0,1,0.016046299948357046,greedy_distance,8,small
53,0.0,16.265327098681563,False,0,1,0.016337899956852198,greedy_distance,8,small
54,0.0,16.265327098681563,False,0,1,0.01662969996687025,greedy_distance,8,small
55,0.0,16.265327098681563,False,0,1,0.016914499923586845,greedy_distance,8,small
56,0.0,16.265327098681563,False,0,1,0.0172014000127092,greedy_distance,8,small
57,0.0,16.265327098681563,False,0,1,0.017510099918581545,greedy_distance,8,small
58,0.0,16.265327098681563,False,0,1,0.017807699972763658,greedy_distance,8,small
59,0.0,16.265327098681563,False,0,1,0.01811099995393306,greedy_distance,8,small
60,0.0,16.265327098681563,False,0,1,0.018424400012008846,greedy_distance,8,small
61,0.0,16.265327098681563,False,0,1,0.01873459992930293,greedy_distance,8,small
62,11.003768809482088,16.265327098681563,True,1,1,0.019044799963012338,greedy_distance,8,small
63,0.0,16.265327098681563,False,0,1,0.019359199912287295,greedy_distance,8,small
64,0.0,16.265327098681563,False,0,1,0.01966669992543757,greedy_distance,8,small
65,0.0,16.265327098681563,False,0,1,0.019986099912784994,greedy_distance,8,small
66,0.0,16.265327098681563,False,0,1,0.020290999906137586,greedy_distance,8,small
67,0.0,16.265327098681563,False,0,1,0.02060599997639656,greedy_distance,8,small
68,0.0,16.265327098681563,False,0,1,0.02091600000858307,greedy_distance,8,small
69,0.0,16.265327098681563,False,0,1,0.02120640000794083,greedy_distance,8,small
70,0.0,16.265327098681563,False,0,1,0.02148889994714409,greedy_distance,8,small
71,0.0,16.265327098681563,False,0,1,0.021783199976198375,greedy_distance,8,small
72,0.0,16.265327098681563,False,0,1,0.022063200012780726,greedy_distance,8,small
73,0.0,16.265327098681563,False,0,1,0.0223554999101907,greedy_distance,8,small
74,0.0,16.265327098681563,False,0,1,0.022648799931630492,greedy_distance,8,small
75,0.0,16.265327098681563,False,0,1,0.022949200007133186,greedy_distance,8,small
76,0.0,16.265327098681563,False,0,1,0.023258899920620024,greedy_distance,8,small
77,0.0,16.265327098681563,False,0,1,0.023553499951958656,greedy_distance,8,small
78,0.0,16.265327098681563,False,0,1,0.023864699993282557,greedy_distance,8,small
79,0.0,16.265327098681563,False,0,1,0.02415620000101626,greedy_distance,8,small
80,0.0,16.265327098681563,False,0,1,0.02445229992736131,greedy_distance,8,small
81,0.0,16.265327098681563,False,0,1,0.024951300001703203,greedy_distance,8,small
82,0.0,16.265327098681563,False,0,1,0.02533839992247522,greedy_distance,8,small
83,0.0,16.265327098681563,False,0,1,0.025665299966931343,greedy_distance,8,small
84,0.0,16.265327098681563,False,0,1,0.02598109992686659,greedy_distance,8,small
85,0.0,16.265327098681563,False,0,1,0.026304599945433438,greedy_distance,8,small
86,0.0,16.265327098681563,False,0,1,0.02664079994428903,greedy_distance,8,small
87,0.0,16.265327098681563,False,0,1,0.026943499920889735,greedy_distance,8,small
88,0.0,16.265327098681563,False,0,1,0.027431099908426404,greedy_distance,8,small
89,0.0,16.265327098681563,False,0,1,0.027869899990037084,greedy_distance,8,small
90,0.0,16.265327098681563,False,0,1,0.02819189999718219,greedy_distance,8,small
91,0.0,16.265327098681563,False,0,1,0.028523499961011112,greedy_distance,8,small
92,0.0,16.265327098681563,False,1,1,0.028885499923489988,greedy_distance,8,small
93,0.0,16.265327098681563,False,0,1,0.029194399947300553,greedy_distance,8,small
94,0.0,16.265327098681563,False,0,1,0.029492500005289912,greedy_distance,8,small
95,0.0,16.265327098681563,False,0,1,0.029793099965900183,greedy_distance,8,small
96,0.0,16.265327098681563,False,0,1,0.03007659991271794,greedy_distance,8,small
97,0.0,16.265327098681563,False,0,1,0.030382299912162125,greedy_distance,8,small
98,0.0,16.265327098681563,False,0,1,0.03076509991660714,greedy_distance,8,small
99,0.0,16.265327098681563,False,1,1,0.031066800002008677,greedy_distance,8,small
100,0.0,16.265327098681563,False,0,1,0.03135679999832064,greedy_distance,8,small
101,0.0,16.265327098681563,False,0,1,0.03164389997255057,greedy_distance,8,small
102,0.0,16.265327098681563,False,0,1,0.0319309999467805,greedy_distance,8,small
103,0.0,16.265327098681563,False,0,1,0.03221480001229793,greedy_distance,8,small
104,0.0,16.265327098681563,False,0,1,0.03249469993170351,greedy_distance,8,small
105,0.0,16.265327098681563,False,0,1,0.03277449996676296,greedy_distance,8,small
106,0.0,16.265327098681563,False,0,1,0.03305769991129637,greedy_distance,8,small
107,0.0,16.265327098681563,False,0,1,0.03333729994483292,greedy_distance,8,small
108,0.0,16.265327098681563,False,0,1,0.03362190001644194,greedy_distance,8,small
109,0.0,16.265327098681563,False,0,1,0.03390079992823303,greedy_distance,8,small
110,0.0,16.265327098681563,False,0,1,0.034178299945779145,greedy_distance,8,small
111,0.0,16.265327098681563,False,0,1,0.03445799998007715,greedy_distance,8,small
112,0.0,16.265327098681563,False,0,1,0.034741099923849106,greedy_distance,8,small
113,0.0,16.265327098681563,False,1,1,0.03501649992540479,greedy_distance,8,small
114,0.0,16.265327098681563,False,0,1,0.035295399953611195,greedy_distance,8,small
115,0.0,16.265327098681563,False,0,1,0.0355744999833405,greedy_distance,8,small
116,0.0,16.265327098681563,False,0,1,0.03585769992787391,greedy_distance,8,small
117,0.0,16.265327098681563,False,0,1,0.03613569994922727,greedy_distance,8,small
118,0.0,16.265327098681563,False,0,1,0.036417199997231364,greedy_distance,8,small
119,0.0,16.265327098681563,False,0,1,0.03670779999811202,greedy_distance,8,small
120,0.0,16.265327098681563,False,0,1,0.03699699998833239,greedy_distance,8,small
121,0.0,16.265327098681563,False,0,1,0.03728589997626841,greedy_distance,8,small
122,0.0,16.265327098681563,False,0,1,0.03757039993070066,greedy_distance,8,small
123,0.0,16.265327098681563,False,0,1,0.03785749990493059,greedy_distance,8,small
124,0.0,16.265327098681563,False,0,1,0.03815409995149821,greedy_distance,8,small
125,0.0,16.265327098681563,False,0,1,0.03844119992572814,greedy_distance,8,small
126,0.0,16.265327098681563,False,0,1,0.03874290001112968,greedy_distance,8,small
127,0.0,16.265327098681563,False,0,1,0.03907880000770092,greedy_distance,8,small
128,0.0,16.265327098681563,False,0,1,0.039749399991706014,greedy_distance,8,small
129,0.0,16.265327098681563,False,0,1,0.040087100001983345,greedy_distance,8,small
130,0.0,16.265327098681563,False,0,1,0.04040489997714758,greedy_distance,8,small
131,0.0,16.265327098681563,False,0,1,0.040703099919483066,greedy_distance,8,small
132,0.0,16.265327098681563,False,0,1,0.041008499916642904,greedy_distance,8,small
133,0.0,16.265327098681563,False,0,1,0.04130729997996241,greedy_distance,8,small
134,0.0,16.265327098681563,False,0,1,0.0416123999748379,greedy_distance,8,small
135,0.0,16.265327098681563,False,0,1,0.04191019991412759,greedy_distance,8,small
136,0.0,16.265327098681563,False,0,1,0.04222309996839613,greedy_distance,8,small
137,0.0,16.265327098681563,False,0,1,0.04251009994186461,greedy_distance,8,small
138,0.0,16.265327098681563,False,0,1,0.04280799999833107,greedy_distance,8,small
139,0.0,16.265327098681563,False,0,1,0.04310989996884018,greedy_distance,8,small
140,0.0,16.265327098681563,False,0,1,0.04340819991193712,greedy_distance,8,small
141,0.0,16.265327098681563,False,0,1,0.043694699998013675,greedy_distance,8,small
142,0.0,16.265327098681563,False,0,1,0.043980699963867664,greedy_distance,8,small
143,0.0,16.265327098681563,False,0,1,0.04426829994190484,greedy_distance,8,small
144,0.0,16.265327098681563,False,0,1,0.04455619992222637,greedy_distance,8,small
