iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0004669999470934272,greedy_reward_density,2,small
2,0.0,0.0,False,0,0,0.0008271000115200877,greedy_reward_density,2,small
3,0.0,0.0,False,0,0,0.001164000015705824,greedy_reward_density,2,small
4,0.0,0.0,False,0,0,0.0014905999414622784,greedy_reward_density,2,small
5,0.0,0.0,False,0,0,0.0018090999219566584,greedy_reward_density,2,small
6,0.0,0.0,False,0,0,0.0021314999321475625,greedy_reward_density,2,small
7,0.0,0.0,False,0,0,0.002445799997076392,greedy_reward_density,2,small
8,0.0,0.0,False,0,0,0.0027686000103130937,greedy_reward_density,2,small
9,0.0,0.0,False,0,0,0.003087199991568923,greedy_reward_density,2,small
10,0.0,0.0,False,0,0,0.0034112000139430165,greedy_reward_density,2,small
11,0.0,0.0,False,0,0,0.003733400022611022,greedy_reward_density,2,small
12,0.0,0.0,False,0,0,0.004056799924001098,greedy_reward_density,2,small
13,0.0,0.0,False,0,0,0.00437649991363287,greedy_reward_density,2,small
14,0.0,0.0,False,0,0,0.004700499936006963,greedy_reward_density,2,small
15,0.0,0.0,False,0,0,0.005020699929445982,greedy_reward_density,2,small
16,0.0,0.0,False,0,0,0.005452399956993759,greedy_reward_density,2,small
17,0.0,0.0,False,0,0,0.005798199912533164,greedy_reward_density,2,small
18,0.0,0.0,False,0,0,0.006122599937953055,greedy_reward_density,2,small
19,0.0,0.0,False,0,0,0.006448199972510338,greedy_reward_density,2,small
20,0.0,0.0,False,0,0,0.006767999962903559,greedy_reward_density,2,small
21,0.0,0.0,False,0,0,0.0070865999441593885,greedy_reward_density,2,small
22,0.0,0.0,False,0,0,0.0074127999832853675,greedy_reward_density,2,small
23,0.0,0.0,False,0,0,0.007726099924184382,greedy_reward_density,2,small
24,0.0,0.0,False,0,0,0.008039499982260168,greedy_reward_density,2,small
25,0.0,0.0,False,0,0,0.008362499997019768,greedy_reward_density,2,small
26,3.16170531123489,3.16170531123489,True,1,1,0.008692099945619702,greedy_reward_density,2,small
27,0.0,3.16170531123489,False,0,1,0.009008199907839298,greedy_reward_density,2,small
28,0.0,3.16170531123489,False,0,1,0.009337599971331656,greedy_reward_density,2,small
29,0.0,3.16170531123489,False,0,1,0.009680000017397106,greedy_reward_density,2,small
30,0.0,3.16170531123489,False,0,1,0.010003199917264283,greedy_reward_density,2,small
31,0.0,3.16170531123489,False,0,1,0.010319799999706447,greedy_reward_density,2,small
32,0.0,3.16170531123489,False,0,1,0.010634399950504303,greedy_reward_density,2,small
33,0.0,3.16170531123489,False,0,1,0.010961699998006225,greedy_reward_density,2,small
34,0.0,3.16170531123489,False,0,1,0.011313199996948242,greedy_reward_density,2,small
35,0.0,3.16170531123489,False,0,1,0.01185419992543757,greedy_reward_density,2,small
36,0.0,3.16170531123489,False,0,1,0.012281099916435778,greedy_reward_density,2,small
37,0.0,3.16170531123489,False,0,1,0.012661000015214086,greedy_reward_density,2,small
38,0.0,3.16170531123489,False,0,1,0.013004199950955808,greedy_reward_density,2,small
39,0.0,3.16170531123489,False,0,1,0.013325999956578016,greedy_reward_density,2,small
40,0.0,3.16170531123489,False,0,1,0.013674799934960902,greedy_reward_density,2,small
41,0.0,3.16170531123489,False,0,1,0.014033299987204373,greedy_reward_density,2,small
42,0.0,3.16170531123489,False,0,1,0.014362799935042858,greedy_reward_density,2,small
43,0.0,3.16170531123489,False,1,1,0.014696099911816418,greedy_reward_density,2,small
44,0.0,3.16170531123489,False,0,1,0.015034499927423894,greedy_reward_density,2,small
45,0.0,3.16170531123489,False,0,1,0.015379799995571375,greedy_reward_density,2,small
46,0.0,3.16170531123489,False,0,1,0.015732300002127886,greedy_reward_density,2,small
47,0.0,3.16170531123489,False,0,1,0.016070400015451014,greedy_reward_density,2,small
48,0.0,3.16170531123489,False,0,1,0.01640419999603182,greedy_reward_density,2,small
49,0.0,3.16170531123489,False,0,1,0.016741600004024804,greedy_reward_density,2,small
50,0.0,3.16170531123489,False,0,1,0.017088399967178702,greedy_reward_density,2,small
51,0.0,3.16170531123489,False,0,1,0.01745159993879497,greedy_reward_density,2,small
52,0.0,3.16170531123489,False,0,1,0.017800899920985103,greedy_reward_density,2,small
53,0.0,3.16170531123489,False,0,1,0.018174099968746305,greedy_reward_density,2,small
54,0.0,3.16170531123489,False,0,1,0.01851540000643581,greedy_reward_density,2,small
55,0.0,3.16170531123489,False,0,1,0.01885479991324246,greedy_reward_density,2,small
56,0.0,3.16170531123489,False,0,1,0.019177099922671914,greedy_reward_density,2,small
57,0.0,3.16170531123489,False,0,1,0.019503299961797893,greedy_reward_density,2,small
58,0.0,3.16170531123489,False,0,1,0.019821799942292273,greedy_reward_density,2,small
59,0.0,3.16170531123489,False,1,1,0.02015389990992844,greedy_reward_density,2,small
60,0.0,3.16170531123489,False,0,1,0.020487100002355874,greedy_reward_density,2,small
61,0.0,3.16170531123489,False,0,1,0.020821299985982478,greedy_reward_density,2,small
62,0.0,3.16170531123489,False,0,1,0.021146300015971065,greedy_reward_density,2,small
63,0.0,3.16170531123489,False,0,1,0.021475099958479404,greedy_reward_density,2,small
64,0.0,3.16170531123489,False,0,1,0.021802400005981326,greedy_reward_density,2,small
65,0.0,3.16170531123489,False,0,1,0.022129699937067926,greedy_reward_density,2,small
66,0.0,3.16170531123489,False,0,1,0.02245039993431419,greedy_reward_density,2,small
67,0.0,3.16170531123489,False,0,1,0.022763999993912876,greedy_reward_density,2,small
68,0.0,3.16170531123489,False,0,1,0.02306399994995445,greedy_reward_density,2,small
69,0.0,3.16170531123489,False,0,1,0.023397599929012358,greedy_reward_density,2,small
70,0.0,3.16170531123489,False,0,1,0.02383459999691695,greedy_reward_density,2,small
71,0.0,3.16170531123489,False,0,1,0.024178899941034615,greedy_reward_density,2,small
72,0.0,3.16170531123489,False,0,1,0.02451749995816499,greedy_reward_density,2,small
73,0.0,3.16170531123489,False,0,1,0.024848799919709563,greedy_reward_density,2,small
74,0.0,3.16170531123489,False,0,1,0.02518290001899004,greedy_reward_density,2,small
75,0.0,3.16170531123489,False,0,1,0.025508999940939248,greedy_reward_density,2,small
76,0.0,3.16170531123489,False,0,1,0.025834299973212183,greedy_reward_density,2,small
77,0.0,3.16170531123489,False,0,1,0.02615299995522946,greedy_reward_density,2,small
78,0.0,3.16170531123489,False,0,1,0.026463999995030463,greedy_reward_density,2,small
79,0.0,3.16170531123489,False,0,1,0.026773100020363927,greedy_reward_density,2,small
80,0.0,3.16170531123489,False,0,1,0.027084599947556853,greedy_reward_density,2,small
81,0.0,3.16170531123489,False,1,1,0.027395299985073507,greedy_reward_density,2,small
82,0.0,3.16170531123489,False,0,1,0.02770610002335161,greedy_reward_density,2,small
83,0.0,3.16170531123489,False,0,1,0.028009000001475215,greedy_reward_density,2,small
84,0.0,3.16170531123489,False,0,1,0.028317600023001432,greedy_reward_density,2,small
85,0.0,3.16170531123489,False,0,1,0.028627099934965372,greedy_reward_density,2,small
86,0.0,3.16170531123489,False,0,1,0.028936399961821735,greedy_reward_density,2,small
87,0.0,3.16170531123489,False,0,1,0.0292377999285236,greedy_reward_density,2,small
88,0.0,3.16170531123489,False,0,1,0.029600400011986494,greedy_reward_density,2,small
89,0.0,3.16170531123489,False,0,1,0.029941199929453433,greedy_reward_density,2,small
