iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00017550005577504635,random,9,small
2,0.0,0.0,False,0,0,0.00026570004411041737,random,9,small
3,0.0,0.0,False,0,0,0.00034090003464370966,random,9,small
4,0.0,0.0,False,1,0,0.0004190000472590327,random,9,small
5,0.0,0.0,False,0,0,0.0005818000063300133,random,9,small
6,0.0,0.0,False,0,0,0.0007156999781727791,random,9,small
7,0.0,0.0,False,0,0,0.0007945999968796968,random,9,small
8,0.0,0.0,False,0,0,0.0008681999752297997,random,9,small
9,0.0,0.0,False,1,0,0.0009464999893680215,random,9,small
10,0.0,0.0,False,0,0,0.0010190000757575035,random,9,small
11,0.0,0.0,False,0,0,0.001092500053346157,random,9,small
12,0.0,0.0,False,0,0,0.0012860000133514404,random,9,small
13,0.0,0.0,False,0,0,0.0013964000390842557,random,9,small
14,0.0,0.0,False,0,0,0.0014884000411257148,random,9,small
15,0.0,0.0,False,1,0,0.0015665000537410378,random,9,small
16,0.0,0.0,False,0,0,0.0016406000358983874,random,9,small
17,0.0,0.0,False,0,0,0.001713200006633997,random,9,small
18,0.0,0.0,False,0,0,0.0017868999857455492,random,9,small
19,0.0,0.0,False,0,0,0.0018601000774651766,random,9,small
20,0.0,0.0,False,0,0,0.002134900074452162,random,9,small
21,0.0,0.0,False,0,0,0.0022806000197306275,random,9,small
22,0.0,0.0,False,1,0,0.002419100026600063,random,9,small
23,0.0,0.0,False,0,0,0.0025287000462412834,random,9,small
24,0.0,0.0,False,0,0,0.0026095000794157386,random,9,small
25,0.0,0.0,False,0,0,0.002682700054720044,random,9,small
26,0.0,0.0,False,0,0,0.002755400026217103,random,9,small
27,0.0,0.0,False,0,0,0.002826999989338219,random,9,small
28,0.0,0.0,False,0,0,0.002897900063544512,random,9,small
29,0.0,0.0,False,0,0,0.002968600019812584,random,9,small
30,0.0,0.0,False,0,0,0.003038999973796308,random,9,small
31,0.0,0.0,False,0,0,0.003109700046479702,random,9,small
32,0.0,0.0,False,0,0,0.0031811000080779195,random,9,small
33,0.0,0.0,False,0,0,0.0032518000807613134,random,9,small
34,0.0,0.0,False,0,0,0.0033258000621572137,random,9,small
35,0.0,0.0,False,0,0,0.0033979000290855765,random,9,small
36,0.0,0.0,False,0,0,0.0034687999868765473,random,9,small
37,0.0,0.0,False,0,0,0.0035426000831648707,random,9,small
38,0.0,0.0,False,0,0,0.0036159000592306256,random,9,small
39,0.0,0.0,False,0,0,0.003688500029966235,random,9,small
40,0.0,0.0,False,0,0,0.0037614000029861927,random,9,small
41,0.0,0.0,False,0,0,0.0038323000771924853,random,9,small
42,0.0,0.0,False,0,0,0.0039024000288918614,random,9,small
43,0.0,0.0,False,0,0,0.003974199993535876,random,9,small
44,0.0,0.0,False,0,0,0.004043900058604777,random,9,small
45,0.0,0.0,False,0,0,0.004114100011065602,random,9,small
46,0.0,0.0,False,0,0,0.00418549997266382,random,9,small
47,0.0,0.0,False,0,0,0.004255600040778518,random,9,small
48,0.0,0.0,False,0,0,0.004325699992477894,random,9,small
49,0.0,0.0,False,1,0,0.004399999976158142,random,9,small
50,0.0,0.0,False,0,0,0.004472500062547624,random,9,small
51,0.0,0.0,False,0,0,0.004543700022622943,random,9,small
52,0.0,0.0,False,0,0,0.004615599988028407,random,9,small
53,0.0,0.0,False,0,0,0.0046882000751793385,random,9,small
54,0.0,0.0,False,0,0,0.004761200048960745,random,9,small
55,0.0,0.0,False,0,0,0.004833800019696355,random,9,small
56,0.0,0.0,False,0,0,0.004907199996523559,random,9,small
57,0.0,0.0,False,0,0,0.004980399971827865,random,9,small
