iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00016840000171214342,ga,1,small
2,0.0,0.0,False,0,0,0.0002839999506250024,ga,1,small
3,0.0,0.0,False,0,0,0.00037569995038211346,ga,1,small
4,0.0,0.0,False,0,0,0.00045469996985048056,ga,1,small
5,0.0,0.0,False,0,0,0.0005323999794200063,ga,1,small
6,0.0,0.0,False,0,0,0.0006104999920353293,ga,1,small
7,0.0,0.0,False,0,0,0.000686999992467463,ga,1,small
8,0.0,0.0,False,0,0,0.0007624999852851033,ga,1,small
9,0.0,0.0,False,0,0,0.000840499997138977,ga,1,small
10,0.0,0.0,False,0,0,0.0009180000051856041,ga,1,small
11,0.0,0.0,False,0,0,0.0009944000048562884,ga,1,small
12,0.0,0.0,False,0,0,0.0010685999877750874,ga,1,small
13,0.0,0.0,False,0,0,0.0011439999798312783,ga,1,small
14,0.0,0.0,False,0,0,0.0012190999696031213,ga,1,small
15,0.0,0.0,False,0,0,0.0012960999738425016,ga,1,small
16,0.0,0.0,False,0,0,0.0013717999681830406,ga,1,small
17,0.0,0.0,False,0,0,0.0014467999571934342,ga,1,small
18,0.0,0.0,False,1,0,0.0015275999903678894,ga,1,small
19,0.0,0.0,False,0,0,0.0016054000006988645,ga,1,small
20,0.0,0.0,False,0,0,0.001679799985140562,ga,1,small
21,0.0,0.0,False,0,0,0.001766699948348105,ga,1,small
22,0.0,0.0,False,0,0,0.0018427999457344413,ga,1,small
23,0.0,0.0,False,0,0,0.001918099937029183,ga,1,small
24,0.0,0.0,False,1,0,0.001997699961066246,ga,1,small
25,0.0,0.0,False,0,0,0.0020747999660670757,ga,1,small
26,0.0,0.0,False,0,0,0.0021521999733522534,ga,1,small
27,0.0,0.0,False,0,0,0.0024055999238044024,ga,1,small
28,0.0,0.0,False,0,0,0.0025218999944627285,ga,1,small
29,0.0,0.0,False,0,0,0.002842899993993342,ga,1,small
30,0.0,0.0,False,0,0,0.003015599912032485,ga,1,small
31,0.0,0.0,False,0,0,0.0031094999285414815,ga,1,small
32,0.0,0.0,False,0,0,0.003190099960193038,ga,1,small
33,0.0,0.0,False,0,0,0.0032691999804228544,ga,1,small
34,0.0,0.0,False,0,0,0.0033472999930381775,ga,1,small
35,0.0,0.0,False,0,0,0.003424099995754659,ga,1,small
36,0.0,0.0,False,0,0,0.0035020000068470836,ga,1,small
37,0.0,0.0,False,0,0,0.0047759999288246036,ga,1,small
38,0.0,0.0,False,0,0,0.004867999930866063,ga,1,small
39,0.0,0.0,False,0,0,0.004953399999067187,ga,1,small
40,0.0,0.0,False,0,0,0.005032100016251206,ga,1,small
41,0.0,0.0,False,0,0,0.00511129992082715,ga,1,small
42,0.0,0.0,False,0,0,0.005188699928112328,ga,1,small
43,0.0,0.0,False,0,0,0.005267299944534898,ga,1,small
44,0.0,0.0,False,0,0,0.005350799998268485,ga,1,small
45,0.0,0.0,False,0,0,0.005429400014691055,ga,1,small
46,0.0,0.0,False,0,0,0.0055087999207898974,ga,1,small
47,0.0,0.0,False,0,0,0.00558999995701015,ga,1,small
48,0.0,0.0,False,0,0,0.005670499987900257,ga,1,small
49,0.0,0.0,False,1,0,0.005757999955676496,ga,1,small
50,0.0,0.0,False,0,0,0.005841800011694431,ga,1,small
51,0.0,0.0,False,0,0,0.005918700015172362,ga,1,small
52,0.0,0.0,False,0,0,0.005999099928885698,ga,1,small
53,0.0,0.0,False,0,0,0.006075799930840731,ga,1,small
54,0.0,0.0,False,0,0,0.00615299993660301,ga,1,small
55,0.0,0.0,False,0,0,0.00623149995226413,ga,1,small
56,0.0,0.0,False,0,0,0.006309499964118004,ga,1,small
57,0.0,0.0,False,0,0,0.00640489999204874,ga,1,small
58,0.0,0.0,False,0,0,0.00648350000847131,ga,1,small
59,0.0,0.0,False,0,0,0.0065608000149950385,ga,1,small
60,0.0,0.0,False,0,0,0.00663760001771152,ga,1,small
61,0.0,0.0,False,0,0,0.006715499912388623,ga,1,small
62,0.0,0.0,False,0,0,0.006791300023905933,ga,1,small
63,0.0,0.0,False,0,0,0.006869599921628833,ga,1,small
64,0.0,0.0,False,0,0,0.006947199930436909,ga,1,small
65,0.0,0.0,False,0,0,0.007024499936960638,ga,1,small
66,0.0,0.0,False,0,0,0.007102399948053062,ga,1,small
67,0.0,0.0,False,0,0,0.007178699946962297,ga,1,small
68,0.0,0.0,False,0,0,0.007256499957293272,ga,1,small
69,0.0,0.0,False,0,0,0.007331699947826564,ga,1,small
70,0.0,0.0,False,0,0,0.007407199940644205,ga,1,small
71,0.0,0.0,False,0,0,0.007482499931938946,ga,1,small
72,0.0,0.0,False,0,0,0.007557599921710789,ga,1,small
73,0.0,0.0,False,0,0,0.008774299989454448,ga,1,small
74,0.0,0.0,False,0,0,0.00887169991619885,ga,1,small
75,0.0,0.0,False,0,0,0.008958999998867512,ga,1,small
76,0.0,0.0,False,0,0,0.009044199949130416,ga,1,small
77,0.0,0.0,False,1,0,0.009133299929089844,ga,1,small
78,0.0,0.0,False,0,0,0.009222000022418797,ga,1,small
79,0.0,0.0,False,0,0,0.009307799977250397,ga,1,small
80,0.0,0.0,False,0,0,0.009394399938173592,ga,1,small
